Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,78.86,79.14,76.72,78.08,78.08,4996500
2017-05-25,76.02,81.0,76.0,78.8,78.8,6420400
2017-05-26,79.15,80.46,77.71,78.28,78.28,2181500
2017-05-30,78.08,78.99,77.82,78.17,78.17,1980200
2017-05-31,78.27,78.38,76.43,77.7,77.7,3429300
2017-06-01,78.03,80.58,78.01,80.56,80.56,3957000
2017-06-02,80.49,80.93,79.85,80.43,80.43,1892800
2017-06-05,80.15,80.34,78.49,79.28,79.28,2324600
2017-06-06,78.61,78.61,76.25,76.88,76.88,4195900
2017-06-07,77.33,77.33,75.0,75.41,75.41,7290800
2017-06-08,75.79,77.09,74.66,74.84,74.84,2854000
2017-06-09,74.85,75.88,74.4,75.38,75.38,2248400
2017-06-12,75.43,76.77,74.95,75.35,75.35,2024900
2017-06-13,75.27,75.88,74.87,75.5,75.5,1416800
2017-06-14,75.52,75.85,74.69,75.27,75.27,2710700
2017-06-15,74.82,75.58,72.34,72.73,72.73,3957000
2017-06-16,69.67,70.63,65.63,70.07,70.07,11305400
2017-06-19,70.53,71.0,69.44,70.55,70.55,4429700
2017-06-20,70.62,70.69,68.73,68.94,68.94,3495700
2017-06-21,69.04,69.88,67.6,68.05,68.05,4000700
2017-06-22,68.1,68.54,67.61,67.68,67.68,2883300
2017-06-23,67.35,67.67,66.17,66.6,66.6,5430900
2017-06-26,66.81,68.53,66.53,68.49,68.49,6205500
2017-06-27,68.3,70.3,68.25,69.22,69.22,6544000
2017-06-28,70.48,70.81,69.37,69.97,69.97,4040200
2017-06-29,69.83,70.42,69.34,69.73,69.73,2802800
2017-06-30,70.01,70.41,69.23,69.92,69.92,2816900
2017-07-03,70.03,70.66,69.34,69.89,69.89,928400
2017-07-05,69.96,70.06,67.71,68.21,68.21,4280200
2017-07-06,68.06,68.29,67.55,67.93,67.93,2797900
2017-07-07,68.0,68.69,67.67,67.98,67.98,1792100
2017-07-10,67.9,68.02,66.01,66.39,66.39,3101800
2017-07-11,66.53,67.42,66.39,66.87,66.87,2789500
2017-07-12,67.35,68.07,67.0,67.4,67.4,1498100
