Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,199.48,206.02,199.48,205.97,196.87,1083000
2017-05-25,205.41,208.3,205.07,208.04,198.85,878800
2017-05-26,207.01,207.72,206.65,207.05,197.91,636000
2017-05-30,207.0,208.68,206.68,208.49,199.28,466700
2017-05-31,208.91,212.05,208.06,211.72,202.37,739100
2017-06-01,213.78,215.49,210.88,215.34,205.83,899200
2017-06-02,215.69,219.41,214.58,218.05,208.42,729000
2017-06-05,217.99,218.21,216.0,217.1,207.51,449200
2017-06-06,217.0,218.43,216.17,217.85,208.23,912000
2017-06-07,218.51,218.63,215.68,218.15,208.52,514000
2017-06-08,218.22,218.58,216.71,217.88,208.26,410200
2017-06-09,213.9,215.14,204.63,206.19,197.08,1365300
2017-06-12,205.0,205.93,201.1,204.07,195.06,905800
2017-06-13,204.83,210.14,204.36,208.4,199.65,712100
2017-06-14,209.42,212.75,208.83,210.56,201.72,708900
2017-06-15,208.96,209.91,206.35,209.56,200.76,438000
2017-06-16,209.82,211.95,208.93,210.84,201.98,1406700
2017-06-19,211.13,215.87,211.03,215.73,206.67,919800
2017-06-20,215.84,217.62,214.01,215.03,206.0,601500
2017-06-21,215.57,216.79,214.96,216.09,207.01,402700
2017-06-22,216.08,218.43,215.18,218.09,208.93,571900
2017-06-23,217.89,218.63,215.7,217.05,207.93,624100
2017-06-26,217.52,221.58,217.06,218.88,209.69,567300
2017-06-27,219.44,219.44,213.0,213.14,204.19,620800
2017-06-28,213.51,214.49,211.27,213.6,204.63,739600
2017-06-29,213.51,213.51,207.76,210.75,201.9,652600
2017-06-30,211.27,213.65,210.61,211.53,202.64,534500
2017-07-03,211.55,212.47,209.19,209.92,201.1,176800
2017-07-05,209.24,211.06,207.19,208.03,199.29,582600
2017-07-06,206.96,210.25,205.16,208.84,200.07,624500
2017-07-07,209.23,213.75,209.23,212.32,203.4,444200
2017-07-10,212.69,212.84,209.4,211.62,202.73,571600
2017-07-11,211.22,212.57,209.67,212.11,203.2,775600
2017-07-12,212.46,214.97,211.6,213.54,204.57,515300
2017-07-13,213.81,214.32,209.59,210.45,201.61,838500
2017-07-14,210.39,211.72,208.81,209.21,200.42,799400
2017-07-17,209.11,209.89,206.0,208.25,199.5,1169400
2017-07-18,208.74,212.5,208.27,211.45,202.57,962600
2017-07-19,212.57,212.6,209.94,212.52,203.59,654300
2017-07-20,213.22,213.77,209.68,212.44,203.52,608400
2017-07-21,212.53,214.06,212.07,213.22,204.26,542700
2017-07-24,213.8,216.91,213.22,213.97,204.98,1159600
2017-07-25,207.0,207.0,192.06,192.4,184.32,4249500
2017-07-26,195.0,195.0,185.0,186.43,178.6,2890600
