Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,28.87,29.02,28.86,28.97,24.71,1186200
2017-05-25,29.02,29.05,28.81,28.87,24.62,1409700
2017-05-26,28.85,28.9,28.55,28.66,24.45,747800
2017-05-30,28.6,28.73,28.48,28.51,24.32,1226600
2017-05-31,28.63,28.78,28.34,28.67,24.45,2635900
2017-06-01,28.68,29.05,28.49,29.0,24.74,2583200
2017-06-02,29.08,29.25,28.79,29.18,24.89,11067400
2017-06-05,29.17,29.23,28.84,28.88,24.63,1744300
2017-06-06,28.92,28.97,28.64,28.71,24.49,2528400
2017-06-07,28.76,28.76,28.48,28.6,24.39,3081700
2017-06-08,28.52,28.54,28.14,28.33,24.16,2673700
2017-06-09,28.35,28.57,28.22,28.45,24.27,1677300
2017-06-12,28.47,28.77,28.35,28.66,24.45,3500200
2017-06-13,28.63,28.65,28.4,28.65,24.44,3871700
2017-06-14,28.91,29.15,28.79,28.87,24.62,2715000
2017-06-15,28.67,29.19,28.67,29.06,24.79,3229200
2017-06-16,28.99,29.06,28.66,28.83,24.59,3897400
2017-06-19,28.84,28.89,28.6,28.88,24.63,2364200
2017-06-20,28.91,28.95,28.23,28.46,24.28,2268300
2017-06-21,28.46,28.59,28.32,28.5,24.31,1916800
2017-06-22,28.43,28.46,28.17,28.28,24.12,2020300
2017-06-23,28.08,28.53,27.94,28.16,24.02,4699100
2017-06-26,28.27,28.35,27.88,28.05,23.93,2368000
2017-06-27,27.96,28.04,27.57,27.67,23.6,4560100
2017-06-28,27.75,27.82,27.57,27.76,23.68,3294800
2017-06-29,27.61,27.72,27.43,27.65,23.58,3556200
2017-06-30,27.7,28.07,27.65,27.95,23.84,3013700
2017-07-03,28.06,28.17,27.86,28.09,23.96,1222300
2017-07-05,28.02,28.06,27.37,27.62,23.56,2713800
2017-07-06,27.47,27.52,27.32,27.33,23.31,2301100
2017-07-07,27.39,27.78,27.32,27.7,23.63,2437900
2017-07-10,27.72,27.79,27.41,27.44,23.41,2408200
2017-07-11,27.49,27.52,27.23,27.49,23.45,1565500
2017-07-12,27.7,27.98,27.63,27.9,23.8,2032200
2017-07-13,27.92,27.97,27.64,27.65,23.58,1306300
2017-07-14,27.84,27.98,27.69,27.83,23.74,1127100
2017-07-17,27.86,28.19,27.74,28.15,24.01,2000500
2017-07-18,28.07,28.59,28.03,28.36,24.19,3357400
2017-07-19,28.45,28.96,28.45,28.79,24.56,2628200
2017-07-20,28.7,28.79,27.98,27.98,23.87,6322600
2017-07-21,27.97,28.14,27.54,27.77,23.69,3448500
2017-07-24,27.76,27.96,27.56,27.91,23.81,3669400
2017-07-25,27.98,28.2,27.73,27.73,23.65,86679200
2017-07-26,27.76,28.75,27.74,28.42,24.24,6476900
2017-07-27,28.81,29.19,28.25,28.75,24.52,4092500
2017-07-28,28.84,28.99,28.78,28.87,24.62,2712400
2017-07-31,28.96,28.97,28.43,28.59,24.39,2441500
2017-08-01,28.72,29.0,28.6,28.89,24.64,2375800
2017-08-02,28.89,29.0,28.75,28.9,24.65,1874100
2017-08-03,28.86,29.05,28.68,28.71,24.49,1652200
2017-08-04,28.74,28.88,28.57,28.69,24.47,3070500
2017-08-07,28.63,28.71,28.38,28.42,24.24,1754100
2017-08-08,28.4,28.84,28.25,28.74,24.51,3614600
2017-08-09,28.81,28.81,28.43,28.52,24.33,2016600
2017-08-10,28.41,28.53,28.22,28.26,24.1,1433600
2017-08-11,28.17,28.33,28.17,28.26,24.1,2083500
2017-08-14,28.31,28.84,28.27,28.82,24.75,1924200
2017-08-15,28.73,28.88,28.52,28.86,24.78,1926500
2017-08-16,28.92,29.17,28.88,28.9,24.82,1864600
2017-08-17,28.89,28.97,28.47,28.52,24.49,2005500
2017-08-18,28.44,28.9,28.34,28.86,24.78,3860700
2017-08-21,28.86,29.44,28.81,29.43,25.27,3810800
2017-08-22,29.48,29.52,29.09,29.18,25.06,2571400
2017-08-23,29.16,29.63,29.09,29.54,25.37,1908500
2017-08-24,29.62,29.72,29.32,29.33,25.19,1852600
2017-08-25,29.5,29.57,29.31,29.38,25.23,1945300
2017-08-28,29.49,29.56,29.14,29.3,25.16,1661200
2017-08-29,29.35,29.53,29.16,29.41,25.26,1708400
2017-08-30,29.35,29.48,29.16,29.47,25.31,1979300
2017-08-31,29.57,29.9,29.5,29.72,25.52,2611200
2017-09-01,29.79,29.87,29.52,29.53,25.36,1562200
2017-09-05,29.56,29.68,29.41,29.48,25.32,3005100
2017-09-06,29.61,29.63,29.42,29.44,25.28,3060900
2017-09-07,29.5,29.62,29.38,29.41,25.26,3167900
2017-09-08,29.37,29.54,29.32,29.33,25.19,2679400
2017-09-11,29.48,30.14,29.48,30.14,25.88,3531000
2017-09-12,30.0,30.14,29.38,29.51,25.34,2156900
2017-09-13,29.43,29.48,29.2,29.36,25.21,1604300
2017-09-14,29.33,29.71,29.21,29.7,25.5,1748800
2017-09-15,29.77,29.83,29.29,29.57,25.39,2985900
2017-09-18,29.57,29.69,29.32,29.58,25.4,1833400
2017-09-19,29.66,29.71,29.43,29.45,25.29,3230500
2017-09-20,29.49,29.63,29.34,29.49,25.32,1714000
2017-09-21,29.52,29.63,29.3,29.42,25.26,1227800
2017-09-22,29.44,29.56,29.06,29.11,25.0,780400
2017-09-25,29.15,29.42,29.04,29.28,25.14,1532900
2017-09-26,29.05,29.13,28.84,28.86,24.78,1676200
2017-09-27,28.81,28.86,28.36,28.61,24.57,1905800
2017-09-28,28.54,28.98,28.43,28.95,24.86,2632900
2017-09-29,28.79,28.94,28.63,28.82,24.75,2379300
2017-10-02,28.82,29.13,28.82,28.96,24.87,2075800
2017-10-03,29.06,29.23,28.9,29.01,24.91,1386500
2017-10-04,29.01,29.12,28.88,29.1,24.99,1025300
