Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,86.9,87.36,86.52,87.21,77.27,1026700
2017-05-25,86.89,88.42,86.36,88.1,78.06,960100
2017-05-26,88.1,88.34,87.66,87.95,77.93,708400
2017-05-30,87.8,87.9,87.27,87.49,77.52,817700
2017-05-31,87.57,88.95,86.82,88.93,78.8,2050000
2017-06-01,89.0,90.09,88.63,90.09,79.83,1273500
2017-06-02,90.29,91.75,90.16,91.3,80.9,1104000
2017-06-05,91.0,92.29,90.96,91.82,81.36,1336300
2017-06-06,91.69,92.37,91.61,91.98,81.5,1241800
2017-06-07,92.0,93.02,92.0,92.05,81.56,1314300
2017-06-08,92.05,92.88,91.7,91.85,81.39,1072100
2017-06-09,92.12,92.79,91.58,92.12,81.62,1103000
2017-06-12,92.02,92.68,91.77,91.94,81.46,1224100
2017-06-13,91.07,91.26,89.83,90.02,79.76,2548000
2017-06-14,90.01,90.83,89.84,90.47,80.16,1607000
2017-06-15,90.26,90.68,89.27,89.8,79.57,1471800
2017-06-16,89.33,89.57,88.53,89.3,79.13,1829500
2017-06-19,89.5,90.68,89.39,90.57,80.25,1082300
2017-06-20,90.14,90.31,88.63,88.68,78.58,1141600
2017-06-21,88.77,89.32,88.03,88.28,78.22,1085000
2017-06-22,88.52,89.55,88.27,89.16,79.0,1116500
2017-06-23,89.18,89.41,88.53,88.73,78.62,1753100
2017-06-26,89.54,90.57,89.33,90.08,79.82,3427300
2017-06-27,93.01,95.22,92.29,92.69,82.13,6178200
2017-06-28,93.16,93.3,91.15,91.56,81.13,2209400
2017-06-29,91.59,91.94,90.9,91.76,81.31,2030700
2017-06-30,91.97,92.32,90.33,90.44,80.14,1693800
2017-07-03,90.69,91.57,90.51,91.34,80.93,842300
2017-07-05,91.33,91.43,89.29,90.13,79.86,1790500
2017-07-06,89.38,90.33,89.01,89.68,80.02,1534300
2017-07-07,89.89,90.46,89.34,90.17,80.46,1055700
2017-07-10,90.05,90.49,89.01,89.25,79.64,1234100
2017-07-11,89.55,89.9,88.83,89.3,79.68,1077400
2017-07-12,89.47,90.24,89.38,89.61,79.96,1460800
2017-07-13,89.62,90.1,88.2,88.57,79.03,1431200
2017-07-14,88.73,89.37,88.44,88.95,79.37,1181400
2017-07-17,88.98,90.01,88.9,89.66,80.0,1095000
2017-07-18,89.74,89.78,88.69,89.04,79.45,779800
2017-07-19,89.15,90.05,89.15,89.86,80.18,956700
2017-07-20,89.85,90.24,89.51,89.57,79.92,733900
2017-07-21,89.29,89.59,88.56,88.68,79.13,1142200
2017-07-24,88.5,88.59,86.55,86.63,77.3,2085500
2017-07-25,86.95,87.19,86.55,86.85,77.5,1710700
2017-07-26,87.2,87.27,85.4,85.83,76.59,1566100
2017-07-27,85.46,85.58,83.92,84.49,75.39,2883600
2017-07-28,83.86,84.15,82.62,83.85,74.82,2910300
2017-07-31,83.82,84.63,83.69,83.88,74.85,1492100
2017-08-01,84.2,85.23,83.7,84.8,75.67,1560800
2017-08-02,84.79,85.3,84.04,84.56,75.45,961700
2017-08-03,84.07,84.07,82.01,82.08,73.24,1950100
2017-08-04,82.21,83.32,81.63,83.15,74.19,1238100
2017-08-07,83.08,84.29,83.08,83.77,74.75,901600
2017-08-08,83.57,83.74,81.33,81.83,73.02,2403700
2017-08-09,81.63,82.0,80.98,81.28,72.53,2602000
2017-08-10,81.11,83.29,81.0,82.53,73.64,2315500
2017-08-11,82.78,83.48,82.41,83.34,74.36,1116200
2017-08-14,83.73,83.84,82.18,82.75,73.84,1373400
2017-08-15,83.12,83.78,82.45,83.48,74.49,2183700
2017-08-16,83.65,84.73,83.5,84.39,75.3,1276800
2017-08-17,84.32,85.29,83.93,84.13,75.07,1409000
2017-08-18,83.96,84.62,83.72,83.99,74.94,1658200
2017-08-21,84.12,84.95,84.0,84.51,75.41,1019600
2017-08-22,84.63,85.81,84.55,85.3,76.11,932800
2017-08-23,84.98,85.22,83.36,83.44,74.45,1226500
2017-08-24,83.66,83.89,82.36,82.38,73.51,1059000
2017-08-25,82.96,84.62,82.57,83.68,74.67,1783300
2017-08-28,83.65,85.23,83.27,84.84,75.7,2017600
2017-08-29,84.4,84.91,82.12,82.64,73.74,2381100
2017-08-30,82.64,83.38,82.54,82.88,73.95,1228200
2017-08-31,82.82,83.22,82.06,82.09,73.25,1625800
2017-09-01,82.45,82.51,81.67,81.92,73.1,1427800
2017-09-05,81.47,81.86,80.52,81.19,72.45,1738900
2017-09-06,81.3,81.35,77.96,78.36,69.92,3265800
2017-09-07,78.37,78.59,76.72,77.05,68.75,3040000
2017-09-08,76.84,79.2,76.27,78.55,70.09,2261400
2017-09-11,79.3,81.75,79.3,79.74,71.15,2240100
2017-09-12,79.72,81.43,79.72,81.22,72.47,1501200
2017-09-13,81.43,84.62,81.43,83.62,74.61,2677800
2017-09-14,83.37,83.47,82.19,83.2,74.24,2059600
2017-09-15,83.28,84.47,83.19,83.86,74.83,2070700
2017-09-18,84.02,84.85,83.91,84.37,75.28,1715500
2017-09-19,84.36,84.39,82.82,83.31,74.34,2423100
2017-09-20,83.55,84.31,83.22,83.8,74.78,1429000
2017-09-21,83.78,83.89,82.66,83.06,74.11,1825400
2017-09-22,82.94,83.34,82.32,82.88,73.95,1898700
2017-09-25,83.04,83.86,81.91,83.14,74.19,2399800
2017-09-26,80.52,81.73,77.55,77.71,69.34,6191200
2017-09-27,79.2,80.39,78.87,79.15,70.63,3086200
2017-09-28,79.32,79.63,78.21,78.96,70.46,2289300
2017-09-29,78.88,78.94,78.14,78.78,70.3,2144800
2017-10-02,78.53,79.23,77.93,79.17,70.64,1535200
2017-10-03,79.78,80.14,79.23,80.11,71.48,1740700
2017-10-04,80.15,80.44,79.33,79.6,71.03,1203200
2017-10-05,79.7,79.94,78.78,79.72,71.13,1633200
2017-10-06,79.31,80.97,79.0,80.83,72.7,1927400
2017-10-09,80.78,80.88,79.5,79.74,71.72,1472400
2017-10-10,80.02,80.18,79.1,79.28,71.31,1052800
2017-10-11,79.54,79.86,79.25,79.34,71.36,2314300
2017-10-12,78.96,79.33,78.25,79.21,71.24,1799400
2017-10-13,79.12,79.46,78.83,79.42,71.43,988400
2017-10-16,79.68,80.37,79.27,80.2,72.13,1449600
2017-10-17,79.08,81.89,78.86,81.56,73.36,2245600
2017-10-18,81.6,82.25,81.24,81.96,73.72,1913600
2017-10-19,81.9,82.05,81.08,81.97,73.72,1638900
2017-10-20,82.37,83.56,82.15,82.77,74.44,1952300
2017-10-23,82.78,83.05,82.29,82.35,74.07,1873800
2017-10-24,82.37,82.9,82.25,82.64,74.33,906900
2017-10-25,82.54,82.9,81.36,81.81,73.58,1906400
2017-10-26,82.27,83.03,82.2,82.79,74.46,803100
2017-10-27,83.39,85.56,83.14,83.33,74.95,1585900
2017-10-30,83.07,83.26,82.1,82.77,74.44,1308800
2017-10-31,82.98,83.21,81.99,82.27,73.99,1103800
2017-11-01,82.37,82.71,81.74,82.08,73.82,1262300
2017-11-02,81.69,82.31,81.42,81.81,73.58,881700
2017-11-03,81.83,83.22,81.63,82.28,74.0,1017700
2017-11-06,82.25,82.57,81.81,82.4,74.11,582900
