Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,91.3,91.87,91.28,91.85,78.01,635205
2017-05-25,91.95,92.83,91.57,92.75,78.78,808518
2017-05-26,92.36,92.92,92.33,92.66,78.7,534273
2017-05-30,92.66,93.18,92.26,92.89,78.9,1024248
2017-05-31,92.95,93.52,92.9,93.21,79.17,1165248
2017-06-01,93.09,94.02,92.66,93.97,79.81,768333
2017-06-02,94.62,94.62,93.86,94.41,80.19,674568
2017-06-05,94.14,94.38,93.69,93.8,79.67,752940
2017-06-06,94.07,94.18,93.59,93.75,79.63,634265
2017-06-07,94.0,94.37,93.69,94.15,79.97,714753
2017-06-08,94.15,94.19,92.26,92.75,78.78,1568860
2017-06-09,92.48,92.85,92.14,92.75,78.78,948813
2017-06-12,92.75,93.2,91.92,92.74,78.77,869735
2017-06-13,92.64,93.15,92.37,93.11,79.09,525108
2017-06-14,93.7,94.16,93.58,94.03,79.87,893823
2017-06-15,93.34,94.2,92.94,94.09,80.52,1034470
2017-06-16,94.39,94.67,94.17,94.63,80.98,1602935
2017-06-19,94.6,94.6,93.92,94.38,80.77,889005
2017-06-20,94.36,94.77,94.29,94.49,80.86,896173
2017-06-21,94.48,94.58,93.1,93.73,80.21,892883
2017-06-22,93.65,93.86,93.24,93.26,79.81,861040
2017-06-23,93.17,93.57,92.53,92.67,79.3,1198148
2017-06-26,92.77,93.82,92.37,93.11,79.68,765983
2017-06-27,92.78,93.07,91.49,91.63,78.42,873143
2017-06-28,92.03,92.17,90.37,90.42,77.37,1420928
2017-06-29,90.0,90.46,89.47,90.14,77.14,1529615
2017-06-30,90.4,90.82,89.98,90.03,77.05,1230930
2017-07-03,90.26,90.51,89.74,89.82,76.86,730380
2017-07-05,89.91,90.04,89.25,89.74,76.79,1355833
2017-07-06,89.52,89.71,89.23,89.51,76.59,1111315
2017-07-07,89.67,90.03,89.49,89.58,76.66,853168
2017-07-10,89.81,90.01,89.28,89.3,76.42,1017198
2017-07-11,89.36,89.54,88.67,89.09,76.24,1252198
2017-07-12,89.82,90.09,89.58,89.86,76.9,803700
2017-07-13,89.68,90.04,89.19,89.27,76.39,819328
2017-07-14,89.8,90.1,89.51,89.69,76.75,600308
2017-07-17,89.69,90.37,89.34,90.28,77.26,1016023
2017-07-18,90.38,90.45,89.89,90.0,77.02,1840873
2017-07-19,90.09,90.31,89.6,90.16,77.16,941175
2017-07-20,90.48,91.0,90.26,90.87,77.76,1538193
2017-07-21,90.83,91.87,90.69,91.86,78.61,799705
2017-07-24,91.89,91.89,90.53,90.53,77.47,1121185
2017-07-25,90.6,90.71,89.96,90.47,77.42,1105910
2017-07-26,91.06,91.91,90.04,91.39,78.2,1127295
2017-07-27,91.36,91.45,90.62,91.36,78.18,1407768
2017-07-28,91.38,91.46,90.64,90.83,77.72,750943
2017-07-31,90.88,91.29,90.51,91.11,77.97,1008503
2017-08-01,91.32,91.43,90.67,91.06,77.92,1463698
2017-08-02,90.66,91.57,90.35,91.57,78.36,895585
2017-08-03,91.28,92.67,91.28,92.66,79.29,912975
2017-08-04,92.38,92.76,92.06,92.71,79.34,937298
2017-08-07,92.7,92.76,92.37,92.71,79.33,605125
2017-08-08,92.57,93.13,92.47,93.11,79.68,565175
2017-08-09,93.41,93.41,92.35,92.37,79.04,660938
2017-08-10,92.35,92.89,92.04,92.82,79.43,726385
2017-08-11,93.0,93.0,91.5,91.8,78.56,693838
2017-08-14,91.97,92.81,91.91,92.81,79.42,627803
2017-08-15,92.51,93.22,92.51,92.91,79.51,838833
