Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,84.47,84.88,84.39,84.69,68.7,2971100
2017-05-25,84.81,85.25,84.61,85.14,69.07,2801700
2017-05-26,85.19,85.35,84.95,85.07,69.01,2024000
2017-05-30,85.2,85.54,84.88,85.41,69.29,2501600
2017-05-31,85.52,86.01,85.4,85.68,69.51,3250800
2017-06-01,85.48,86.4,85.24,86.4,70.09,3158900
2017-06-02,86.79,86.8,85.92,86.28,69.99,2114500
2017-06-05,86.25,86.3,85.69,85.83,69.63,2284900
2017-06-06,86.09,86.16,85.66,85.81,69.61,2066800
2017-06-07,85.81,86.24,85.58,86.09,69.84,3025100
2017-06-08,86.09,86.09,84.75,85.38,69.26,2571100
2017-06-09,85.1,85.75,84.92,85.72,69.54,2264200
2017-06-12,85.73,86.19,85.08,85.62,69.46,3292600
2017-06-13,85.53,86.05,85.42,85.95,69.73,2421400
2017-06-14,86.44,86.84,86.09,86.32,70.03,2432900
2017-06-15,86.21,86.96,86.08,86.95,70.54,2468100
2017-06-16,87.12,87.49,86.91,87.14,70.69,4996900
2017-06-19,87.31,87.31,86.52,86.89,70.49,2394500
2017-06-20,86.84,87.05,86.67,86.91,70.5,2420400
2017-06-21,86.93,87.14,86.12,86.57,70.23,1735200
2017-06-22,86.4,86.73,86.22,86.28,69.99,2106900
2017-06-23,86.22,86.6,85.86,85.96,69.73,1543000
2017-06-26,86.33,87.05,85.99,86.7,70.33,2834500
2017-06-27,86.36,86.54,85.45,85.7,69.52,2404500
2017-06-28,86.03,86.08,84.86,84.97,68.93,3180700
2017-06-29,84.73,84.73,83.77,84.03,68.17,3859300
2017-06-30,84.15,84.42,83.59,83.59,67.81,3607600
2017-07-03,83.78,83.84,83.16,83.31,67.58,1705900
2017-07-05,83.32,83.49,82.72,83.29,67.57,3530000
2017-07-06,83.1,83.3,82.77,83.21,67.5,2801800
2017-07-07,83.22,83.75,83.09,83.42,67.67,2531400
2017-07-10,83.58,83.82,83.16,83.19,67.49,1833900
2017-07-11,83.37,83.44,82.8,83.18,67.48,2558000
