Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,37.63,37.88,36.75,37.13,31.49,5043400
2017-05-25,37.0,37.76,35.58,35.73,30.31,5323300
2017-05-26,35.61,35.89,35.22,35.82,30.38,3719600
2017-05-30,35.38,35.47,34.3,34.49,29.26,5530200
2017-05-31,33.83,34.47,33.38,33.98,28.82,9029700
2017-06-01,34.11,34.82,33.86,34.27,29.07,4213000
2017-06-02,33.91,33.97,32.87,33.13,28.1,6472800
2017-06-05,32.96,33.31,32.69,33.05,28.03,5085400
2017-06-06,32.99,33.91,32.77,33.9,28.76,7250800
2017-06-07,33.65,33.9,31.82,31.92,27.08,8373900
2017-06-08,31.92,32.24,31.46,31.49,26.71,6004600
2017-06-09,31.57,32.78,31.38,32.58,27.64,6913600
2017-06-12,33.06,33.59,32.6,32.72,27.75,5624500
2017-06-13,32.71,33.5,32.58,33.49,28.46,4478000
2017-06-14,33.3,33.3,31.75,32.19,27.35,7083700
2017-06-15,31.97,32.41,31.28,31.49,26.76,5194300
2017-06-16,31.74,31.77,31.26,31.76,26.99,6384800
2017-06-19,31.82,31.91,31.22,31.32,26.62,4684800
2017-06-20,30.71,31.39,30.39,31.16,26.48,5585100
2017-06-21,31.12,31.45,29.92,30.15,25.62,6774500
2017-06-22,30.31,30.68,29.89,30.01,25.5,5805400
2017-06-23,30.09,30.63,30.03,30.48,25.9,4161300
2017-06-26,30.7,31.18,30.28,30.72,26.11,5088600
2017-06-27,30.72,31.0,30.23,30.35,25.79,9619000
2017-06-28,30.38,30.97,30.16,30.55,25.96,7398100
2017-06-29,30.9,32.24,30.79,31.81,27.03,7410100
2017-06-30,32.27,32.36,31.45,31.97,27.17,6659700
2017-07-03,32.13,33.08,32.07,32.78,27.86,2651900
2017-07-05,32.45,32.48,31.01,31.1,26.43,7234900
2017-07-06,31.16,31.41,30.07,30.18,25.65,7081400
2017-07-07,29.81,29.95,28.79,29.54,25.1,7366500
2017-07-10,29.38,30.05,29.34,29.73,25.26,7655000
2017-07-11,30.25,30.92,29.85,30.53,25.94,7450900
2017-07-12,31.02,31.6,30.63,30.81,26.18,5668700
2017-07-13,30.8,31.28,30.7,31.2,26.51,4550400
2017-07-14,31.31,31.87,31.16,31.65,26.9,4846100
2017-07-17,31.62,32.01,31.26,31.35,26.64,5803500
2017-07-18,31.63,31.68,31.09,31.36,26.65,4574900
2017-07-19,31.29,32.65,31.22,32.5,27.62,5498500
2017-07-20,32.71,32.81,31.96,31.99,27.18,4954600
2017-07-21,31.94,32.09,31.49,31.96,27.16,3774900
2017-07-24,31.88,32.25,31.54,31.74,26.97,4171200
2017-07-25,32.35,33.41,32.24,32.98,28.03,5465300
2017-07-26,33.35,33.83,32.78,32.99,28.03,6258300
2017-07-27,32.94,33.47,32.85,33.47,28.44,3591200
2017-07-28,33.37,34.14,33.09,33.21,28.22,4323600
2017-07-31,33.02,33.71,32.92,33.31,28.31,3790700
2017-08-01,33.25,33.6,32.62,32.98,28.03,4659300
2017-08-02,32.72,33.72,32.05,33.4,28.38,5605500
2017-08-03,33.56,34.28,32.24,32.27,27.42,6413900
2017-08-04,32.34,33.77,32.28,33.66,28.6,7148400
2017-08-07,33.49,33.53,32.31,32.4,27.53,4379800
2017-08-08,32.28,32.89,32.01,32.14,27.31,6161400
2017-08-09,32.38,32.77,31.78,32.08,27.26,4297900
2017-08-10,32.33,32.64,31.71,31.76,26.99,4010000
2017-08-11,31.54,31.99,31.41,31.61,26.86,3588200
2017-08-14,31.71,31.84,31.05,31.07,26.4,3093500
2017-08-15,30.97,30.99,30.58,30.92,26.28,4004900
2017-08-16,31.11,31.53,30.5,30.66,26.05,3843000
2017-08-17,30.5,31.22,30.17,30.18,25.65,3800900
2017-08-18,30.16,30.75,29.79,30.4,25.83,4204200
2017-08-21,30.33,30.46,30.08,30.34,25.78,2922900
2017-08-22,30.44,30.62,30.12,30.4,25.83,3931000
2017-08-23,30.33,31.37,30.16,30.98,26.33,3320000
2017-08-24,30.76,31.29,30.67,31.12,26.45,3820900
2017-08-25,31.25,31.66,31.1,31.16,26.48,3246900
2017-08-28,31.27,31.27,30.47,30.93,26.28,2967000
2017-08-29,30.59,31.12,30.24,30.99,26.33,3438400
2017-08-30,30.75,31.2,30.51,30.96,26.31,3213600
2017-08-31,31.26,31.8,31.04,31.4,26.68,5333100
2017-09-01,31.51,32.35,31.14,32.11,27.29,3821000
2017-09-05,32.35,32.7,31.74,32.13,27.3,3836800
2017-09-06,32.41,33.09,32.33,32.68,27.77,3810700
2017-09-07,32.47,32.73,32.09,32.39,27.52,2903300
2017-09-08,32.28,32.28,31.01,31.47,26.74,4439900
2017-09-11,31.63,32.0,31.47,31.81,27.03,3862700
2017-09-12,31.89,32.54,31.81,32.17,27.34,3619500
2017-09-13,32.34,33.52,32.33,33.51,28.48,6000400
2017-09-14,33.65,34.6,33.65,33.9,28.86,5577000
2017-09-15,33.94,34.23,33.25,33.65,28.65,4709400
2017-09-18,33.49,33.99,33.12,33.97,28.92,4305800
2017-09-19,33.95,34.02,33.6,33.77,28.75,3605000
2017-09-20,34.0,34.94,34.0,34.89,29.7,5017200
2017-09-21,34.78,35.66,34.63,35.35,30.09,4761100
2017-09-22,35.23,35.81,35.15,35.78,30.46,4734900
2017-09-25,36.08,36.87,36.03,36.67,31.22,4337300
