Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,108.78,112.54,108.39,112.31,111.45,4492500
2017-05-25,112.51,114.16,112.51,113.83,112.96,3419800
2017-05-26,113.5,113.59,111.79,112.13,111.28,2212500
2017-05-30,112.62,112.92,111.64,112.85,111.99,2360100
2017-05-31,112.86,113.48,111.93,113.33,112.47,3430000
2017-06-01,113.96,114.94,113.18,113.87,113.0,2232700
2017-06-02,113.85,114.54,113.2,114.52,113.65,1872600
2017-06-05,114.68,115.13,114.19,114.69,113.82,1879800
2017-06-06,114.54,115.39,113.59,113.69,112.82,2508400
2017-06-07,114.84,115.54,114.23,115.37,114.49,2480100
2017-06-08,116.04,116.04,113.24,114.29,113.42,3293900
2017-06-09,114.84,115.36,107.03,110.46,109.62,5738200
2017-06-12,109.3,111.18,105.54,108.9,108.07,5836900
2017-06-13,110.33,110.96,108.08,109.98,109.14,2740000
2017-06-14,110.16,111.11,108.68,110.02,109.18,2171800
2017-06-15,108.24,111.03,107.32,110.53,109.69,3705600
2017-06-16,110.72,112.51,110.07,110.51,109.67,9608200
2017-06-19,111.18,113.86,111.18,113.65,112.78,2891300
2017-06-20,113.43,115.12,113.29,113.47,112.61,2710500
2017-06-21,114.33,114.69,111.83,113.17,112.31,3054000
2017-06-22,113.51,113.52,111.36,112.62,111.76,2380400
2017-06-23,112.51,112.95,110.77,110.87,110.03,7457900
2017-06-26,111.0,112.64,110.38,111.86,111.01,2446300
2017-06-27,111.35,111.93,108.13,108.32,107.5,3058000
2017-06-28,108.7,109.2,106.74,108.81,107.98,3668200
2017-06-29,108.16,108.72,105.47,106.68,105.87,3820400
2017-06-30,107.1,107.56,105.65,105.72,104.92,3216500
2017-07-03,106.51,107.0,105.21,105.42,104.62,1656400
2017-07-05,105.95,107.31,105.35,106.76,105.95,2824900
2017-07-06,106.06,107.12,105.5,105.75,104.94,2471600
2017-07-07,106.28,108.47,105.54,107.45,106.63,2152500
2017-07-10,107.84,108.69,107.01,107.84,107.02,2188400
2017-07-11,107.63,109.71,107.1,108.42,107.59,2289900
2017-07-12,109.5,110.9,109.05,110.68,109.84,1943500
2017-07-13,110.83,111.61,108.92,108.98,108.15,1710800
2017-07-14,109.61,110.34,108.75,108.99,108.16,1321300
2017-07-17,109.02,110.43,108.72,109.44,108.61,1686400
2017-07-18,110.0,110.93,109.48,110.28,109.44,1908700
2017-07-19,110.43,111.65,109.81,111.58,110.73,2498400
2017-07-20,111.61,112.18,110.38,111.97,111.12,2143800
2017-07-21,111.5,112.91,111.27,112.22,111.37,2434900
2017-07-24,112.22,113.97,112.22,113.75,112.88,2784600
2017-07-25,113.97,114.52,113.31,113.66,112.79,2735500
2017-07-26,115.46,118.11,115.19,118.0,117.1,4520400
2017-07-27,119.01,120.25,116.06,117.6,116.7,8953500
2017-07-28,114.0,118.75,113.5,118.25,117.35,5012300
2017-07-31,119.05,119.25,116.5,116.74,115.85,2951400
2017-08-01,117.57,117.65,116.44,116.92,116.03,2488200
2017-08-02,117.11,117.42,113.83,116.83,115.94,3111600
2017-08-03,117.38,119.23,116.98,118.85,117.95,2929100
2017-08-04,119.15,119.18,116.9,117.22,116.33,2341200
2017-08-07,117.6,117.96,116.49,116.96,116.07,1882900
2017-08-08,116.5,117.13,116.02,116.5,115.61,1329900
2017-08-09,115.55,116.84,114.75,116.11,115.23,1709400
2017-08-10,115.41,115.72,113.69,113.99,113.12,2950200
2017-08-11,113.74,115.98,113.51,115.45,114.57,1584900
2017-08-14,116.71,118.0,116.4,117.11,116.22,2890000
2017-08-15,117.23,117.62,116.58,117.43,116.54,1048100
2017-08-16,117.49,119.59,117.03,119.25,118.34,2098200
2017-08-17,119.19,119.47,116.46,116.47,115.58,1793900
2017-08-18,116.0,117.84,115.46,116.88,115.99,1911700
2017-08-21,116.85,117.4,116.12,116.84,115.95,1848500
2017-08-22,117.28,120.45,117.22,119.03,118.12,2512900
2017-08-23,118.65,119.37,117.55,118.18,117.28,1297800
2017-08-24,118.49,118.92,116.0,117.82,116.92,1342800
2017-08-25,118.19,118.71,115.71,116.93,116.04,2206100
2017-08-28,117.52,119.04,116.95,118.73,117.83,1775200
2017-08-29,117.47,119.43,117.22,119.23,118.32,1301300
2017-08-30,119.42,122.08,119.07,121.97,121.04,2193400
2017-08-31,122.0,122.79,120.94,121.5,120.58,2617600
2017-09-01,121.27,121.77,118.51,119.31,118.4,2751500
2017-09-05,118.8,119.3,116.32,118.21,117.31,2336300
2017-09-06,118.77,119.15,116.47,117.0,116.11,1770600
2017-09-07,117.2,119.1,116.59,118.93,118.02,1810900
2017-09-08,119.99,120.16,117.71,118.28,117.38,2424200
2017-09-11,119.88,121.35,119.28,121.19,120.27,2282100
2017-09-12,121.61,122.13,118.68,120.41,119.49,2659200
2017-09-13,119.86,120.45,119.0,119.6,118.69,2515300
2017-09-14,118.74,119.66,117.71,119.19,118.28,2543100
2017-09-15,119.29,119.92,117.75,119.42,118.51,3192000
2017-09-18,119.5,120.87,119.5,119.96,119.05,2573700
2017-09-19,120.25,121.2,119.37,120.21,119.29,2237900
2017-09-20,120.77,121.4,118.74,120.34,119.42,2393300
2017-09-21,120.49,120.49,117.82,118.02,117.12,1914400
2017-09-22,117.46,120.18,117.15,118.5,117.6,2077300
2017-09-25,118.05,118.29,112.85,114.2,113.33,4113100
2017-09-26,114.5,114.67,112.83,113.92,113.05,2994400
2017-09-27,115.4,116.65,115.4,115.97,115.09,1793200
2017-09-28,115.82,116.79,115.24,116.61,115.72,1395600
2017-09-29,116.71,118.17,116.3,118.06,117.16,1743500
2017-10-02,118.89,119.72,116.94,117.95,117.05,1850700
2017-10-03,117.92,118.1,116.76,117.96,117.06,1249700
2017-10-04,117.52,118.75,116.41,118.56,117.66,1642400
2017-10-05,118.63,119.75,117.93,119.52,118.61,1438900
2017-10-06,119.03,120.29,118.44,120.09,119.18,1912800
2017-10-09,119.24,119.3,117.67,118.62,117.72,1516000
2017-10-10,119.03,119.49,116.71,117.82,116.92,1558200
2017-10-11,117.33,118.0,115.52,116.05,115.17,3152800
2017-10-12,115.97,117.78,115.77,117.14,116.25,2046200
2017-10-13,117.76,118.92,117.55,118.62,117.72,1931200
2017-10-16,118.81,119.0,117.05,117.48,116.59,2601800
2017-10-17,117.2,118.15,115.63,115.98,115.1,3130300
2017-10-18,113.41,113.75,110.31,113.16,112.3,9784700
2017-10-19,112.0,113.08,111.12,113.07,112.21,3183200
2017-10-20,113.6,114.28,113.15,113.62,112.76,1988800
2017-10-23,113.81,114.43,112.73,113.66,112.79,2204700
2017-10-24,113.68,114.72,112.76,113.39,112.53,2006100
2017-10-25,113.2,114.88,112.59,114.56,113.69,3205300
2017-10-26,115.07,117.06,115.02,115.83,114.95,2453200
2017-10-27,116.83,117.55,115.41,116.89,116.0,2892000
2017-10-30,117.13,117.77,116.64,117.58,116.68,2614100
2017-10-31,118.13,119.84,116.37,119.6,118.69,5477400
2017-11-01,116.0,116.6,111.28,114.47,113.6,9669200
2017-11-02,114.35,114.52,112.6,112.69,111.83,3438300
