Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,34.62,34.99,34.44,34.82,33.31,9393300
2017-05-25,34.88,35.3,34.86,35.22,33.69,8498700
2017-05-26,35.26,35.26,34.66,34.9,33.38,6622500
2017-05-30,34.78,34.83,34.37,34.62,33.11,7254300
2017-05-31,34.92,34.92,34.1,34.3,32.81,9762200
2017-06-01,34.44,34.89,34.2,34.79,33.28,6665300
2017-06-02,34.92,35.44,34.61,35.32,33.78,6860300
2017-06-05,36.02,36.02,35.39,35.55,34.0,6050100
2017-06-06,35.41,35.81,35.35,35.47,33.93,5527300
2017-06-07,35.65,35.87,35.56,35.77,34.21,5328300
2017-06-08,36.07,36.32,35.87,36.14,34.57,8946500
2017-06-09,36.25,36.5,34.69,34.94,33.42,11051900
2017-06-12,34.7,34.77,33.98,34.15,32.66,12833200
2017-06-13,34.21,34.55,34.08,34.46,32.96,7569100
2017-06-14,34.63,34.73,34.11,34.5,33.0,6534100
2017-06-15,34.26,34.29,33.89,34.09,32.61,6296600
2017-06-16,33.92,34.32,33.91,33.96,32.48,9987700
2017-06-19,34.12,34.99,34.0,34.9,33.38,5840700
2017-06-20,34.74,35.34,34.74,34.93,33.41,10636800
2017-06-21,35.0,35.12,34.75,34.96,33.44,5418900
2017-06-22,34.99,35.28,34.84,35.12,33.59,5633900
2017-06-23,35.12,35.74,34.96,35.57,34.02,24063300
2017-06-26,35.89,35.97,35.0,35.09,33.56,6844400
2017-06-27,35.0,35.32,34.85,34.91,33.39,8623300
2017-06-28,35.0,35.33,34.62,35.31,33.77,4806500
2017-06-29,35.3,35.3,34.09,34.51,33.01,8277000
2017-06-30,34.78,35.07,34.52,34.92,33.4,10845500
2017-07-03,35.15,35.31,34.55,34.6,33.09,4517400
2017-07-05,34.73,34.86,34.51,34.72,33.21,7540700
2017-07-06,34.39,34.5,33.95,34.03,32.55,8600400
2017-07-07,34.02,34.55,34.01,34.23,32.74,6896600
2017-07-10,34.31,35.14,34.28,35.04,33.52,8736400
2017-07-11,34.97,35.45,34.89,35.19,33.66,8455900
2017-07-12,35.53,36.2,35.53,36.03,34.46,13437500
2017-07-13,36.61,37.13,36.26,36.5,34.91,12906200
2017-07-14,36.91,37.2,36.83,37.08,35.47,9710400
2017-07-17,37.03,37.17,36.57,37.05,35.44,8186400
2017-07-18,36.94,36.94,36.57,36.8,35.2,12773500
2017-07-19,36.95,37.26,36.65,37.08,35.47,8817600
2017-07-20,37.17,37.48,37.0,37.18,35.56,17538300
2017-07-21,36.2,36.9,36.05,36.61,35.02,22222100
2017-07-24,36.45,36.73,36.22,36.38,34.8,13039800
2017-07-25,36.33,36.49,36.06,36.32,34.74,6499000
2017-07-26,36.36,37.07,36.36,37.04,35.43,11305100
2017-07-27,37.09,37.27,35.54,36.17,34.6,15288200
2017-07-28,36.08,36.21,35.73,35.94,34.38,7654600
2017-07-31,36.09,36.13,35.65,35.73,34.18,6228000
2017-08-01,35.82,36.02,35.75,35.91,34.35,4685400
2017-08-02,35.69,35.95,35.42,35.9,34.34,6484200
2017-08-03,35.97,35.98,35.57,35.71,34.16,5726300
2017-08-04,35.86,35.86,35.55,35.62,34.07,5182500
2017-08-07,35.61,36.15,35.38,36.11,34.54,5380200
2017-08-08,35.96,36.64,35.89,36.36,34.78,9655700
2017-08-09,36.13,36.23,35.72,36.08,34.51,7888100
2017-08-10,35.95,35.98,34.88,34.99,33.47,12533800
2017-08-11,35.16,35.32,34.76,35.05,33.53,7746800
2017-08-14,35.44,35.45,34.88,35.2,33.67,7192500
2017-08-15,35.24,35.42,35.12,35.25,33.72,4588500
2017-08-16,35.23,35.48,35.07,35.36,33.82,3976900
2017-08-17,35.5,35.5,34.8,34.85,33.33,6698900
2017-08-18,34.83,35.14,34.75,34.78,33.27,8746600
2017-08-21,35.13,35.13,34.09,34.24,32.75,8190500
2017-08-22,34.37,34.81,34.31,34.81,33.3,6177700
2017-08-23,34.62,34.98,34.51,34.89,33.37,6326600
2017-08-24,34.86,35.04,34.51,34.88,33.36,5778100
2017-08-25,34.98,35.07,34.56,34.68,33.17,6885100
2017-08-28,34.75,34.9,34.66,34.81,33.3,5075300
2017-08-29,34.48,35.32,34.42,35.2,33.67,7118300
2017-08-30,35.14,35.96,35.1,35.69,34.14,8288900
2017-08-31,35.85,36.32,35.82,36.13,34.56,8591100
2017-09-01,36.2,36.58,36.14,36.35,34.77,5122900
2017-09-05,36.19,36.48,35.77,36.09,34.52,6315000
2017-09-06,36.08,36.98,36.08,36.76,35.16,12965900
2017-09-07,36.95,38.19,36.84,38.01,36.36,14055300
2017-09-08,38.04,38.3,37.73,37.79,36.15,9075900
2017-09-11,38.04,38.26,38.0,38.09,36.43,6122000
2017-09-12,38.07,38.3,37.98,38.18,36.52,4259700
2017-09-13,38.0,38.5,38.0,38.27,36.61,5622300
2017-09-14,38.24,38.59,38.13,38.31,36.64,6603800
2017-09-15,38.27,38.87,38.07,38.4,36.73,11121900
2017-09-18,38.3,38.67,38.18,38.39,36.72,5636200
2017-09-19,38.5,38.75,38.32,38.59,36.91,5215300
2017-09-20,38.67,38.87,38.21,38.54,36.86,6424600
2017-09-21,38.55,38.67,38.19,38.25,36.59,5715800
2017-09-22,38.13,38.31,38.05,38.29,36.62,4866100
2017-09-25,38.22,38.31,37.54,37.78,36.14,7420300
2017-09-26,37.85,38.19,37.75,37.85,36.2,6132900
2017-09-27,38.03,38.29,37.76,38.05,36.39,9377700
2017-09-28,37.44,37.96,37.44,37.73,36.09,7734200
2017-09-29,37.73,38.6,37.71,38.46,36.79,9965000
2017-10-02,38.51,38.78,38.37,38.73,37.05,7243800
2017-10-03,38.78,39.05,38.49,38.71,37.03,5107000
2017-10-04,38.8,38.83,38.5,38.66,36.98,5630400
2017-10-05,38.76,39.03,38.67,38.99,37.29,5452500
2017-10-06,39.05,39.08,38.67,38.81,37.12,7466700
2017-10-09,38.8,39.27,38.8,38.99,37.29,4983700
2017-10-10,39.02,39.28,38.77,38.84,37.15,6012700
2017-10-11,38.85,38.98,38.17,38.31,36.64,11038600
2017-10-12,38.31,38.5,38.06,38.09,36.43,10045700
2017-10-13,38.35,38.53,38.16,38.35,36.68,9421300
