Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,128.3,129.78,128.07,129.31,122.85,872300
2017-05-25,129.8,130.52,129.51,130.31,123.8,803200
2017-05-26,130.76,131.49,130.75,131.3,124.74,870100
2017-05-30,131.16,131.65,130.64,131.56,124.99,1037300
2017-05-31,131.85,133.01,131.26,132.84,126.21,946000
2017-06-01,132.99,133.96,132.84,133.78,127.1,982400
2017-06-02,133.86,134.4,133.26,134.33,127.62,818800
2017-06-05,134.36,134.37,133.63,133.66,126.98,836500
2017-06-06,133.35,133.93,132.42,133.35,126.69,745700
2017-06-07,133.57,133.96,133.25,133.52,126.85,727400
2017-06-08,133.52,133.6,132.45,132.73,126.1,882800
2017-06-09,133.31,133.84,132.84,133.81,127.13,1091000
2017-06-12,133.81,133.97,132.8,133.18,126.53,775600
2017-06-13,133.22,134.6,132.76,134.49,127.77,774800
2017-06-14,134.79,134.89,133.64,133.88,127.19,650600
2017-06-15,133.73,134.38,132.86,133.85,127.16,980800
2017-06-16,133.69,134.28,133.5,134.28,127.93,1609100
2017-06-19,134.43,134.74,133.9,134.61,128.24,670400
2017-06-20,134.16,134.45,133.88,134.11,127.77,605700
2017-06-21,134.03,134.54,132.04,132.14,125.89,1084300
2017-06-22,132.14,132.8,131.63,131.68,125.45,780300
2017-06-23,131.7,132.36,131.31,131.66,125.43,1038800
2017-06-26,131.74,132.5,131.52,132.02,125.77,948700
2017-06-27,132.0,132.46,131.7,131.78,125.55,869000
2017-06-28,132.62,133.3,132.37,132.9,126.61,620400
2017-06-29,132.89,132.99,130.88,131.45,125.23,826300
2017-06-30,132.0,133.23,131.81,132.75,126.47,995800
2017-07-03,133.19,133.47,132.49,132.94,126.65,715600
2017-07-05,133.28,133.99,133.12,133.27,126.96,970500
2017-07-06,133.07,133.47,132.14,132.18,125.93,768500
2017-07-07,132.18,132.79,131.62,132.62,126.35,886700
2017-07-10,132.63,132.84,131.68,132.05,125.8,767800
2017-07-11,132.17,132.65,131.45,131.89,125.65,607100
