Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,81.28,81.61,81.18,81.45,67.69,1626900
2017-05-25,81.58,82.16,81.31,82.04,68.18,1341800
2017-05-26,82.1,82.4,81.85,82.1,68.23,1123200
2017-05-30,82.04,82.39,81.87,82.2,68.32,1173700
2017-05-31,82.31,83.25,82.22,82.79,68.81,1924600
2017-06-01,82.77,83.45,82.49,83.43,69.34,1467000
2017-06-02,83.89,83.99,83.26,83.53,69.42,918800
2017-06-05,83.39,83.49,83.02,83.05,69.02,855600
2017-06-06,83.25,83.33,82.71,82.9,68.9,1173700
2017-06-07,83.14,83.95,82.86,83.76,69.61,1599800
2017-06-08,83.76,83.76,82.48,83.04,69.01,1617300
2017-06-09,82.7,83.35,82.64,83.25,69.19,1412600
2017-06-12,83.25,83.74,82.63,83.3,69.23,1546100
2017-06-13,82.84,83.08,82.51,82.88,68.88,1687300
2017-06-14,83.56,83.98,83.24,83.59,69.47,1312100
2017-06-15,83.75,84.26,83.07,84.26,70.03,1907800
2017-06-16,84.5,85.04,84.35,84.85,70.52,2975700
2017-06-19,84.72,84.76,84.3,84.75,70.44,1687200
2017-06-20,84.8,85.13,84.72,84.96,70.61,1283000
2017-06-21,85.04,85.13,84.35,84.65,70.35,1135000
2017-06-22,84.47,84.86,84.16,84.2,69.98,1154600
2017-06-23,84.14,84.55,83.73,83.84,69.68,1347100
2017-06-26,83.91,84.58,83.73,84.04,69.85,1387900
2017-06-27,83.56,83.78,82.52,82.67,68.71,1566000
2017-06-28,83.01,83.06,81.81,81.82,68.0,1627100
2017-06-29,81.2,81.47,80.67,80.83,67.18,2111700
2017-06-30,80.96,81.35,80.8,80.82,67.17,1943400
2017-07-03,81.14,81.28,80.57,80.57,66.96,929600
2017-07-05,80.6,80.72,80.17,80.47,66.88,1551500
2017-07-06,80.36,80.6,80.04,80.39,66.81,1200200
2017-07-07,80.52,80.9,80.28,80.53,66.93,1345700
2017-07-10,80.61,80.92,80.37,80.37,66.8,1314300
2017-07-11,80.51,80.65,80.04,80.41,66.83,1060000
2017-07-12,80.98,81.22,80.82,81.11,67.41,1233400
2017-07-13,80.9,81.02,80.31,80.33,66.76,1512200
2017-07-14,80.9,81.22,80.6,80.73,67.09,837100
2017-07-17,80.81,81.12,80.49,81.11,67.41,885500
2017-07-18,81.18,81.41,81.04,81.21,67.49,1104300
2017-07-19,81.47,81.75,81.09,81.75,67.94,988100
2017-07-20,82.0,82.42,81.68,82.41,68.49,969500
2017-07-21,82.42,82.98,82.24,82.93,68.92,1628600
2017-07-24,82.91,82.98,81.82,82.14,68.27,1601600
2017-07-25,82.13,82.18,81.24,81.51,67.74,1326200
2017-07-26,81.4,82.11,81.24,82.11,68.24,1294300
2017-07-27,81.94,82.3,81.55,82.29,68.39,1653700
2017-07-28,82.27,82.49,81.77,82.38,68.47,2203700
2017-07-31,82.41,82.96,82.15,82.86,68.86,2909000
2017-08-01,82.94,83.09,82.37,82.74,68.77,1694300
2017-08-02,82.44,82.83,82.15,82.7,68.73,1804300
2017-08-03,82.51,83.12,82.43,83.12,69.08,2194400
2017-08-04,82.35,83.62,82.35,82.8,68.82,1396100
2017-08-07,82.81,83.5,82.64,83.5,69.4,1267200
2017-08-08,83.39,84.12,83.3,84.06,69.86,1386400
2017-08-09,83.45,84.16,83.14,83.26,69.2,2978300
2017-08-10,83.32,83.85,82.82,83.64,69.51,1430500
2017-08-11,83.68,83.83,82.51,82.87,68.87,1546900
2017-08-14,82.34,82.78,82.04,82.55,69.18,1566400
2017-08-15,82.19,83.18,82.19,83.05,69.6,1047700
2017-08-16,83.07,83.53,82.93,83.44,69.93,872600
2017-08-17,83.46,83.65,82.91,83.02,69.58,1044700
2017-08-18,82.96,84.07,82.74,83.53,70.0,2024000
2017-08-21,83.69,83.93,83.31,83.75,70.19,937300
2017-08-22,83.76,83.93,83.31,83.93,70.34,1084900
2017-08-23,83.97,84.29,83.64,84.26,70.62,825900
2017-08-24,84.24,84.54,84.03,84.23,70.59,845800
2017-08-25,84.44,84.87,84.3,84.48,70.8,778600
2017-08-28,84.66,84.76,84.25,84.59,70.89,825300
2017-08-29,84.79,84.92,84.37,84.42,70.75,1070900
2017-08-30,84.32,84.36,83.99,84.08,70.47,708900
2017-08-31,84.08,84.38,83.87,84.27,70.62,1328900
2017-09-01,84.44,84.49,83.76,83.99,70.39,853800
2017-09-05,84.13,84.41,83.9,84.37,70.71,1130100
2017-09-06,84.52,84.53,83.82,84.05,70.44,1414900
2017-09-07,84.28,84.85,84.04,84.74,71.02,1658200
2017-09-08,84.74,85.68,84.56,85.53,71.68,1505500
2017-09-11,85.45,86.16,85.22,86.05,72.12,1109800
2017-09-12,86.0,86.01,83.91,84.21,70.57,1614000
2017-09-13,84.16,84.28,83.73,83.76,70.2,1424400
2017-09-14,83.7,84.51,83.44,84.51,70.83,1531300
2017-09-15,84.73,84.89,84.2,84.44,70.77,2472200
2017-09-18,84.54,84.55,82.93,83.57,70.04,1271300
2017-09-19,83.67,83.71,83.2,83.41,69.9,1305200
2017-09-20,83.6,83.73,82.29,82.6,69.23,1431700
2017-09-21,82.64,83.13,82.3,82.43,69.08,1086100
2017-09-22,82.75,82.75,81.58,81.59,68.38,1140700
2017-09-25,81.72,82.35,81.51,82.24,68.92,1354800
2017-09-26,81.2,82.14,81.2,81.84,68.59,1505300
2017-09-27,81.31,81.65,80.17,80.62,67.57,1496900
2017-09-28,80.45,80.98,80.02,80.71,67.64,1619500
2017-09-29,80.68,80.89,80.28,80.68,67.62,1848500
2017-10-02,80.89,81.67,80.64,81.11,67.98,1973700
2017-10-03,81.04,81.06,80.26,80.9,67.8,1181100
2017-10-04,80.97,81.79,80.62,81.78,68.54,1136700
2017-10-05,81.79,81.93,81.33,81.77,68.53,1444600
2017-10-06,81.33,81.75,81.09,81.56,68.35,1095700
2017-10-09,81.66,81.91,81.42,81.49,68.29,1224300
2017-10-10,81.55,82.41,81.4,82.4,69.06,1557100
2017-10-11,82.2,83.13,82.2,82.84,69.43,1352500
2017-10-12,82.8,83.57,82.8,83.53,70.0,1227900
2017-10-13,83.76,84.09,82.93,83.08,69.63,1558500
2017-10-16,83.02,83.38,82.28,82.85,69.43,1582800
2017-10-17,83.02,83.65,82.66,83.56,70.03,1144400
2017-10-18,83.39,83.89,82.97,83.78,70.21,1530700
2017-10-19,83.91,84.86,83.76,84.84,71.1,1320800
2017-10-20,84.59,85.08,84.5,84.86,71.12,1358200
2017-10-23,84.87,85.18,84.53,85.1,71.32,1611100
2017-10-24,85.49,85.79,85.14,85.76,71.87,1950200
2017-10-25,85.33,85.44,84.24,85.33,71.51,1637300
2017-10-26,85.74,86.12,85.2,85.5,71.66,1354900
2017-10-27,85.3,86.33,85.28,85.92,72.01,1125200
2017-10-30,85.8,86.01,85.55,85.9,71.99,1490500
2017-10-31,85.81,86.19,85.7,86.05,72.12,1398500
2017-11-01,85.85,86.53,85.27,85.8,71.91,1305300
2017-11-02,86.04,86.82,85.73,86.8,72.75,1690100
2017-11-03,86.8,87.58,86.44,87.04,72.95,1629400
2017-11-06,87.1,87.24,86.27,86.32,72.34,1372600
2017-11-07,86.54,87.7,86.12,87.69,73.49,1487400
2017-11-08,87.59,88.08,87.24,87.86,73.63,1799400
2017-11-09,87.58,88.08,87.36,87.66,73.47,1134700
2017-11-10,87.17,87.43,86.82,87.19,73.07,1578200
2017-11-13,87.44,88.66,87.4,88.31,74.01,1370100
2017-11-14,87.5,89.01,87.34,88.96,75.14,1583900
2017-11-15,89.12,89.58,88.0,88.02,74.35,1311900
2017-11-16,88.07,88.13,87.17,87.36,73.79,2826300
2017-11-17,87.08,87.36,86.22,86.53,73.09,3068900
