Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,136.75,137.32,135.76,136.39,129.7,558000
2017-05-25,137.11,137.82,136.79,137.13,130.4,604200
2017-05-26,137.1,137.9,136.06,136.43,129.73,324900
2017-05-30,136.3,136.88,135.34,136.71,130.0,622400
2017-05-31,137.06,137.29,136.23,136.8,130.09,721500
2017-06-01,137.0,138.0,136.07,137.89,131.12,577600
2017-06-02,138.0,138.84,137.33,137.61,130.86,421800
2017-06-05,137.38,138.65,137.05,138.16,131.38,458900
2017-06-06,137.84,138.83,137.12,137.13,130.4,563200
2017-06-07,137.51,138.15,136.89,137.38,130.64,350500
2017-06-08,137.38,137.41,134.51,135.45,128.8,635700
2017-06-09,135.48,136.4,134.67,135.52,128.87,384400
2017-06-12,135.36,137.39,134.99,136.83,130.12,560000
2017-06-13,137.55,140.86,137.37,140.34,133.45,706600
2017-06-14,140.9,142.04,140.32,141.01,134.09,726900
2017-06-15,139.98,141.75,139.45,141.62,134.67,481300
2017-06-16,141.75,143.09,141.25,142.58,135.58,939300
2017-06-19,143.31,144.01,141.46,141.8,134.84,785400
2017-06-20,141.33,141.68,139.11,139.56,132.71,696500
2017-06-21,139.99,139.99,137.79,139.03,132.21,471700
2017-06-22,139.06,139.15,137.53,138.93,132.11,422700
2017-06-23,138.82,139.62,138.11,139.39,132.55,588800
2017-06-26,139.71,140.36,138.86,139.43,132.59,252100
2017-06-27,139.0,139.56,137.89,138.35,131.56,291300
2017-06-28,139.12,139.97,138.16,139.51,132.66,504700
2017-06-29,139.25,139.42,135.92,137.15,130.42,398700
2017-06-30,138.16,138.35,137.23,137.42,130.68,625900
2017-07-03,137.9,138.89,137.17,138.01,131.24,261400
2017-07-05,137.68,139.75,137.45,139.55,132.7,558900
2017-07-06,138.56,138.56,136.66,137.22,130.49,783400
2017-07-07,137.89,139.45,137.88,138.37,131.58,519100
2017-07-10,138.38,139.25,137.55,139.0,132.18,341100
2017-07-11,138.99,139.45,138.24,138.93,132.11,387700
2017-07-12,139.91,140.56,139.57,139.8,132.94,479900
2017-07-13,139.98,140.32,138.96,139.13,132.3,416400
2017-07-14,139.36,140.12,139.36,139.77,132.91,277200
2017-07-17,139.67,140.68,139.38,140.06,133.19,363700
2017-07-18,139.4,141.52,139.07,141.52,134.58,427900
2017-07-19,141.72,142.88,141.17,142.72,135.72,477700
2017-07-20,143.03,143.47,142.14,142.99,135.97,466600
2017-07-21,142.62,144.37,142.62,143.89,136.83,268700
2017-07-24,143.64,144.76,143.34,144.52,137.43,548700
2017-07-25,145.35,145.35,144.16,144.8,137.69,483800
2017-07-26,145.21,147.02,144.76,146.21,139.03,692200
2017-07-27,142.57,142.94,139.12,142.68,135.68,1210500
2017-07-28,142.92,145.6,142.54,145.09,137.97,704000
2017-07-31,145.75,146.42,145.26,145.44,138.3,725300
2017-08-01,146.0,146.5,145.44,146.26,139.08,452800
2017-08-02,146.0,146.25,144.79,145.49,138.35,651700
2017-08-03,145.46,145.46,143.95,144.94,137.83,594100
2017-08-04,145.27,145.56,144.57,145.43,138.29,404300
2017-08-07,145.36,145.63,144.61,145.47,138.33,588700
2017-08-08,144.97,145.32,142.2,142.37,135.38,623400
2017-08-09,142.37,143.33,141.9,142.94,135.93,394100
2017-08-10,142.14,142.88,141.42,142.06,135.09,452700
2017-08-11,141.93,142.83,141.28,141.35,134.41,351600
2017-08-14,142.16,143.2,141.64,142.81,135.8,386700
2017-08-15,142.87,143.25,141.86,142.88,135.87,468000
2017-08-16,143.18,143.41,142.5,143.0,135.98,485800
2017-08-17,142.94,143.15,140.58,140.63,133.73,381600
2017-08-18,140.9,141.0,139.73,139.89,133.03,530600
2017-08-21,140.07,140.33,139.14,139.84,132.98,391300
2017-08-22,139.81,142.36,139.46,142.22,135.24,608700
2017-08-23,141.37,142.41,140.76,140.98,134.43,281600
2017-08-24,141.23,141.23,140.15,140.38,133.86,221800
2017-08-25,141.12,141.18,140.39,140.7,134.16,304000
2017-08-28,141.0,141.28,140.09,140.62,134.09,476700
2017-08-29,140.07,141.11,139.75,140.8,134.26,321900
2017-08-30,140.57,141.71,140.56,141.42,134.85,221600
2017-08-31,141.78,143.27,141.77,142.47,135.85,425400
