Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,79.02,79.34,78.89,79.22,64.95,1106300
2017-05-25,79.17,80.1,78.98,79.95,65.55,789500
2017-05-26,79.86,80.24,79.75,79.96,65.56,775800
2017-05-30,79.89,80.81,79.84,80.67,66.14,1357800
2017-05-31,80.62,81.72,80.62,81.57,66.88,2596100
2017-06-01,81.31,82.15,81.04,82.15,67.35,1934300
2017-06-02,82.69,82.82,81.57,82.01,67.24,1809700
2017-06-05,81.82,82.19,81.68,81.84,67.1,1509000
2017-06-06,81.98,82.27,81.43,81.51,66.83,1394500
2017-06-07,81.53,82.02,81.46,81.83,67.09,1376800
2017-06-08,81.83,81.83,80.59,81.42,66.75,1413000
2017-06-09,81.2,81.44,80.48,81.29,66.65,1829000
2017-06-12,81.26,81.32,79.72,80.43,65.94,2125100
2017-06-13,80.21,80.35,79.76,80.3,65.83,1381500
2017-06-14,80.96,81.48,80.4,80.88,66.31,1703700
2017-06-15,80.83,82.05,80.71,81.98,67.21,1939900
2017-06-16,82.26,82.59,81.9,82.18,67.38,2479100
2017-06-19,82.33,82.34,81.61,81.9,67.15,1203800
2017-06-20,81.93,82.28,81.76,81.78,67.05,1048800
2017-06-21,81.89,82.06,81.2,81.45,66.78,1260700
2017-06-22,81.28,81.75,80.84,80.89,66.32,1013000
2017-06-23,80.86,81.08,79.82,80.03,65.61,2122700
2017-06-26,80.05,80.97,79.93,80.47,65.97,1576000
2017-06-27,80.12,80.38,79.05,79.06,64.82,2260500
2017-06-28,78.85,79.01,78.03,78.09,64.47,1829400
2017-06-29,77.81,78.48,77.26,78.16,64.52,2909200
2017-06-30,78.32,78.98,78.19,78.19,64.55,2024700
2017-07-03,78.4,78.46,77.18,77.18,63.71,963300
2017-07-05,77.23,77.58,76.64,76.89,63.47,1577300
2017-07-06,76.67,76.84,76.44,76.67,63.29,1053800
2017-07-07,76.67,77.22,76.57,76.83,63.43,953600
2017-07-10,76.97,77.11,76.41,76.44,63.1,1201500
2017-07-11,76.69,77.0,76.38,76.55,63.19,1610100
2017-07-12,77.24,77.4,76.53,76.59,63.23,1709300
2017-07-13,77.03,78.47,76.88,77.53,64.0,2912800
2017-07-14,78.03,78.32,77.38,77.45,63.94,1903000
2017-07-17,77.39,77.93,77.32,77.84,64.26,1733800
2017-07-18,77.92,78.14,77.63,77.86,64.28,1576400
2017-07-19,78.04,78.09,77.65,78.07,64.45,966300
2017-07-20,78.23,78.49,78.06,78.45,64.76,1134400
2017-07-21,78.36,79.01,78.23,78.98,65.2,1467800
2017-07-24,78.93,78.96,78.42,78.48,64.79,1729600
2017-07-25,78.32,78.61,78.08,78.39,64.71,1723000
2017-07-26,78.46,78.98,78.14,78.91,65.14,1276200
2017-07-27,78.76,79.25,78.41,79.22,65.4,1312500
2017-07-28,78.88,79.35,78.13,78.25,64.6,2742300
2017-07-31,77.75,78.94,77.75,78.68,64.95,1398500
2017-08-01,78.88,79.33,78.62,78.88,65.12,1890800
2017-08-02,78.52,78.92,78.14,78.74,65.0,1293200
2017-08-03,78.58,79.44,78.38,79.44,65.58,1426500
2017-08-04,79.18,79.36,78.67,79.29,65.46,717100
2017-08-07,79.24,79.46,78.94,79.44,65.58,733900
2017-08-08,79.18,79.8,79.18,79.79,65.87,587200
2017-08-09,79.99,79.99,79.34,79.45,65.59,1154400
2017-08-10,79.43,79.83,79.15,79.67,65.77,1118300
2017-08-11,80.07,80.26,79.25,79.53,65.65,1239600
2017-08-14,79.42,80.61,79.26,80.52,66.47,2111800
2017-08-15,80.26,81.33,79.34,79.92,65.98,3617000
2017-08-16,79.85,80.12,79.6,79.77,65.85,2082400
2017-08-17,79.81,80.07,78.7,79.01,65.22,2564500
2017-08-18,79.09,79.33,78.83,78.94,65.17,3203800
2017-08-21,78.97,79.95,78.91,79.78,65.86,1996800
2017-08-22,79.74,80.13,79.71,80.1,66.12,1209800
2017-08-23,80.15,80.56,80.04,80.33,66.31,1817700
