Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,79.57,80.3,79.13,79.51,68.57,861600
2017-05-25,79.65,80.15,79.18,79.67,68.71,1108300
2017-05-26,79.84,80.41,79.41,79.91,68.92,832300
2017-05-30,79.74,80.11,79.23,79.96,68.96,1536200
2017-05-31,79.88,80.18,78.59,80.11,69.09,1594600
2017-06-01,80.56,82.15,80.36,81.15,69.99,1724200
2017-06-02,80.7,81.35,80.49,81.11,69.95,1379400
2017-06-05,80.83,81.27,80.1,80.54,69.46,1392400
2017-06-06,80.23,80.76,79.93,80.28,69.24,967700
2017-06-07,80.49,81.12,80.04,80.76,69.65,1095700
2017-06-08,80.76,81.76,80.36,81.35,70.16,956600
2017-06-09,81.77,82.94,81.33,82.56,71.2,1075400
2017-06-12,82.63,83.92,82.48,83.08,71.65,1792400
2017-06-13,82.76,84.07,82.62,83.84,72.75,1653600
2017-06-14,83.7,83.82,82.2,82.88,71.92,1384300
2017-06-15,81.82,82.69,81.39,82.31,71.43,1212200
2017-06-16,82.55,83.06,81.96,83.05,72.07,1709700
2017-06-19,84.79,86.28,84.75,86.0,74.63,2223600
2017-06-20,85.2,85.94,84.77,85.13,73.87,1741300
2017-06-21,85.36,85.36,83.11,83.23,72.23,1144000
2017-06-22,83.24,83.55,82.72,82.85,71.9,966500
2017-06-23,83.08,83.44,82.33,82.97,72.0,1772700
2017-06-26,83.44,83.83,82.54,83.73,72.66,920500
2017-06-27,83.79,84.16,83.5,83.52,72.48,597800
2017-06-28,84.21,84.91,84.14,84.26,73.12,725900
2017-06-29,84.83,84.99,83.09,83.4,72.37,783500
2017-06-30,83.89,84.45,83.48,83.99,72.88,708700
2017-07-03,84.61,85.11,84.38,84.5,73.33,376500
2017-07-05,84.54,84.78,82.57,83.56,72.51,1290000
2017-07-06,83.36,84.44,83.04,83.6,72.55,1239200
2017-07-07,83.99,84.1,83.38,83.9,72.81,897300
2017-07-10,83.63,84.88,83.29,84.64,73.45,634500
2017-07-11,84.66,85.29,84.35,85.0,73.76,790700
2017-07-12,85.48,86.06,84.98,85.8,74.46,1278900
2017-07-13,85.85,86.07,85.08,85.15,73.89,739900
2017-07-14,85.53,85.71,85.07,85.4,74.11,653300
2017-07-17,85.31,85.6,85.05,85.24,73.97,505900
2017-07-18,85.04,85.22,84.48,85.08,73.83,593000
2017-07-19,85.24,86.31,85.11,86.15,74.76,828100
2017-07-20,86.09,86.09,85.0,85.68,74.35,536800
2017-07-21,85.19,85.77,85.12,85.65,74.33,610100
2017-07-24,85.64,85.99,85.22,85.8,74.46,526900
2017-07-25,86.5,86.6,85.53,86.12,74.73,765100
2017-07-26,86.16,86.22,84.94,85.05,73.8,915400
2017-07-27,85.11,85.28,84.22,85.02,73.78,1347300
2017-07-28,84.0,84.42,81.91,83.03,72.05,1683700
2017-07-31,83.6,84.16,83.13,83.16,72.16,1074000
