Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,434.94,441.72,434.94,440.43,402.18,423500
2017-05-25,442.64,446.0,439.94,444.97,406.33,423200
2017-05-26,444.98,446.58,439.97,441.22,402.9,296600
2017-05-30,440.47,442.76,439.79,439.91,401.71,345400
2017-05-31,440.68,442.65,436.91,441.01,402.71,741500
2017-06-01,441.7,443.02,436.03,436.93,398.99,493800
2017-06-02,437.93,444.71,435.0,444.32,405.74,530900
2017-06-05,442.56,445.21,440.15,444.21,405.63,353600
2017-06-06,444.44,447.26,441.08,442.31,403.9,373100
2017-06-07,442.02,444.32,437.16,440.69,402.42,406400
2017-06-08,441.75,441.87,434.06,440.39,402.15,394000
2017-06-09,439.39,442.7,435.78,439.21,401.07,555000
2017-06-12,436.78,440.17,422.27,425.01,388.1,869800
2017-06-13,425.57,435.0,425.44,430.54,393.15,393400
2017-06-14,436.43,437.34,430.78,432.1,394.58,408700
2017-06-15,429.08,435.28,427.1,433.96,396.27,315600
2017-06-16,436.36,437.34,424.02,427.28,390.17,1718100
2017-06-19,427.86,432.64,426.65,432.22,394.69,457500
2017-06-20,433.78,435.55,430.1,433.94,396.26,456100
2017-06-21,431.9,437.0,426.78,436.49,398.58,702500
2017-06-22,436.2,442.5,433.01,440.29,402.05,606100
2017-06-23,439.79,442.62,433.79,434.07,396.38,1409500
2017-06-26,434.37,440.14,433.7,438.49,400.41,473600
2017-06-27,437.94,439.83,433.15,433.65,395.99,404700
2017-06-28,436.65,437.96,429.34,430.76,393.35,357500
2017-06-29,428.12,431.0,416.72,421.28,384.7,587600
2017-06-30,424.08,431.23,423.56,429.16,391.89,528000
2017-07-03,431.54,435.11,421.32,422.76,386.05,253300
2017-07-05,424.03,425.56,420.59,424.08,387.25,368200
2017-07-06,421.5,423.69,416.64,418.43,382.09,436400
2017-07-07,418.98,425.35,418.78,423.3,386.54,365400
2017-07-10,423.77,427.99,423.15,427.09,390.0,427400
2017-07-11,427.98,431.82,426.3,431.04,393.61,547100
2017-07-12,433.25,439.94,430.97,437.11,399.15,438000
2017-07-13,436.43,438.53,434.23,436.24,398.36,301600
2017-07-14,437.92,443.45,436.68,437.7,399.69,311200
2017-07-17,437.7,438.87,433.64,435.48,397.66,458200
2017-07-18,435.0,438.57,431.86,438.28,400.22,384500
2017-07-19,438.62,444.55,434.09,440.5,402.25,383500
2017-07-20,440.2,443.6,438.06,441.21,402.9,470600
2017-07-21,439.53,445.2,439.53,441.44,403.11,514800
2017-07-24,441.04,442.72,438.26,441.6,403.25,280700
2017-07-25,442.53,445.35,434.56,436.96,399.01,261600
2017-07-26,438.32,442.48,436.96,440.04,401.83,327300
2017-07-27,441.97,443.96,436.19,442.87,404.41,374000
2017-07-28,441.79,448.33,441.79,447.9,409.0,393800
2017-07-31,449.14,451.29,446.44,450.73,411.59,369700
2017-08-01,452.25,455.37,450.86,453.08,413.73,458200
2017-08-02,454.08,457.46,445.73,455.47,415.92,633200
2017-08-03,459.0,459.0,442.62,449.36,410.34,816300
2017-08-04,449.45,453.54,441.82,445.58,406.89,441300
