Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,65.14,65.25,64.74,65.2,55.3,1325100
2017-05-25,65.47,65.53,64.7,65.07,55.19,1242700
2017-05-26,65.2,65.27,64.85,65.17,55.27,799900
2017-05-30,65.16,65.47,64.96,65.31,55.39,1004600
2017-05-31,65.33,65.68,65.05,65.09,55.2,2252800
2017-06-01,65.06,65.08,64.4,64.93,55.07,1762300
2017-06-02,65.29,66.73,65.27,66.72,56.59,2351300
2017-06-05,66.41,67.5,66.13,67.42,57.18,1597400
2017-06-06,67.39,67.39,66.73,66.9,56.74,1546500
2017-06-07,66.9,67.24,66.76,67.09,56.9,1867500
2017-06-08,67.09,67.5,66.38,67.44,57.2,1427900
2017-06-09,67.31,67.68,66.93,67.63,57.36,1703500
2017-06-12,67.42,67.59,66.71,66.95,56.78,1761700
2017-06-13,67.06,67.55,66.72,67.11,56.92,935700
2017-06-14,67.56,67.68,66.91,67.19,56.98,999000
2017-06-15,67.04,68.11,67.0,67.77,57.48,1127000
2017-06-16,68.29,68.78,68.11,68.57,58.16,2652700
2017-06-19,68.75,68.83,67.93,68.13,57.78,1507000
2017-06-20,68.18,68.57,67.4,68.16,57.81,1595900
2017-06-21,68.03,68.19,67.26,68.01,57.68,1285200
2017-06-22,67.37,67.42,66.57,67.04,57.28,1908900
2017-06-23,67.01,67.33,66.68,67.21,57.43,2129100
2017-06-26,67.39,67.55,67.02,67.14,57.37,877700
2017-06-27,66.9,67.4,66.35,66.41,56.74,1464400
2017-06-28,66.52,66.69,66.06,66.37,56.71,1349600
2017-06-29,66.2,66.5,65.67,66.3,56.65,1722100
2017-06-30,66.28,66.79,65.83,65.83,56.25,2061900
2017-07-03,66.04,66.71,65.66,66.57,56.88,1044600
2017-07-05,66.67,67.13,66.45,66.78,57.06,2157200
2017-07-06,66.13,66.22,64.84,64.89,55.45,2827500
2017-07-07,64.92,65.35,64.59,64.98,55.52,1446600
2017-07-10,65.15,65.2,64.57,64.73,55.31,1394200
2017-07-11,64.9,65.03,63.98,64.41,55.03,1048600
2017-07-12,64.66,65.35,64.66,65.05,55.58,1162600
2017-07-13,64.98,65.38,64.6,65.01,55.55,1098700
2017-07-14,65.32,65.67,65.14,65.46,55.93,1311200
2017-07-17,65.47,66.42,65.27,66.25,56.61,1212200
2017-07-18,66.14,66.34,65.67,66.05,56.44,1722200
2017-07-19,66.05,67.18,65.99,67.16,57.38,1774300
2017-07-20,67.13,67.72,67.06,67.16,57.38,1491300
2017-07-21,67.13,67.38,66.78,67.16,57.38,1187500
2017-07-24,67.18,67.34,66.36,66.65,56.95,1683500
2017-07-25,66.66,66.66,65.62,66.07,56.45,1942900
2017-07-26,66.08,67.68,65.85,67.36,57.56,1929100
2017-07-27,67.23,67.53,66.55,67.5,57.68,1584000
2017-07-28,67.62,67.88,67.34,67.71,57.85,1084200
2017-07-31,67.73,68.1,67.29,68.06,58.15,1315000
2017-08-01,68.2,68.2,67.63,67.84,57.97,1330700
2017-08-02,67.64,68.06,67.29,67.76,57.9,1638800
2017-08-03,67.64,67.83,67.11,67.3,57.5,1276100
2017-08-04,67.31,67.75,67.03,67.32,57.52,1057300
2017-08-07,67.21,67.6,66.94,67.24,57.45,1108200
2017-08-08,67.11,67.33,66.78,67.15,57.38,2096600
2017-08-09,67.33,67.44,67.03,67.35,57.55,1865400
2017-08-10,67.17,67.38,66.96,67.08,57.32,1642100
2017-08-11,66.87,67.39,66.71,66.98,57.23,1260500
2017-08-14,67.23,68.03,67.14,67.98,58.09,1597900
2017-08-15,67.82,68.34,67.53,68.31,58.37,1491600
2017-08-16,68.44,68.71,67.71,67.91,58.03,1275400
2017-08-17,67.8,68.08,67.53,67.65,57.8,1441900
2017-08-18,67.53,67.53,66.92,67.17,57.39,2942300
2017-08-21,67.29,68.05,67.02,67.77,57.91,975800
2017-08-22,67.77,68.06,67.45,67.74,57.88,1021500
2017-08-23,67.75,68.1,67.71,67.98,58.09,1251400
2017-08-24,68.13,68.47,67.88,67.97,58.08,1484300
2017-08-25,68.07,68.25,67.89,67.94,58.05,1191200
2017-08-28,67.99,68.09,66.93,67.37,57.56,915500
2017-08-29,67.41,67.73,67.01,67.15,57.38,1039400
2017-08-30,67.07,67.31,66.53,67.31,57.51,1323700
2017-08-31,67.33,67.43,66.82,67.15,57.38,2363000
2017-09-01,67.15,67.56,66.9,66.99,57.24,1399500
2017-09-05,67.1,67.21,66.45,67.14,57.37,1641600
2017-09-06,67.4,67.53,66.95,67.22,57.44,1904600
2017-09-07,67.38,67.85,67.25,67.72,57.86,3078200
2017-09-08,67.58,68.59,67.58,68.09,58.18,1463800
2017-09-11,68.2,68.77,68.06,68.61,58.62,1257700
2017-09-12,68.38,68.53,66.97,67.61,57.77,1257200
2017-09-13,67.55,67.59,67.14,67.31,57.51,1050000
2017-09-14,67.38,67.6,66.98,67.39,57.58,1631100
2017-09-15,67.24,67.88,67.08,67.88,58.0,3190200
2017-09-18,67.82,68.16,67.16,67.34,57.54,1518600
2017-09-19,67.64,67.64,66.71,66.83,57.1,1854000
2017-09-20,66.88,67.19,66.41,66.72,57.01,1278400
2017-09-21,66.73,66.91,66.41,66.47,56.8,1611900
2017-09-22,66.1,66.27,65.46,65.88,56.72,1822600
2017-09-25,66.0,66.42,65.89,66.08,56.89,1637700
2017-09-26,66.15,66.31,65.99,66.03,56.85,1520700
2017-09-27,65.84,65.85,65.44,65.62,56.5,1284100
2017-09-28,65.67,65.92,65.47,65.84,56.69,1281400
2017-09-29,65.75,66.1,65.49,65.93,56.76,1729200
