Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,61.28,61.46,61.14,61.41,52.66,1023300
2017-05-25,61.4,61.94,61.19,61.84,53.03,909800
2017-05-26,61.34,61.58,61.24,61.4,53.06,825500
2017-05-30,61.4,61.66,61.3,61.48,53.13,908400
2017-05-31,61.54,62.19,61.51,62.07,53.64,1565200
2017-06-01,62.1,62.35,61.81,62.35,53.88,1278600
2017-06-02,62.66,62.68,61.89,62.37,53.9,2205300
2017-06-05,62.47,62.47,62.09,62.29,53.83,1486600
2017-06-06,62.26,62.39,62.08,62.16,53.72,1771100
2017-06-07,62.11,62.98,62.11,62.58,54.08,1744200
2017-06-08,62.55,62.55,61.49,62.11,53.67,1507100
2017-06-09,61.93,62.37,61.63,62.3,53.84,1226700
2017-06-12,62.34,62.68,61.67,62.25,53.79,1207900
2017-06-13,62.15,62.26,61.86,62.16,53.72,1011800
2017-06-14,62.67,62.96,62.16,62.45,53.97,1060300
2017-06-15,62.43,62.7,62.18,62.62,54.11,1008000
2017-06-16,62.71,63.28,62.63,63.24,54.65,2929900
2017-06-19,63.22,63.34,62.56,62.79,54.26,966300
2017-06-20,62.82,63.01,62.63,62.85,54.31,905300
2017-06-21,62.95,63.07,62.4,62.72,54.2,1168200
2017-06-22,62.51,62.7,62.17,62.2,53.75,842600
2017-06-23,62.12,62.57,62.11,62.25,53.79,1485200
2017-06-26,62.41,62.84,62.12,62.66,54.15,1050300
2017-06-27,62.36,62.51,61.69,61.99,53.57,1779900
2017-06-28,62.26,62.3,61.19,61.23,52.91,985500
2017-06-29,61.04,61.67,60.52,60.7,52.45,1076700
2017-06-30,60.7,61.16,60.59,60.71,52.46,1799300
2017-07-03,60.74,60.81,60.36,60.41,52.2,798700
2017-07-05,60.53,60.53,59.9,60.07,51.91,1414900
2017-07-06,59.91,60.09,59.66,59.99,51.84,1334900
2017-07-07,60.07,60.34,59.91,60.07,51.91,1164100
2017-07-10,60.15,60.4,59.9,59.91,51.77,1321000
2017-07-11,59.98,60.1,59.55,59.82,51.69,1244600
2017-07-12,60.31,60.56,59.95,60.02,51.87,1616800
2017-07-13,60.01,60.21,59.76,59.9,51.76,1325300
2017-07-14,60.37,60.47,60.07,60.22,52.04,932500
2017-07-17,60.21,60.43,59.96,60.32,52.13,902500
2017-07-18,60.43,60.63,60.32,60.44,52.23,979400
2017-07-19,60.56,60.73,60.37,60.67,52.43,862800
2017-07-20,60.7,61.22,60.59,61.21,52.9,1004400
2017-07-21,61.12,61.56,60.97,61.54,53.18,1223700
2017-07-24,61.55,61.56,60.61,60.74,52.49,1071400
