Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,77.63,78.0,77.21,77.57,68.75,1282900
2017-05-25,77.92,78.27,77.0,77.31,68.52,1753200
2017-05-26,77.28,77.72,77.1,77.56,68.74,1063000
2017-05-30,77.47,77.81,77.12,77.72,68.89,1023400
2017-05-31,77.31,78.4,76.73,77.38,68.59,1659000
2017-06-01,77.9,78.57,77.26,78.08,69.21,1800100
2017-06-02,78.2,78.61,77.69,77.88,69.03,1868900
2017-06-05,77.87,77.92,76.76,76.77,68.04,2583200
2017-06-06,76.44,76.73,76.08,76.33,67.65,1924300
2017-06-07,76.5,76.5,74.26,74.95,66.43,3520700
2017-06-08,74.95,75.61,74.6,75.47,66.89,3669900
2017-06-09,75.71,75.95,75.28,75.74,67.13,2882000
2017-06-12,75.74,76.21,75.46,75.77,67.16,1706500
2017-06-13,75.94,76.3,75.52,76.11,67.46,1397500
2017-06-14,76.28,76.32,74.84,75.34,66.78,2320000
2017-06-15,74.46,76.53,74.43,76.14,67.49,1946000
2017-06-16,76.36,77.05,76.22,76.8,68.07,2623800
2017-06-19,77.28,78.42,77.24,78.07,69.2,2505800
2017-06-20,77.67,77.85,77.0,77.06,68.3,1796700
2017-06-21,77.24,77.38,75.76,75.92,67.29,1702900
2017-06-22,75.99,76.42,75.71,75.77,67.16,1946600
2017-06-23,75.84,76.93,75.66,76.88,68.14,2995800
2017-06-26,77.14,77.61,76.3,76.77,68.04,1415600
2017-06-27,76.69,76.94,76.15,76.43,67.74,1642000
2017-06-28,77.0,77.64,76.78,77.44,68.64,1608600
2017-06-29,77.59,78.0,76.0,76.63,67.92,1751300
2017-06-30,76.9,78.32,76.86,77.83,68.98,1843600
2017-07-03,78.37,78.77,77.71,78.35,69.45,1386800
2017-07-05,78.33,78.86,78.0,78.63,69.69,1892700
2017-07-06,78.32,78.98,78.26,78.55,69.62,1923400
2017-07-07,78.55,79.9,78.35,79.36,70.34,1934300
2017-07-10,79.28,80.83,79.28,80.4,71.26,2238500
2017-07-11,80.3,80.5,79.47,80.45,71.31,2314200
2017-07-12,80.79,81.63,80.48,80.51,71.36,1843400
2017-07-13,80.41,80.69,79.94,80.32,71.19,1857200
2017-07-14,80.52,80.85,80.38,80.61,71.45,1683300
2017-07-17,80.48,80.53,80.06,80.21,71.09,1807900
2017-07-18,80.17,80.23,79.63,80.23,71.11,1583500
2017-07-19,80.44,80.6,79.78,80.38,71.24,1758300
2017-07-20,80.32,80.34,79.53,79.56,70.52,1530100
2017-07-21,79.19,79.41,78.36,78.97,69.99,2436400
2017-07-24,79.0,79.11,78.48,78.65,69.71,1786900
2017-07-25,79.5,79.59,78.74,79.33,70.31,2311800
2017-07-26,79.35,79.35,78.51,79.0,70.02,1821900
2017-07-27,79.11,79.18,77.95,78.49,69.57,2638700
2017-07-28,78.45,78.59,77.62,78.43,69.52,1734900
2017-07-31,78.43,79.08,77.85,78.25,69.36,3669200
2017-08-01,75.49,75.49,72.16,74.26,65.82,10716900
2017-08-02,73.4,74.44,73.11,74.1,66.21,5824300
2017-08-03,73.9,73.98,72.97,73.61,65.78,4533300
2017-08-04,73.68,74.57,73.61,74.53,66.6,2778300
2017-08-07,73.76,74.44,73.68,73.99,66.11,3197300
2017-08-08,73.71,74.3,72.92,72.99,65.22,4769700
2017-08-09,72.77,73.37,72.66,73.14,65.36,3167300
2017-08-10,72.89,72.97,71.61,71.65,64.02,2704400
2017-08-11,71.74,71.93,71.38,71.48,63.87,1294700
2017-08-14,72.19,72.58,71.82,72.48,64.77,2032900
2017-08-15,72.44,72.89,72.12,72.31,64.61,1973900
2017-08-16,72.53,72.94,72.44,72.67,64.94,2103300
2017-08-17,71.52,72.68,71.47,71.72,64.09,4160600
2017-08-18,71.62,71.97,71.2,71.2,63.62,2261100
2017-08-21,71.13,71.39,70.69,71.14,63.57,2134100
2017-08-22,71.31,72.11,71.2,71.9,64.25,2317400
2017-08-23,71.43,71.75,71.12,71.21,63.63,1182800
2017-08-24,71.37,71.37,70.53,70.64,63.12,2530300
2017-08-25,71.04,71.17,70.58,70.7,63.17,1734700
2017-08-28,70.98,71.14,70.25,70.44,62.94,1319900
2017-08-29,70.16,70.7,69.82,70.52,63.01,2684800
2017-08-30,70.5,71.16,70.49,71.05,63.49,2561600
2017-08-31,71.45,71.88,71.19,71.76,64.12,2252900
2017-09-01,72.04,72.15,71.58,71.63,64.01,1707300
2017-09-05,71.61,71.93,70.73,71.1,63.53,2033900
2017-09-06,71.57,71.62,71.12,71.33,63.74,1700400
2017-09-07,71.48,71.52,70.63,71.32,63.73,1439300
2017-09-08,71.2,72.42,71.09,72.14,64.46,1775600
2017-09-11,72.69,73.38,72.48,73.35,65.54,2186500
2017-09-12,73.5,74.65,73.46,74.6,66.66,2482900
2017-09-13,74.54,74.95,74.2,74.93,66.95,2137300
2017-09-14,74.76,75.72,74.39,75.62,67.57,2481100
2017-09-15,75.59,76.98,75.22,76.91,68.72,4901300
2017-09-18,77.0,78.04,76.53,77.9,69.61,2832500
2017-09-19,77.74,77.87,76.96,77.03,68.83,3215300
2017-09-20,77.22,78.21,77.12,77.77,69.49,2482000
2017-09-21,77.7,78.25,77.66,78.06,69.75,1784000
2017-09-22,77.99,78.51,77.69,78.1,69.79,1624900
2017-09-25,78.14,78.23,76.89,77.55,69.3,2669600
2017-09-26,77.6,77.65,77.02,77.11,68.9,1855700
2017-09-27,77.44,77.61,76.81,77.12,68.91,2015300
2017-09-28,76.84,76.97,75.43,76.09,67.99,3048100
2017-09-29,75.95,76.94,75.72,76.79,68.62,2236300
2017-10-02,76.95,77.58,76.39,77.54,69.29,1755400
2017-10-03,77.68,77.76,77.25,77.45,69.21,2017700
2017-10-04,77.35,78.19,77.01,78.06,69.75,2209400
2017-10-05,77.96,78.25,77.59,77.8,69.52,2032900
2017-10-06,77.63,78.22,77.43,77.75,69.47,2281200
2017-10-09,77.76,78.12,77.31,77.68,69.41,1368700
2017-10-10,77.96,78.13,77.4,77.98,69.68,1612800
2017-10-11,77.95,78.67,77.73,78.53,70.17,2390600
2017-10-12,78.56,79.16,78.31,78.72,70.34,2504000
2017-10-13,79.12,79.19,78.47,78.53,70.17,1942800
2017-10-16,78.82,79.31,78.52,79.23,70.8,1400500
2017-10-17,77.83,78.43,76.6,78.07,69.76,3535700
2017-10-18,78.16,78.61,77.94,77.97,69.67,2249400
2017-10-19,77.37,78.19,77.34,78.02,69.72,2168500
2017-10-20,78.47,79.04,78.19,78.93,70.53,2559800
2017-10-23,79.03,79.09,78.43,78.48,70.13,2196900
2017-10-24,78.92,80.14,78.91,79.58,71.11,3107900
2017-10-25,79.44,79.69,78.33,78.98,70.57,2311200
2017-10-26,79.5,79.94,79.2,79.5,71.04,1642700
2017-10-27,79.47,79.99,79.14,79.77,71.28,1987600
2017-10-30,79.65,80.43,79.18,79.23,70.8,3740800
2017-10-31,77.94,81.5,77.62,80.02,71.5,4955400
2017-11-01,80.88,82.34,80.8,81.51,72.83,3680500
2017-11-02,81.05,81.34,79.33,79.38,71.46,3227100
2017-11-03,79.15,79.24,77.08,78.1,70.3,4477300
2017-11-06,78.1,78.64,77.64,78.31,70.49,2239800
2017-11-07,78.4,78.98,78.16,78.67,70.82,1454300
2017-11-08,78.41,79.21,77.94,79.05,71.16,2281800
2017-11-09,78.72,79.49,77.8,77.86,70.09,2957100
2017-11-10,77.9,78.08,77.48,77.92,70.14,1380400
