Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,37.92,38.1,37.68,38.06,38.06,2661300
2017-05-25,38.17,38.27,37.87,38.06,38.06,2463600
2017-05-26,38.17,38.49,38.0,38.08,38.08,2672700
2017-05-30,38.05,38.36,37.88,38.2,38.2,3345600
2017-05-31,38.38,38.86,38.14,38.36,38.36,3418500
2017-06-01,38.51,39.13,38.39,39.13,39.13,3800400
2017-06-02,39.23,39.4,38.92,39.19,39.19,2358600
2017-06-05,39.11,39.16,38.74,38.98,38.98,2416200
2017-06-06,38.83,39.11,38.81,38.95,38.95,2213400
2017-06-07,39.17,39.56,39.04,39.4,39.4,2790300
2017-06-08,39.4,39.6,39.16,39.38,39.38,3275400
2017-06-09,39.43,39.58,38.39,38.71,38.71,3206700
2017-06-12,38.65,38.67,37.26,38.13,38.13,5151600
2017-06-13,38.2,38.57,37.98,38.35,38.35,3660600
2017-06-14,38.51,38.56,38.04,38.34,38.34,3012000
2017-06-15,38.12,38.43,37.86,38.32,38.32,2544600
2017-06-16,38.34,38.55,38.0,38.33,38.33,4646400
2017-06-19,38.53,39.71,38.4,39.61,39.61,4721100
2017-06-20,39.61,40.15,39.18,39.29,39.29,4186800
2017-06-21,39.22,39.78,39.1,39.63,39.63,2944800
2017-06-22,39.57,39.82,39.44,39.51,39.51,2959500
2017-06-23,39.4,40.08,39.08,40.05,40.05,5381100
2017-06-26,40.05,40.25,39.4,39.44,39.44,2257500
2017-06-27,39.39,39.5,38.99,39.04,39.04,2216100
2017-06-28,39.28,39.59,39.04,39.46,39.46,1784100
2017-06-29,39.37,39.44,38.67,39.08,39.08,2399400
2017-06-30,39.32,39.63,39.07,39.41,39.41,3281400
2017-07-03,39.53,39.73,39.14,39.34,39.34,2218800
2017-07-05,39.29,39.98,39.15,39.86,39.86,3120900
2017-07-06,39.57,39.81,38.95,39.03,39.03,4347000
2017-07-07,39.27,39.57,39.27,39.39,39.39,2265000
2017-07-10,39.33,39.54,39.11,39.18,39.18,2834700
2017-07-11,39.15,39.34,38.93,39.2,39.2,2900100
2017-07-12,39.23,39.63,39.05,39.48,39.48,2850600
2017-07-13,39.35,39.37,38.62,38.68,38.68,3381900
2017-07-14,38.74,39.12,38.61,38.97,38.97,2592600
2017-07-17,39.18,39.33,38.67,38.7,38.7,3047100
2017-07-18,38.63,38.92,38.53,38.83,38.83,2749500
2017-07-19,39.0,39.83,38.97,39.68,39.68,4683300
2017-07-20,39.72,40.0,39.61,39.81,39.81,4767300
2017-07-21,39.67,40.12,39.23,39.34,39.34,3055500
2017-07-24,39.29,39.45,38.84,39.05,39.05,4012200
2017-07-25,39.21,39.21,38.33,38.62,38.62,4614600
2017-07-26,38.66,38.88,38.27,38.54,38.54,6506400
2017-07-27,39.84,40.48,38.71,38.79,38.79,10594500
2017-07-28,38.65,38.73,37.79,38.5,38.5,6555300
2017-07-31,38.59,38.62,38.03,38.39,38.39,4403700
2017-08-01,38.62,38.74,38.37,38.42,38.42,3891600
2017-08-02,38.42,38.49,37.62,38.08,38.08,3748500
2017-08-03,38.08,38.93,37.92,38.82,38.82,4408800
2017-08-04,38.94,39.0,38.5,38.73,38.73,2888400
2017-08-07,38.73,38.91,38.63,38.83,38.83,2169600
2017-08-08,38.83,39.1,38.6,38.72,38.72,2930700
2017-08-09,38.58,38.83,38.41,38.75,38.75,2941200
2017-08-10,38.58,38.64,37.86,38.04,38.04,2946300
2017-08-11,37.98,38.55,37.85,38.17,38.17,2021400
2017-08-14,38.35,38.65,38.32,38.55,38.55,3887100
2017-08-15,38.59,38.59,38.23,38.28,38.28,2695200
2017-08-16,38.41,38.64,38.33,38.52,38.52,2830800
2017-08-17,38.5,38.6,37.79,37.86,37.86,2944500
2017-08-18,37.79,37.87,37.45,37.7,37.7,3403800
