Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,25.29,25.56,25.21,25.54,21.6,10798765
2017-05-25,25.63,25.73,25.46,25.7,21.74,6197821
2017-05-26,25.68,25.73,25.49,25.55,21.61,7991260
2017-05-30,25.48,25.82,25.44,25.72,21.76,5379053
2017-05-31,25.73,26.0,25.66,25.9,21.91,8887699
2017-06-01,25.86,26.21,25.75,26.2,22.16,6280259
2017-06-02,26.25,26.27,25.98,26.11,22.08,4643003
2017-06-05,26.08,26.21,25.95,26.13,22.1,6126460
2017-06-06,26.21,26.29,26.06,26.17,22.14,6284886
2017-06-07,26.16,26.28,26.07,26.11,22.09,5537900
2017-06-08,26.11,26.11,25.85,25.96,21.96,5791522
2017-06-09,25.96,26.16,25.91,26.12,22.09,5688755
2017-06-12,26.15,26.3,25.96,26.02,22.01,7629684
2017-06-13,26.02,26.11,25.94,26.07,22.05,5580661
2017-06-14,26.24,26.32,26.1,26.17,22.14,4403402
2017-06-15,26.16,26.29,26.04,26.26,22.21,4526217
2017-06-16,26.31,26.48,26.3,26.45,22.37,7767641
2017-06-19,26.49,26.5,26.14,26.28,22.23,5438919
2017-06-20,26.26,26.48,26.17,26.31,22.26,5567342
2017-06-21,26.36,26.48,26.03,26.16,22.12,4830030
2017-06-22,26.11,26.45,26.11,26.15,22.12,5963407
2017-06-23,26.15,26.24,26.0,26.03,22.02,6133329
2017-06-26,26.15,26.7,26.09,26.54,22.45,6833208
2017-06-27,26.36,26.48,26.09,26.22,22.18,5578278
2017-06-28,26.3,26.33,25.77,25.81,21.83,6896859
2017-06-29,25.67,25.84,25.53,25.56,21.62,6770538
2017-06-30,25.62,25.88,25.56,25.73,21.76,6317132
2017-07-03,25.82,25.86,25.39,25.56,21.62,3244508
2017-07-05,25.56,25.66,25.24,25.34,21.43,5612206
2017-07-06,25.28,25.49,25.23,25.45,21.53,8384661
2017-07-07,25.46,25.61,25.32,25.38,21.47,6145667
2017-07-10,25.39,25.68,25.39,25.51,21.57,6159266
2017-07-11,25.55,25.57,25.33,25.48,21.55,5985138
2017-07-12,25.68,25.83,25.63,25.73,21.76,4881063
2017-07-13,25.66,25.69,25.44,25.48,21.55,4862697
2017-07-14,25.65,25.87,25.63,25.72,21.76,4309468
2017-07-17,26.03,26.43,26.0,26.41,22.34,10318440
2017-07-18,26.43,26.53,26.33,26.5,22.42,6769417
2017-07-19,26.57,26.68,26.43,26.67,22.56,4651836
2017-07-20,26.71,26.88,26.61,26.82,22.68,4738199
2017-07-21,26.79,26.93,26.62,26.73,22.61,6131367
2017-07-24,26.73,26.74,26.47,26.53,22.44,6768716
2017-07-25,26.58,26.64,26.34,26.41,22.33,5474109
2017-07-26,26.41,26.9,26.36,26.88,22.73,6544396
2017-07-27,26.91,27.13,26.78,27.1,22.92,7365687
2017-07-28,27.08,27.42,27.02,27.39,23.17,7972894
2017-07-31,27.38,27.46,27.28,27.35,23.13,11418729
2017-08-01,27.45,27.66,27.4,27.5,23.26,8907887
2017-08-02,27.24,27.55,26.9,27.4,23.18,8459107
2017-08-03,27.38,27.44,27.24,27.42,23.19,5425600
2017-08-04,27.26,27.37,27.08,27.23,23.03,5451957
2017-08-07,27.21,27.3,27.14,27.26,23.06,3587157
2017-08-08,27.2,27.38,27.13,27.25,23.05,4754883
2017-08-09,27.4,27.45,26.89,26.89,22.74,7883306
2017-08-10,26.9,27.05,26.79,26.92,22.77,5507336
2017-08-11,26.75,26.8,26.57,26.75,22.82,5121506
2017-08-14,26.79,26.84,26.68,26.82,22.88,3890971
2017-08-15,26.68,27.07,26.68,26.99,23.03,6339143
2017-08-16,26.99,27.2,26.95,27.2,23.21,5853771
2017-08-17,27.15,27.24,26.81,26.82,22.88,5123188
2017-08-18,26.8,27.24,26.73,27.1,23.12,5403028
2017-08-21,27.15,27.2,26.99,27.08,23.1,4338629
2017-08-22,27.1,27.3,27.08,27.27,23.27,2663099
2017-08-23,27.25,27.38,27.15,27.33,23.32,3858865
2017-08-24,27.33,27.47,27.2,27.35,23.33,8354097
2017-08-25,27.45,27.52,27.31,27.32,23.31,4476866
2017-08-28,27.37,27.4,27.09,27.3,23.29,5444246
2017-08-29,27.31,27.42,27.22,27.26,23.26,3406580
2017-08-30,27.26,27.26,26.96,26.99,23.03,5611225
2017-08-31,27.1,27.2,26.98,27.01,23.05,9022571
2017-09-01,27.07,27.08,26.69,26.78,22.85,8214598
2017-09-05,26.81,26.88,26.7,26.82,22.88,8657070
2017-09-06,26.93,26.98,26.73,26.78,22.85,7061173
2017-09-07,26.85,27.18,26.8,27.13,23.14,5937049
2017-09-08,27.08,27.31,27.03,27.23,23.23,6262313
2017-09-11,27.2,27.46,27.13,27.44,23.41,4611458
2017-09-12,27.35,27.43,26.78,27.02,23.05,6608047
2017-09-13,27.04,27.19,26.95,26.96,23.0,7527478
2017-09-14,26.88,27.2,26.81,27.18,23.19,5478315
2017-09-15,27.19,27.39,26.74,26.83,22.89,21381481
2017-09-18,26.81,27.01,26.45,26.68,22.76,9550424
2017-09-19,26.68,26.78,26.41,26.59,22.69,7515561
2017-09-20,26.66,26.66,26.13,26.33,22.46,11110149
2017-09-21,26.32,26.68,26.29,26.5,22.61,4832414
2017-09-22,26.57,26.62,26.34,26.48,22.59,4744088
2017-09-25,26.49,26.86,26.41,26.82,22.88,6374614
2017-09-26,26.76,26.76,26.5,26.51,22.62,5568744
2017-09-27,26.39,26.59,26.31,26.5,22.61,8179128
2017-09-28,26.39,26.83,26.27,26.68,22.76,5963267
2017-09-29,26.73,27.08,26.7,26.87,22.93,9662444
2017-10-02,26.97,27.38,26.85,27.2,23.21,12217729
2017-10-03,27.19,27.2,26.78,26.99,23.03,7266846
2017-10-04,27.0,27.25,26.88,27.24,23.24,6970604
2017-10-05,27.25,27.38,27.1,27.35,23.34,7619169
2017-10-06,27.19,27.28,27.05,27.21,23.22,5779044
2017-10-09,27.22,27.33,27.09,27.13,23.15,3483409
2017-10-10,27.23,27.4,27.11,27.32,23.31,3369567
2017-10-11,27.05,27.46,27.05,27.43,23.41,6882698
2017-10-12,27.39,27.78,27.28,27.77,23.7,6636788
2017-10-13,27.82,28.12,27.76,27.99,23.88,8940133
2017-10-16,27.92,28.35,27.8,28.3,24.14,11994951
2017-10-17,28.22,28.33,27.97,28.25,24.1,5942798
2017-10-18,28.23,28.3,28.07,28.26,24.11,3822553
