Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,77.92,78.78,77.91,78.69,66.47,953600
2017-05-25,78.89,79.9,78.49,79.04,66.76,1914100
2017-05-26,78.85,79.14,77.34,78.0,65.88,868400
2017-05-30,77.98,78.42,77.12,77.17,65.18,875900
2017-05-31,77.05,77.68,77.05,77.47,65.44,1554000
2017-06-01,77.36,77.4,74.82,75.77,64.0,1460700
2017-06-02,76.11,76.9,75.73,76.46,64.58,1285600
2017-06-05,76.22,76.38,74.96,75.68,63.92,489600
2017-06-06,75.87,75.99,74.4,74.48,62.91,613600
2017-06-07,74.48,75.84,74.28,75.83,64.05,735800
2017-06-08,75.83,75.87,74.24,75.17,63.49,657400
2017-06-09,74.85,75.31,74.37,74.52,62.94,692800
2017-06-12,74.27,75.47,74.27,75.45,63.73,973000
2017-06-13,74.6,75.24,74.3,75.2,64.18,734700
2017-06-14,75.87,76.05,74.62,75.4,64.35,869900
2017-06-15,75.4,77.02,75.4,76.79,65.54,655600
2017-06-16,76.91,78.57,76.37,78.5,67.0,1533800
2017-06-19,78.29,78.67,77.27,77.92,66.5,1102400
2017-06-20,77.94,78.6,77.06,78.29,66.82,713900
2017-06-21,78.38,78.68,77.83,78.09,66.65,774200
2017-06-22,77.88,77.88,76.82,77.31,65.98,614600
2017-06-23,77.46,79.21,77.1,78.75,67.21,1117100
2017-06-26,78.99,79.38,78.28,78.76,67.22,498900
2017-06-27,78.4,79.02,78.23,78.31,66.84,700800
2017-06-28,78.5,78.77,77.95,77.95,66.53,971200
2017-06-29,77.18,78.12,76.94,77.53,66.17,796800
2017-06-30,77.65,78.53,77.13,78.0,66.57,995700
2017-07-03,78.63,79.37,77.61,78.49,66.99,745500
2017-07-05,78.41,78.52,77.0,77.39,66.05,922500
2017-07-06,77.24,77.34,75.81,75.91,64.79,1197900
2017-07-07,76.1,77.07,75.74,76.53,65.32,712100
2017-07-10,76.54,76.78,74.73,74.76,63.81,1161700
2017-07-11,75.01,75.01,73.7,74.13,63.27,1037200
2017-07-12,74.65,75.83,74.65,75.43,64.38,828700
2017-07-13,75.49,76.15,75.34,75.57,64.5,792100
2017-07-14,76.12,76.77,76.08,76.68,65.45,864400
2017-07-17,76.62,77.77,76.6,77.4,66.06,1361100
2017-07-18,77.32,77.83,76.55,77.48,66.13,1289700
2017-07-19,77.54,78.94,77.25,78.79,67.25,1896900
2017-07-20,78.25,78.88,77.55,78.23,66.77,1042300
2017-07-21,78.12,79.07,78.11,78.97,67.4,668700
2017-07-24,79.0,79.16,78.15,78.64,67.12,883400
2017-07-25,78.6,79.52,78.15,79.48,67.84,1281200
2017-07-26,79.6,81.06,79.39,80.3,68.54,1562000
2017-07-27,79.0,79.0,75.78,76.5,65.29,2452300
2017-07-28,76.5,77.97,76.4,77.92,66.5,1621000
2017-07-31,77.91,80.06,77.34,79.5,67.85,3215800
2017-08-01,79.7,80.07,78.35,79.29,67.67,1278000
2017-08-02,80.45,82.53,78.9,79.26,67.65,2381800
2017-08-03,78.84,79.08,76.33,77.22,65.91,1888800
2017-08-04,77.16,77.96,77.01,77.75,66.36,890800
2017-08-07,77.79,78.62,77.32,77.87,66.46,1103700
2017-08-08,77.65,78.28,76.74,77.0,65.72,935000
2017-08-09,77.1,77.14,76.45,76.59,65.37,1070100
2017-08-10,76.46,76.61,75.87,76.23,65.06,1084600
2017-08-11,76.39,76.46,75.57,76.31,65.13,993400
2017-08-14,76.53,77.1,76.28,76.87,65.61,673600
2017-08-15,76.76,76.97,76.22,76.6,65.38,1176400
2017-08-16,76.92,77.27,75.6,75.87,64.75,1461200
2017-08-17,75.99,76.86,75.72,76.19,65.03,878000
2017-08-18,76.09,76.24,74.72,74.74,63.79,858800
2017-08-21,74.75,75.62,74.44,75.52,64.46,880900
2017-08-22,75.71,75.99,75.15,75.82,64.71,435300
2017-08-23,75.77,77.82,75.71,77.66,66.28,678400
2017-08-24,77.73,78.35,77.35,77.53,66.17,877300
2017-08-25,77.87,77.97,76.75,76.9,65.63,493800
2017-08-28,76.99,77.42,76.52,77.27,65.95,595800
2017-08-29,77.49,78.2,77.23,78.08,66.64,670600
2017-08-30,77.69,78.02,76.36,77.59,66.22,807500
2017-08-31,77.78,78.21,77.41,77.63,66.26,1159400
2017-09-01,77.72,78.48,77.39,77.78,66.38,573400
2017-09-05,77.85,78.42,77.36,78.4,66.91,892900
2017-09-06,78.5,79.9,78.23,79.39,67.76,1041600
2017-09-07,79.63,81.93,79.37,81.24,69.34,1351700
2017-09-08,80.99,83.23,80.77,82.25,70.2,1283200
2017-09-11,81.21,81.21,79.11,79.73,68.05,1558600
2017-09-12,79.54,79.55,77.35,77.47,66.12,1021500
2017-09-13,77.58,77.94,77.15,77.68,66.3,823100
2017-09-14,77.0,78.64,76.68,78.37,67.57,715500
2017-09-15,78.24,79.17,78.24,79.07,68.17,1142300
2017-09-18,79.08,79.55,78.72,79.4,68.45,695700
2017-09-19,79.4,79.59,78.93,79.44,68.49,1063300
2017-09-20,79.54,79.94,79.09,79.46,68.51,1018800
2017-09-21,79.51,80.07,79.2,79.34,68.4,466000
2017-09-22,79.53,79.71,78.75,78.89,68.01,420700
2017-09-25,78.97,79.84,78.8,79.69,68.7,626900
2017-09-26,79.73,79.73,79.29,79.37,68.43,551000
2017-09-27,79.05,79.28,77.65,78.04,67.28,657500
2017-09-28,78.11,79.15,77.72,79.08,68.18,490300
2017-09-29,78.86,80.07,78.83,79.92,68.9,1250400
2017-10-02,80.22,80.41,79.13,79.6,68.63,1312600
2017-10-03,79.7,79.92,78.54,79.02,68.13,691500
2017-10-04,79.03,79.65,78.47,79.6,68.63,861700
2017-10-05,79.77,80.49,79.43,80.46,69.37,708900
2017-10-06,80.03,80.41,79.23,80.38,69.3,1069300
2017-10-09,80.51,80.51,79.75,80.02,68.99,577000
2017-10-10,80.14,80.68,79.89,80.2,69.14,566700
2017-10-11,80.27,80.59,80.08,80.57,69.46,1010100
2017-10-12,80.67,81.61,80.64,81.61,70.36,1190000
2017-10-13,81.97,82.97,81.48,82.71,71.31,961500
2017-10-16,82.79,83.0,81.45,81.87,70.58,613200
2017-10-17,81.73,82.2,81.4,82.19,70.86,854400
2017-10-18,82.04,82.19,81.18,81.92,70.63,712000
2017-10-19,82.12,82.39,81.21,81.7,70.44,655700
2017-10-20,81.52,81.93,81.28,81.77,70.5,979500
2017-10-23,81.76,82.4,81.45,81.87,70.58,656400
2017-10-24,81.79,81.99,79.58,80.41,69.33,1111500
2017-10-25,79.89,81.04,79.81,80.65,69.53,1356700
2017-10-26,80.65,80.65,76.55,78.7,67.85,2684300
2017-10-27,78.53,80.49,78.53,80.3,69.23,1114900
2017-10-30,80.24,81.16,79.94,81.09,69.91,725100
2017-10-31,80.99,81.73,80.17,81.59,70.34,913100
2017-11-01,81.59,82.0,80.51,81.6,70.35,1310500
2017-11-02,81.67,85.92,81.5,83.12,71.66,2279400
2017-11-03,82.94,85.62,82.76,85.04,73.32,1251300
2017-11-06,85.28,86.75,85.23,86.02,74.16,1222200
2017-11-07,86.31,87.31,85.3,85.68,73.87,1331700
2017-11-08,86.0,86.99,85.79,86.01,74.15,1289900
2017-11-09,85.88,86.31,85.15,85.45,73.67,750000
