Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,11.06,11.06,10.87,10.96,9.04,46638800
2017-05-25,10.96,10.97,10.76,10.86,8.96,46269200
2017-05-26,10.85,10.95,10.81,10.93,9.02,28176500
2017-05-30,11.0,11.12,10.99,11.08,9.14,36082600
2017-05-31,11.12,11.13,11.0,11.12,9.17,36398700
2017-06-01,11.25,11.54,11.1,11.41,9.41,76707200
2017-06-02,11.42,11.43,11.24,11.35,9.36,45925000
2017-06-05,11.36,11.36,11.23,11.25,9.28,42558600
2017-06-06,11.19,11.2,11.05,11.12,9.17,44543700
2017-06-07,11.16,11.19,11.02,11.07,9.13,37344200
2017-06-08,11.07,11.1,10.91,11.1,9.16,40757400
2017-06-09,11.09,11.15,11.01,11.13,9.18,30285900
2017-06-12,11.13,11.36,11.13,11.28,9.31,38473100
2017-06-13,11.32,11.35,11.15,11.27,9.3,29889300
2017-06-14,11.27,11.29,11.06,11.22,9.26,44367900
2017-06-15,11.15,11.29,11.14,11.24,9.27,28431600
2017-06-16,11.24,11.24,11.07,11.22,9.26,54035400
2017-06-19,11.2,11.28,11.18,11.24,9.27,30540900
2017-06-20,11.21,11.22,11.09,11.12,9.17,31971500
2017-06-21,11.15,11.15,11.0,11.04,9.11,37002500
2017-06-22,11.02,11.18,11.0,11.13,9.18,26972800
2017-06-23,11.1,11.13,11.0,11.04,9.11,45190200
2017-06-26,11.06,11.2,11.06,11.18,9.22,31316800
2017-06-27,11.17,11.2,11.06,11.08,9.14,28491600
2017-06-28,11.11,11.17,11.07,11.09,9.15,31820000
2017-06-29,11.13,11.2,11.07,11.17,9.21,32917000
2017-06-30,11.18,11.28,11.16,11.19,9.23,41075000
2017-07-03,11.36,11.69,11.25,11.56,9.54,43949600
2017-07-05,11.51,11.56,11.26,11.3,9.32,39412200
2017-07-06,11.29,11.36,11.17,11.18,9.22,31936000
2017-07-07,11.21,11.28,11.16,11.26,9.29,20871800
2017-07-10,11.24,11.35,11.23,11.34,9.35,18881300
2017-07-11,11.31,11.43,11.3,11.38,9.39,25914300
2017-07-12,11.41,11.62,11.4,11.47,9.46,33088200
2017-07-13,11.46,11.69,11.45,11.6,9.57,33650800
2017-07-14,11.65,11.73,11.6,11.68,9.64,39792200
2017-07-17,11.71,11.75,11.65,11.74,9.68,24394200
2017-07-18,11.72,11.75,11.67,11.75,9.69,24625200
2017-07-19,11.76,11.83,11.74,11.83,9.76,26225900
2017-07-20,11.69,11.78,11.66,11.7,9.78,30315100
2017-07-21,11.59,11.62,11.46,11.53,9.63,27630600
2017-07-24,11.51,11.55,11.27,11.29,9.43,48123400
2017-07-25,11.3,11.38,11.22,11.27,9.42,52854300
2017-07-26,11.14,11.16,10.95,11.06,9.24,72271700
2017-07-27,11.08,11.2,11.03,11.18,9.34,38687500
2017-07-28,11.15,11.22,11.06,11.17,9.33,24864100
2017-07-31,11.16,11.23,11.13,11.22,9.37,39548600
2017-08-01,11.11,11.15,10.87,10.95,9.15,65140100
2017-08-02,10.98,11.03,10.93,11.0,9.19,30890500
2017-08-03,11.01,11.05,10.92,10.93,9.13,20309300
2017-08-04,10.9,10.99,10.78,10.95,9.15,29267600
2017-08-07,10.94,10.98,10.9,10.92,9.12,35013000
2017-08-08,10.95,11.0,10.88,10.89,9.1,26322100
2017-08-09,10.88,10.95,10.83,10.92,9.12,32155900
2017-08-10,10.88,10.91,10.77,10.77,9.0,31903800
2017-08-11,10.79,10.84,10.76,10.77,9.0,32300100
2017-08-14,10.82,10.95,10.79,10.91,9.12,26413500
2017-08-15,10.92,11.0,10.84,10.84,9.06,29266300
2017-08-16,10.86,10.9,10.78,10.8,9.02,28316300
2017-08-17,10.79,10.8,10.6,10.64,8.89,35518800
2017-08-18,10.62,10.63,10.47,10.56,8.82,43998700
2017-08-21,10.53,10.66,10.52,10.57,8.83,30152500
2017-08-22,10.61,10.73,10.61,10.65,8.9,28676100
2017-08-23,10.61,10.78,10.59,10.71,8.95,35405800
2017-08-24,10.75,10.8,10.69,10.71,8.95,33584400
2017-08-25,10.77,10.88,10.76,10.82,9.04,35926800
2017-08-28,10.86,10.88,10.73,10.79,9.02,22307400
2017-08-29,10.75,10.89,10.73,10.84,9.06,29807300
2017-08-30,10.82,10.94,10.77,10.94,9.14,23629300
2017-08-31,10.97,11.2,10.95,11.03,9.22,54208900
2017-09-01,11.18,11.43,11.14,11.35,9.48,64560300
2017-09-05,11.36,11.39,11.24,11.36,9.49,44000200
2017-09-06,11.39,11.53,11.39,11.5,9.61,43279000
2017-09-07,11.52,11.52,11.33,11.4,9.53,30271000
