Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,100.65,100.97,98.72,99.37,90.38,1350500
2017-05-25,99.26,101.98,98.33,99.63,90.62,1538200
2017-05-26,99.57,99.93,97.81,98.41,89.51,1363400
2017-05-30,97.72,97.95,94.1,94.28,85.75,2086500
2017-05-31,92.82,93.91,91.2,92.76,84.37,2544700
2017-06-01,93.68,94.83,92.5,93.97,85.47,1206700
2017-06-02,93.66,94.04,91.48,91.84,83.53,1481700
2017-06-05,91.28,91.76,89.91,90.65,82.45,1224200
2017-06-06,90.25,93.11,89.95,92.76,84.37,1422400
2017-06-07,92.11,92.75,88.19,88.6,80.58,1430200
2017-06-08,87.94,89.18,87.04,87.82,79.88,2166900
2017-06-09,88.07,90.37,87.59,90.15,81.99,1430900
2017-06-12,90.57,91.7,89.88,90.66,82.46,2319100
2017-06-13,90.48,92.46,90.33,92.44,84.08,1294200
2017-06-14,91.79,92.2,89.11,89.4,81.31,1594100
2017-06-15,88.78,89.32,84.65,85.87,78.1,2805300
2017-06-16,86.45,86.88,83.91,84.87,77.19,2396000
2017-06-19,85.35,86.29,84.47,85.89,78.12,1056100
2017-06-20,84.29,87.68,83.22,87.04,79.17,2091200
2017-06-21,86.69,88.95,85.64,86.75,78.9,2075300
2017-06-22,86.89,88.18,85.9,85.98,78.2,1206500
2017-06-23,86.03,88.61,85.81,88.4,80.4,2375000
2017-06-26,88.74,88.75,86.67,87.3,79.4,1218200
2017-06-27,87.58,88.67,86.56,87.99,80.03,1269000
2017-06-28,88.26,89.52,86.54,86.6,78.77,1245200
2017-06-29,87.21,88.49,86.71,87.29,79.39,1526000
2017-06-30,87.43,89.24,86.82,88.81,80.78,1612700
2017-07-03,89.55,90.66,88.84,90.35,82.18,723300
2017-07-05,89.55,89.66,87.44,88.49,80.48,1376000
2017-07-06,89.2,89.86,85.79,85.96,78.18,1536100
2017-07-07,85.39,86.31,82.77,86.09,78.3,1441700
2017-07-10,85.68,88.17,85.24,88.03,80.07,1236400
2017-07-11,88.1,88.84,86.57,88.62,80.6,862500
2017-07-12,89.59,90.7,87.8,88.11,80.14,982900
2017-07-13,88.12,89.61,87.68,89.42,81.33,811700
2017-07-14,89.48,90.65,89.46,90.48,82.29,890500
2017-07-17,90.25,91.11,89.98,90.47,82.29,1115400
2017-07-18,91.97,91.97,89.43,90.41,82.23,1241100
2017-07-19,90.9,93.98,90.44,93.93,85.43,1279300
2017-07-20,94.4,95.56,92.08,92.38,84.02,1373800
2017-07-21,92.48,92.79,91.29,91.99,83.67,1219800
2017-07-24,92.44,94.06,92.06,93.21,84.78,854200
2017-07-25,94.25,96.42,94.14,95.72,87.06,1178900
2017-07-26,96.62,97.83,95.34,96.48,87.75,1023200
2017-07-27,96.42,97.13,95.58,96.57,87.83,1019800
2017-07-28,96.33,97.33,95.87,96.65,87.91,909900
2017-07-31,96.51,96.71,94.61,95.88,87.21,1114900
2017-08-01,96.19,96.65,94.54,95.35,86.72,965600
2017-08-02,97.99,97.99,91.86,95.84,87.17,3738500
2017-08-03,96.32,96.79,89.44,89.69,81.58,2890400
2017-08-04,90.48,95.75,89.86,95.21,86.6,2052600
2017-08-07,94.98,96.13,92.77,96.04,87.35,1436400
2017-08-08,95.62,96.67,94.41,94.98,86.39,1905100
2017-08-09,94.81,96.42,94.13,94.58,86.02,1226500
2017-08-10,93.5,94.67,91.97,92.06,83.73,3388700
2017-08-11,92.02,93.9,91.94,92.87,84.47,1182600
2017-08-14,92.86,93.44,89.76,90.75,82.54,1612500
2017-08-15,90.58,90.65,87.64,88.02,80.06,2985700
2017-08-16,87.9,89.63,87.59,88.06,80.09,1504300
2017-08-17,87.5,88.77,85.81,86.1,78.31,1396900
2017-08-18,86.46,88.36,85.73,87.26,79.37,1345700
2017-08-21,87.0,87.69,86.43,87.08,79.2,761000
2017-08-22,87.79,88.16,87.13,87.43,79.52,634100
2017-08-23,87.23,89.79,86.86,88.86,80.82,773400
2017-08-24,88.74,89.35,87.7,89.12,81.06,728000
2017-08-25,89.38,89.55,88.48,88.74,80.71,413600
2017-08-28,88.64,88.64,86.52,88.03,80.07,614000
2017-08-29,87.87,88.67,86.62,88.17,80.19,758300
2017-08-30,88.09,89.3,87.01,88.47,80.47,595000
2017-08-31,89.09,91.12,88.47,90.79,82.58,1300400
2017-09-01,91.07,92.07,90.26,91.92,83.6,1434900
2017-09-05,92.68,93.92,91.18,91.74,83.44,808900
2017-09-06,92.65,93.52,92.04,92.66,84.28,1025300
2017-09-07,92.25,92.25,90.01,91.62,83.33,779200
2017-09-08,91.05,91.05,87.84,88.9,80.86,1123500
2017-09-11,88.92,89.83,88.34,89.45,81.36,993100
2017-09-12,89.38,91.65,89.38,90.41,82.23,1058400
2017-09-13,90.88,94.0,90.88,93.49,85.03,1131400
2017-09-14,93.71,95.75,93.43,93.81,85.32,1431300
2017-09-15,93.81,94.64,93.16,93.97,85.47,1054200
2017-09-18,93.24,95.67,93.24,95.15,86.54,1282900
2017-09-19,95.25,95.89,94.04,94.28,85.75,1150700
2017-09-20,94.74,97.63,94.35,97.32,88.52,1396800
2017-09-21,96.91,97.8,96.14,97.36,88.55,1014100
2017-09-22,96.5,96.89,95.26,95.74,87.08,1343800
2017-09-25,96.4,97.45,96.16,96.78,88.02,1406900
2017-09-26,96.42,97.79,96.05,97.15,88.36,896200
2017-09-27,96.78,97.52,96.08,96.88,88.12,1230700
2017-09-28,96.86,98.36,96.59,97.14,88.35,1559400
2017-09-29,96.77,98.33,96.46,97.96,89.1,1443400
2017-10-02,96.98,100.35,95.69,100.0,90.95,1429900
2017-10-03,100.15,102.5,99.91,100.08,91.03,1807300
2017-10-04,100.76,101.48,99.46,100.75,91.64,1367700
2017-10-05,100.76,101.05,99.65,99.75,90.73,1060000
2017-10-06,99.27,99.29,97.81,99.09,90.13,701400
2017-10-09,99.68,99.99,98.87,99.94,90.9,486500
2017-10-10,101.0,101.64,100.52,100.76,91.64,529600
2017-10-11,101.26,101.71,100.14,101.52,92.34,922000
2017-10-12,100.93,101.74,99.61,101.12,91.97,934800
2017-10-13,101.99,102.49,100.94,101.37,92.2,834600
2017-10-16,102.4,103.43,101.99,102.6,93.32,1040500
2017-10-17,102.54,103.02,101.48,102.61,93.33,755300
2017-10-18,102.27,103.6,101.96,102.19,92.95,784500
2017-10-19,101.79,102.21,100.83,101.59,92.4,816000
2017-10-20,101.6,102.71,101.16,102.53,93.25,577100
2017-10-23,102.57,102.75,100.18,100.35,91.27,646100
2017-10-24,100.41,101.33,98.57,99.67,90.65,1083500
2017-10-25,100.0,100.95,99.04,100.89,91.76,707100
2017-10-26,101.0,101.97,99.64,100.88,91.75,764100
2017-10-27,100.62,105.03,100.5,104.57,95.11,1115400
2017-10-30,105.15,106.78,104.75,106.2,96.59,966500
2017-10-31,106.03,107.56,105.56,107.16,97.47,1041000
2017-11-01,108.23,111.71,108.14,109.78,99.85,1350900
2017-11-02,109.37,109.94,108.35,108.97,99.11,617400
2017-11-03,109.31,111.72,108.7,111.15,101.09,786900
2017-11-06,111.56,113.75,110.56,113.69,103.41,1623100
2017-11-07,114.82,114.93,111.15,111.8,101.69,2018200
2017-11-08,111.26,111.28,107.9,110.04,100.09,2246300
2017-11-09,108.86,111.17,108.74,111.03,100.99,1418100
2017-11-10,110.49,112.57,110.49,111.86,101.74,1001800
2017-11-13,111.35,112.41,110.17,110.97,100.93,1041400
2017-11-14,110.11,110.89,108.11,108.27,98.48,1149600
2017-11-15,107.02,107.51,105.79,106.62,96.97,1501200
2017-11-16,106.99,107.94,106.05,106.53,96.89,878700
2017-11-17,106.39,107.74,106.02,107.54,97.81,1148500
2017-11-20,107.58,108.83,106.26,107.97,98.2,881400
2017-11-21,108.83,109.53,108.0,109.15,99.28,1076600
2017-11-22,110.01,110.44,109.03,109.25,99.37,846700
2017-11-24,109.87,110.91,109.62,110.3,100.32,262100
2017-11-27,110.24,110.33,106.92,107.26,97.56,974500
2017-11-28,107.43,108.47,106.91,108.23,98.44,567900
2017-11-29,108.49,109.4,107.02,108.15,98.37,528100
2017-11-30,108.75,111.31,108.15,109.31,99.42,905700
2017-12-01,110.16,113.12,109.5,110.91,100.88,995300
2017-12-04,111.26,112.1,108.85,109.02,99.16,643000
2017-12-05,108.38,110.25,108.09,109.06,99.19,670500
2017-12-06,108.47,108.93,105.97,106.33,96.71,1027600
2017-12-07,106.5,109.04,106.11,108.95,99.09,727500
2017-12-08,110.0,110.94,109.68,110.77,100.75,715900
2017-12-11,110.89,112.57,110.5,111.3,101.23,905700
2017-12-12,111.55,112.25,110.6,111.53,101.44,604800
2017-12-13,111.95,112.54,111.01,111.59,101.5,782100
2017-12-14,111.19,112.6,110.66,111.03,100.99,827200
2017-12-15,111.32,111.89,109.34,109.52,99.61,1045300
2017-12-18,110.01,111.0,108.92,109.65,99.73,858300
2017-12-19,109.79,112.0,109.47,111.81,101.7,983100
2017-12-20,112.76,117.78,111.96,117.24,106.63,2130700
2017-12-21,118.01,123.55,117.25,123.1,111.96,2644100
2017-12-22,123.48,125.5,123.13,124.37,113.12,1517500
2017-12-26,125.03,127.45,124.42,125.97,114.57,1490500
2017-12-27,126.15,126.34,123.14,123.19,112.05,1348300
2017-12-28,124.38,126.02,123.35,125.52,114.16,1090300
2017-12-29,126.32,127.32,124.23,126.25,114.83,842500
2018-01-02,125.0,128.28,124.77,127.88,116.31,1548100
2018-01-03,127.7,129.74,127.48,129.17,117.48,1609900
2018-01-04,129.12,130.4,127.47,130.13,118.36,978500
2018-01-05,129.71,130.89,128.52,129.98,118.22,873300
2018-01-08,130.1,131.2,129.39,130.99,119.14,1428100
2018-01-09,131.35,132.07,127.32,127.49,115.96,1290800
2018-01-10,127.78,128.68,126.44,127.29,115.77,1487700
2018-01-11,127.31,131.86,126.55,129.9,118.15,1493300
2018-01-12,130.28,131.38,129.65,130.14,118.37,1030900
2018-01-16,130.48,130.87,127.86,128.02,116.44,1002100
2018-01-17,128.1,128.8,126.68,127.44,115.91,1425400
2018-01-18,127.55,128.34,126.18,127.23,115.72,1040000
