Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,21.45,22.19,21.45,21.82,19.07,4309600
2017-05-25,21.88,21.89,21.55,21.65,18.92,6550000
2017-05-26,21.65,21.88,21.53,21.74,19.0,6535000
2017-05-30,21.77,21.84,21.57,21.64,18.91,4637000
2017-05-31,21.59,21.61,21.18,21.58,18.87,7302400
2017-06-01,21.64,21.91,21.47,21.81,19.06,6002600
2017-06-02,22.92,22.92,22.01,22.14,19.35,9297400
2017-06-05,22.14,22.51,22.01,22.33,19.51,7494800
2017-06-06,21.9,22.0,20.93,21.05,18.4,14101600
2017-06-07,21.09,21.45,21.06,21.08,18.43,7087800
2017-06-08,20.94,21.37,20.93,21.21,18.54,5721600
2017-06-09,21.21,21.89,21.21,21.76,19.02,7950800
2017-06-12,21.7,22.28,21.52,22.0,19.22,6564200
2017-06-13,21.92,22.06,21.62,21.71,18.97,6611600
2017-06-14,21.75,21.81,21.35,21.59,18.87,5853800
2017-06-15,21.51,21.92,21.51,21.83,19.08,4177800
2017-06-16,21.6,22.21,21.6,22.2,19.4,8861200
2017-06-19,22.38,22.51,22.2,22.31,19.5,5409400
2017-06-20,22.27,22.28,21.59,21.6,18.88,3402400
2017-06-21,21.66,21.66,21.27,21.35,18.66,3604200
2017-06-22,21.4,21.56,21.3,21.4,18.7,3753600
2017-06-23,21.43,21.67,21.33,21.43,18.73,5281600
2017-06-26,21.48,21.53,21.18,21.33,18.64,3932200
2017-06-27,21.45,21.48,21.0,21.06,18.4,4939200
2017-06-28,21.2,21.34,21.16,21.23,18.55,9928800
2017-06-29,21.25,21.39,21.03,21.26,18.59,5431800
2017-06-30,21.48,21.86,21.32,21.76,19.02,3791200
2017-07-03,21.6,22.08,21.6,22.02,19.25,2976400
2017-07-05,22.08,22.14,21.79,22.08,19.3,6958400
2017-07-06,21.99,22.35,21.89,22.03,19.26,4859000
2017-07-07,22.07,22.1,21.82,21.94,19.18,3480400
2017-07-10,21.88,22.06,21.68,21.88,19.12,5696000
2017-07-11,21.92,21.99,21.52,21.8,19.05,9022000
2017-07-12,23.19,23.3,20.53,21.36,18.67,36192000
2017-07-13,21.68,21.68,21.23,21.58,18.87,20345000
2017-07-14,21.7,21.99,21.41,21.44,18.74,7068800
2017-07-17,21.42,21.51,21.12,21.25,18.57,6710400
2017-07-18,21.24,21.75,21.19,21.71,18.97,6921000
2017-07-19,21.75,21.8,20.94,21.34,18.65,14085000
2017-07-20,21.34,21.67,21.31,21.53,18.82,7437600
2017-07-21,21.36,21.6,21.1,21.2,18.53,9463200
2017-07-24,21.17,21.58,21.12,21.51,18.95,7295200
2017-07-25,21.7,22.22,21.63,22.04,19.41,7650200
2017-07-26,22.11,22.17,21.86,21.94,19.33,5397200
2017-07-27,21.81,22.03,21.65,21.9,19.29,9360800
2017-07-28,21.86,21.99,21.64,21.77,19.18,6259400
2017-07-31,21.8,21.89,21.36,21.48,18.92,4783200
2017-08-01,21.55,21.58,21.14,21.5,18.93,6656200
2017-08-02,21.55,21.6,21.23,21.49,18.93,5712600
2017-08-03,21.49,21.55,21.24,21.28,18.74,4733400
2017-08-04,21.45,21.97,21.45,21.93,19.31,7585600
2017-08-07,21.93,21.98,21.52,21.53,18.96,3398200
2017-08-08,21.5,21.58,21.23,21.25,18.71,4006600
2017-08-09,21.26,21.57,21.1,21.55,18.98,4018400
2017-08-10,21.45,21.58,21.15,21.18,18.65,3887400
2017-08-11,21.22,21.5,21.11,21.31,18.76,3207200
2017-08-14,21.38,21.68,21.35,21.59,19.01,2492400
2017-08-15,21.61,21.61,21.34,21.38,18.83,3009200
2017-08-16,21.36,21.56,21.33,21.55,18.97,3304200
2017-08-17,21.45,21.48,20.8,20.81,18.32,7041000
2017-08-18,20.78,20.84,20.33,20.34,17.91,6770000
2017-08-21,20.29,20.3,19.9,19.99,17.6,11835200
2017-08-22,20.1,20.75,20.0,20.7,18.23,7007400
2017-08-23,20.62,20.64,20.42,20.58,18.12,5137000
2017-08-24,20.66,20.81,20.45,20.58,18.12,4482400
2017-08-25,20.67,20.88,20.55,20.73,18.26,5128400
2017-08-28,20.88,21.03,20.63,20.79,18.31,4896200
2017-08-29,20.69,20.98,20.56,20.7,18.23,3490600
2017-08-30,20.63,21.09,20.53,21.03,18.52,3621600
2017-08-31,21.09,21.43,20.97,21.33,18.79,4873800
2017-09-01,21.44,21.53,21.24,21.24,18.7,3583600
2017-09-05,21.2,21.32,20.93,21.02,18.51,3810200
2017-09-06,21.19,21.44,21.09,21.18,18.66,5181000
2017-09-07,20.91,21.2,20.38,20.97,18.46,9895800
2017-09-08,20.95,21.35,20.81,21.34,18.8,4667000
2017-09-11,21.47,21.71,21.36,21.48,18.92,5725800
2017-09-12,21.53,21.86,21.49,21.77,19.18,3247000
2017-09-13,21.72,21.89,21.65,21.77,19.18,3598800
2017-09-14,21.7,21.98,21.66,21.78,19.18,3200000
2017-09-15,21.79,21.99,21.68,21.97,19.34,6826200
2017-09-18,21.96,22.12,21.88,22.05,19.42,3484400
2017-09-19,22.08,22.2,22.0,22.1,19.46,3525800
2017-09-20,22.22,22.58,22.14,22.28,19.62,6023200
2017-09-21,22.45,22.58,22.23,22.25,19.59,3266000
2017-09-22,22.05,22.26,21.99,22.12,19.48,4145400
2017-09-25,22.09,22.27,21.88,22.26,19.61,4375000
2017-09-26,22.39,22.69,22.22,22.62,19.92,4625400
2017-09-27,22.7,22.88,22.38,22.76,20.05,5317000
2017-09-28,22.75,22.98,22.57,22.86,20.14,5190600
2017-09-29,22.81,23.08,22.76,22.79,20.07,4537000
2017-10-02,22.84,22.88,22.57,22.88,20.15,4765600
