Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,11.95,12.06,11.78,11.9,11.39,14718600
2017-05-25,12.0,12.24,11.62,11.7,11.19,18881600
2017-05-26,11.69,11.73,11.52,11.67,11.17,9747400
2017-05-30,11.76,11.82,11.57,11.67,11.17,9876100
2017-05-31,11.53,11.56,11.18,11.49,10.99,25307700
2017-06-01,11.47,11.62,11.37,11.45,10.95,17577200
2017-06-02,11.3,11.41,11.05,11.29,10.8,17869900
2017-06-05,11.2,11.51,11.19,11.42,10.93,12541600
2017-06-06,11.45,11.98,11.31,11.85,11.34,21800100
2017-06-07,11.9,11.96,11.56,11.72,11.21,27296100
2017-06-08,11.72,12.24,11.62,12.06,11.54,24323800
2017-06-09,12.06,12.48,12.05,12.36,11.83,25821800
2017-06-12,12.36,12.61,12.24,12.34,11.81,24309900
2017-06-13,12.28,12.44,12.21,12.36,11.83,10095600
2017-06-14,12.46,12.46,12.01,12.09,11.57,20053300
2017-06-15,11.97,12.09,11.48,11.5,11.0,22287000
2017-06-16,11.5,11.61,11.2,11.42,10.93,22596200
2017-06-19,11.51,11.68,11.47,11.59,11.09,14190100
2017-06-20,11.4,11.41,11.13,11.24,10.75,16799300
2017-06-21,11.28,11.45,11.12,11.21,10.73,12554700
2017-06-22,11.19,11.64,11.15,11.45,10.95,14726500
2017-06-23,11.53,11.81,11.35,11.76,11.25,20746900
2017-06-26,11.9,11.96,11.73,11.82,11.31,13970200
2017-06-27,11.98,12.14,11.72,11.72,11.21,14693900
2017-06-28,11.86,12.09,11.68,11.99,11.47,12231500
2017-06-29,12.1,12.33,11.98,12.08,11.56,16257000
2017-06-30,12.12,12.19,11.89,12.01,11.49,14791100
2017-07-03,12.08,12.31,12.06,12.2,11.67,8517400
2017-07-05,12.2,12.36,11.98,12.17,11.64,13967000
2017-07-06,12.09,12.21,11.86,11.89,11.38,12965500
2017-07-07,11.92,12.0,11.71,11.9,11.39,12151400
2017-07-10,11.82,12.64,11.78,12.52,11.98,24245200
2017-07-11,12.52,12.63,12.17,12.58,12.04,19193800
2017-07-12,12.42,12.61,12.2,12.27,11.74,23912500
2017-07-13,12.34,12.57,12.3,12.48,11.94,17865300
2017-07-14,12.51,12.69,12.51,12.6,12.06,11896500
2017-07-17,12.78,13.36,12.72,13.0,12.44,27319800
2017-07-18,12.98,13.02,12.76,13.0,12.44,15330900
2017-07-19,13.03,13.19,12.96,13.11,12.54,14095000
2017-07-20,13.12,13.21,12.8,13.04,12.48,13210900
2017-07-21,13.04,13.19,12.9,13.01,12.45,11718700
2017-07-24,13.01,13.08,12.79,12.96,12.4,14713200
2017-07-25,13.35,14.99,13.31,14.87,14.23,74121800
2017-07-26,14.69,15.27,14.41,15.06,14.41,37215700
2017-07-27,15.06,15.1,14.45,14.5,13.87,32957100
2017-07-28,14.5,14.8,14.45,14.6,13.97,17858300
2017-07-31,14.8,14.9,14.54,14.62,13.99,17123900
2017-08-01,14.6,14.69,14.22,14.49,13.86,19010000
2017-08-02,14.14,14.5,14.06,14.37,13.75,17689400
2017-08-03,14.34,14.58,14.17,14.37,13.75,20389100
2017-08-04,14.45,14.66,14.35,14.41,13.79,14822800
2017-08-07,14.56,14.85,14.5,14.7,14.06,14260500
2017-08-08,14.63,14.85,14.41,14.47,13.84,15750600
2017-08-09,14.47,14.61,14.28,14.59,13.96,13142600
2017-08-10,14.47,14.58,14.12,14.15,13.54,17626000
2017-08-11,14.0,14.1,13.82,13.96,13.36,19768300
2017-08-14,14.09,14.24,13.99,14.15,13.54,17354000
2017-08-15,14.0,14.24,13.9,13.97,13.37,14954900
2017-08-16,14.28,14.84,14.18,14.77,14.13,24242900
2017-08-17,14.62,14.75,14.17,14.2,13.59,18107400
2017-08-18,14.06,14.34,13.92,14.15,13.54,15434300
2017-08-21,14.54,14.89,14.48,14.73,14.09,23227700
2017-08-22,14.91,15.46,14.88,15.07,14.42,31871100
2017-08-23,14.99,15.38,14.92,15.29,14.63,20105800
2017-08-24,15.29,15.64,15.16,15.49,14.82,22766000
2017-08-25,15.71,15.75,15.13,15.29,14.63,18066300
2017-08-28,15.4,15.67,15.38,15.53,14.86,13379300
2017-08-29,15.5,15.5,14.64,15.21,14.55,30041500
2017-08-30,15.15,15.17,14.54,14.56,13.93,23625900
2017-08-31,14.83,14.98,14.59,14.78,14.14,19899600
2017-09-01,14.93,15.2,14.92,15.07,14.42,12883200
2017-09-05,15.23,15.38,14.58,14.79,14.15,20255000
2017-09-06,14.5,15.11,14.5,15.06,14.41,15729800
2017-09-07,15.06,15.25,14.87,15.21,14.55,15432400
2017-09-08,14.97,14.97,14.13,14.24,13.62,27484000
2017-09-11,14.48,14.6,14.34,14.39,13.77,19728100
2017-09-12,14.3,14.48,14.07,14.3,13.68,20798600
2017-09-13,14.02,14.08,13.83,13.94,13.34,23721600
2017-09-14,13.85,13.92,13.65,13.86,13.26,17270200
2017-09-15,13.82,14.05,13.82,13.88,13.28,21270500
2017-09-18,13.9,14.24,13.89,14.13,13.52,14095900
2017-09-19,14.15,14.56,13.96,14.48,13.85,21264600
2017-09-20,14.53,14.68,13.95,14.18,13.57,18449500
2017-09-21,13.93,14.24,13.82,13.98,13.38,16535200
2017-09-22,13.9,14.34,13.88,14.06,13.45,12562800
2017-09-25,13.99,14.06,13.76,13.89,13.29,15655900
2017-09-26,13.98,14.16,13.9,13.99,13.39,13522200
2017-09-27,14.1,14.12,13.85,14.0,13.39,11806200
2017-09-28,14.0,14.56,13.85,14.42,13.8,20050600
2017-09-29,14.4,14.41,13.96,14.04,13.43,15716600
2017-10-02,13.98,14.34,13.97,14.34,13.72,14783800
2017-10-03,14.42,14.67,14.26,14.64,14.01,13404400
2017-10-04,14.68,14.87,14.52,14.53,13.9,15923700
2017-10-05,14.87,15.39,14.65,14.75,14.11,25633000
