Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,193.43,193.9,192.6,193.27,181.6,715800
2017-05-25,193.7,194.94,192.93,194.81,183.05,1357600
2017-05-26,193.77,194.94,193.58,194.26,182.53,758000
2017-05-30,193.82,194.98,192.68,193.88,182.17,1083500
2017-05-31,194.28,194.3,191.93,193.84,182.14,1303100
2017-06-01,194.58,198.75,193.94,198.36,186.38,1420100
2017-06-02,199.04,204.89,198.85,203.11,190.85,3027100
2017-06-05,202.67,204.4,202.06,202.25,190.04,1721000
2017-06-06,201.29,204.91,200.84,203.17,190.9,2120100
2017-06-07,203.3,206.31,202.42,206.15,193.7,2175700
2017-06-08,206.15,206.93,204.3,205.84,193.41,1975200
2017-06-09,205.89,207.11,204.95,206.4,193.94,1511100
2017-06-12,206.14,209.35,205.26,209.12,196.49,1841300
2017-06-13,209.9,210.65,208.45,209.42,196.78,1210800
2017-06-14,210.12,210.12,207.69,208.9,196.29,1110300
2017-06-15,207.84,210.82,207.76,210.45,197.74,1281100
2017-06-16,210.85,211.88,209.57,210.5,197.79,1842200
2017-06-19,211.23,211.42,208.6,210.95,198.21,2318000
2017-06-20,210.44,211.0,208.95,208.95,196.8,2344600
2017-06-21,208.0,213.86,205.5,212.3,199.96,3534300
2017-06-22,209.8,212.67,208.61,211.63,199.33,2027300
2017-06-23,211.39,216.96,211.26,215.35,202.83,2547200
2017-06-26,216.39,217.29,215.0,215.36,202.84,1246600
2017-06-27,215.03,216.13,214.29,214.33,201.87,1541500
2017-06-28,216.19,217.33,215.29,217.15,204.52,1463300
2017-06-29,217.0,217.0,215.0,215.23,202.72,1574000
2017-06-30,216.48,218.36,216.06,217.33,204.69,1412800
2017-07-03,218.49,219.28,217.38,217.38,204.74,991600
2017-07-05,217.4,219.36,217.03,218.31,205.62,1169200
2017-07-06,217.3,218.0,214.64,215.03,202.53,1501100
2017-07-07,216.27,218.99,215.39,218.51,205.81,1069200
2017-07-10,218.0,219.99,217.71,218.87,206.14,1018200
2017-07-11,219.09,219.26,216.36,217.54,204.89,1164900
2017-07-12,218.87,219.25,217.87,218.32,205.63,1031600
2017-07-13,218.36,218.54,217.21,217.97,205.3,977800
2017-07-14,217.25,219.45,216.89,219.06,206.32,1000100
2017-07-17,215.25,216.47,211.53,215.48,202.95,2838900
2017-07-18,215.16,215.16,210.95,211.04,198.77,2231000
2017-07-19,211.13,212.95,210.1,212.88,200.5,2616200
2017-07-20,213.2,213.47,211.34,211.88,199.56,1975900
2017-07-21,210.8,212.61,209.71,212.51,200.15,1235700
2017-07-24,212.09,213.4,211.63,212.68,200.31,1035900
2017-07-25,213.78,215.59,213.65,214.37,201.91,898300
2017-07-26,214.81,214.85,213.46,213.63,201.21,669200
2017-07-27,213.25,213.77,206.22,207.54,195.47,2374100
2017-07-28,207.66,208.95,206.69,208.04,195.94,1076400
2017-07-31,208.37,208.82,207.71,208.03,195.93,828900
2017-08-01,208.96,209.41,205.91,206.71,194.69,1176900
2017-08-02,207.0,209.68,206.3,209.5,197.32,1359900
