Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,83.61,84.05,83.48,83.95,79.04,1432800
2017-05-25,84.3,85.56,84.0,85.36,80.37,1421100
2017-05-26,85.05,85.64,85.05,85.28,80.3,1392600
2017-05-30,85.0,85.39,84.79,85.29,80.31,1518100
2017-05-31,85.53,85.96,85.28,85.87,80.85,2401400
2017-06-01,85.87,86.77,85.87,86.77,81.7,1628000
2017-06-02,86.69,87.32,86.39,86.67,81.61,1360000
2017-06-05,86.67,86.99,86.49,86.55,81.49,1169100
2017-06-06,86.02,86.83,86.02,86.25,81.21,1091800
2017-06-07,86.42,86.64,86.12,86.55,81.49,1112600
2017-06-08,86.55,86.63,84.85,85.29,80.31,2027400
2017-06-09,85.3,85.64,83.94,84.61,79.67,1309600
2017-06-12,84.36,84.93,83.36,84.93,79.97,1918100
2017-06-13,85.07,85.99,85.07,85.74,80.73,1452900
2017-06-14,85.89,86.29,85.24,85.73,80.99,1516500
2017-06-15,85.2,86.26,84.66,86.03,81.28,1922500
2017-06-16,86.0,86.31,85.0,85.19,80.48,2316400
2017-06-19,85.51,85.63,84.57,85.07,80.37,1563100
2017-06-20,84.88,85.27,84.62,85.15,80.45,2021700
2017-06-21,85.24,85.51,84.7,84.99,80.29,1152300
2017-06-22,85.01,85.21,84.44,84.86,80.17,846800
2017-06-23,84.89,85.11,84.47,84.84,80.15,1351800
2017-06-26,85.07,85.13,84.38,84.9,80.21,1117700
2017-06-27,84.74,85.61,84.48,85.22,80.51,1937200
2017-06-28,85.53,86.07,84.78,85.98,81.23,1132100
2017-06-29,85.74,85.84,83.99,84.81,80.12,1511700
2017-06-30,85.0,85.75,84.8,85.4,80.68,1470900
2017-07-03,85.71,86.08,85.36,85.45,80.73,826300
2017-07-05,85.67,86.32,85.45,86.11,81.35,1646100
2017-07-06,85.8,85.84,85.23,85.55,80.82,1521400
2017-07-07,85.77,86.95,85.77,86.78,81.99,1808800
2017-07-10,86.81,87.54,86.49,87.3,82.48,1486400
2017-07-11,87.28,87.89,87.01,87.82,82.97,1971800
2017-07-12,88.0,88.66,87.94,88.6,83.71,1803600
2017-07-13,88.87,89.35,88.46,89.25,84.32,1726000
2017-07-14,89.5,89.77,89.26,89.58,84.63,1142300
2017-07-17,89.62,89.75,89.31,89.63,84.68,1149300
2017-07-18,89.54,89.85,89.19,89.85,84.89,949300
2017-07-19,89.9,90.27,89.65,89.87,84.91,1272400
2017-07-20,89.85,90.11,89.55,89.81,84.85,1476400
2017-07-21,89.78,90.25,89.76,90.0,85.03,1033400
2017-07-24,89.99,90.29,89.38,90.12,85.14,958500
2017-07-25,90.09,90.22,89.57,89.7,84.74,1297800
2017-07-26,90.0,90.69,89.71,90.69,85.68,1120500
2017-07-27,90.92,91.06,90.25,91.05,86.02,2895200
2017-07-28,91.0,91.13,90.33,90.83,85.81,1330200
2017-07-31,91.18,91.56,90.99,91.22,86.18,1849200
2017-08-01,91.71,91.9,91.24,91.87,86.79,1949500
2017-08-02,91.9,92.78,90.89,91.24,86.2,2262600
2017-08-03,91.06,91.52,89.85,90.41,85.42,2176200
2017-08-04,90.62,90.87,89.99,90.37,85.38,2748900
2017-08-07,90.19,90.6,90.17,90.55,85.55,2385500
2017-08-08,90.43,90.66,89.9,89.99,85.02,953300
2017-08-09,89.44,89.63,89.11,89.39,84.45,1140400
2017-08-10,89.27,89.73,89.05,89.26,84.33,1637800
2017-08-11,89.06,89.64,89.04,89.22,84.29,780600
2017-08-14,90.0,90.61,89.84,90.45,85.45,728000
2017-08-15,90.47,90.88,90.43,90.66,85.65,842800
2017-08-16,90.17,91.93,90.0,91.45,86.4,1508700
2017-08-17,91.44,91.53,89.5,89.57,84.62,1183400
2017-08-18,89.5,90.13,88.97,89.83,84.87,3093600
2017-08-21,89.83,90.9,89.8,90.86,85.84,1377700
2017-08-22,91.13,91.66,90.88,91.58,86.52,1218500
2017-08-23,91.35,91.49,91.05,91.34,86.29,976200
2017-08-24,91.58,91.58,91.05,91.25,86.21,1185200
2017-08-25,91.59,91.75,91.18,91.34,86.29,830400
2017-08-28,91.64,91.86,91.36,91.79,86.72,671600
2017-08-29,91.34,92.23,91.28,91.94,86.86,930600
2017-08-30,91.95,92.49,91.72,92.39,87.29,883000
2017-08-31,92.72,93.06,92.49,92.92,87.79,1430400
2017-09-01,93.15,93.29,91.99,92.34,87.24,1022200
2017-09-05,92.1,92.32,91.7,92.21,87.12,905200
2017-09-06,92.39,92.61,91.86,92.47,87.36,966500
2017-09-07,92.65,92.84,92.23,92.53,87.42,956800
2017-09-08,92.51,92.72,92.13,92.3,87.2,1060400
2017-09-11,92.8,93.39,92.48,93.39,88.23,1101100
2017-09-12,93.5,93.73,92.95,93.33,88.17,771800
2017-09-13,93.08,93.18,92.41,92.42,87.31,874200
2017-09-14,92.1,92.48,91.78,92.11,87.3,997100
2017-09-15,92.06,92.33,91.72,92.01,87.2,2102100
2017-09-18,92.19,93.61,92.1,93.54,88.65,2223400
2017-09-19,93.47,93.68,92.66,92.77,87.92,1272300
2017-09-20,92.87,93.13,92.18,92.8,87.95,1136600
2017-09-21,92.67,92.93,92.35,92.72,87.87,849200
2017-09-22,92.68,93.12,92.54,93.05,88.19,968900
2017-09-25,93.05,93.21,92.14,92.83,87.98,1362000
2017-09-26,92.93,93.17,92.51,92.65,87.81,933100
2017-09-27,92.98,93.45,92.78,93.0,88.14,955500
2017-09-28,92.57,93.39,92.52,93.34,88.46,891400
2017-09-29,93.36,93.65,93.0,93.39,88.51,1076600
2017-10-02,93.46,93.86,93.14,93.33,88.45,867500
2017-10-03,93.33,93.59,93.06,93.4,88.52,519800
2017-10-04,93.44,93.94,93.27,93.71,88.81,1107200
2017-10-05,93.91,93.95,93.36,93.82,88.92,733100
2017-10-06,93.76,93.99,93.5,93.91,89.0,1380400
2017-10-09,94.0,94.45,93.81,94.35,89.42,742000
2017-10-10,94.51,94.95,94.32,94.61,89.66,1332000
2017-10-11,94.58,94.72,94.34,94.64,89.69,858600
2017-10-12,94.56,94.99,94.42,94.61,89.66,1051600
2017-10-13,94.9,95.14,94.64,94.96,90.0,1042800
2017-10-16,95.06,95.27,94.76,95.21,90.23,1019500
2017-10-17,95.24,95.24,94.13,94.38,89.45,964000
2017-10-18,94.37,95.21,94.29,94.81,89.85,652400
2017-10-19,94.78,95.21,94.18,95.15,90.18,1166500
2017-10-20,95.49,95.5,94.8,95.28,90.3,976700
2017-10-23,95.5,96.0,95.49,95.71,90.71,743400
2017-10-24,95.84,95.97,95.24,95.27,90.29,813300
2017-10-25,95.31,95.95,95.03,95.53,90.54,864400
2017-10-26,96.1,96.36,95.74,95.94,90.93,888000
2017-10-27,96.14,96.67,95.88,96.62,91.57,994500
2017-10-30,96.45,96.46,95.74,96.07,91.05,1241200
2017-10-31,91.25,93.3,90.8,92.76,87.91,4394200
2017-11-01,94.12,94.89,92.47,93.11,88.24,2849500
2017-11-02,93.44,93.63,92.91,93.36,88.48,1489400
2017-11-03,93.01,93.45,92.59,93.18,88.31,1264400
2017-11-06,93.32,93.7,93.0,93.13,88.26,1620700
2017-11-07,92.94,92.99,89.31,90.47,85.74,4748900
2017-11-08,90.41,92.11,90.0,91.65,86.86,2400600
2017-11-09,91.5,92.79,90.96,92.52,87.68,2704700
2017-11-10,92.33,92.97,92.12,92.76,87.91,1800200
2017-11-13,91.83,92.89,91.51,92.85,88.0,1561600
2017-11-14,92.35,93.72,91.66,93.43,88.55,2111000
2017-11-15,93.27,93.82,92.14,93.54,88.65,2414600
2017-11-16,93.81,94.24,93.17,93.2,88.33,2711900
2017-11-17,92.99,93.23,91.83,92.06,87.25,1692900
2017-11-20,92.39,92.59,91.79,91.97,87.16,1429400
2017-11-21,92.14,92.25,91.57,91.74,86.94,1924400
2017-11-22,91.59,91.81,91.33,91.59,86.8,792600
2017-11-24,91.59,92.2,91.5,92.11,87.3,469200
2017-11-27,92.34,92.37,91.53,91.97,87.16,1155000
2017-11-28,92.0,92.84,91.92,92.72,87.87,938800
2017-11-29,93.03,93.03,91.91,92.72,87.87,1068700
2017-11-30,93.09,94.4,92.87,94.33,89.4,1802900
2017-12-01,94.13,94.38,92.85,93.75,88.85,1488800
2017-12-04,94.52,94.59,93.59,93.63,88.74,1668400
2017-12-05,93.81,95.23,93.3,95.17,90.2,2017200
2017-12-06,94.96,95.54,94.43,95.3,90.32,1817100
2017-12-07,95.43,96.01,95.2,95.87,90.86,2004000
2017-12-08,96.17,96.44,95.51,95.85,90.84,1683500
2017-12-11,95.81,96.0,95.13,95.71,90.71,1188300
2017-12-12,95.4,95.87,94.11,94.24,89.31,2546100
2017-12-13,94.07,95.18,93.98,94.26,89.33,1496500
2017-12-14,94.04,94.46,93.57,93.6,88.98,1487900
2017-12-15,93.81,94.97,93.52,94.83,90.15,2735000
2017-12-18,95.49,95.75,95.07,95.25,90.55,1579600
2017-12-19,95.38,95.54,94.58,95.0,90.31,1357600
2017-12-20,95.53,95.88,94.96,95.08,90.39,983600
2017-12-21,95.27,95.51,94.71,94.86,90.18,964700
2017-12-22,94.72,95.05,94.31,94.32,89.67,881900
2017-12-26,94.21,94.38,93.87,94.13,89.49,691900
2017-12-27,94.46,94.61,93.84,94.0,89.36,674300
2017-12-28,94.21,94.47,93.86,94.28,89.63,1371900
2017-12-29,94.56,94.56,94.09,94.09,89.45,808300
2018-01-02,94.31,94.62,93.25,93.7,89.08,1231700
2018-01-03,93.64,94.45,93.57,94.25,89.6,1370600
2018-01-04,94.33,95.57,94.33,94.95,90.26,1673900
2018-01-05,95.14,95.49,94.43,95.49,90.78,1721000
2018-01-08,95.38,96.35,95.06,95.73,91.01,1185900
2018-01-09,95.79,96.17,95.53,96.04,91.3,1338500
2018-01-10,96.03,97.29,95.45,97.28,92.48,2110700
2018-01-11,97.33,97.8,97.06,97.78,92.95,1239200
2018-01-12,97.86,97.99,96.91,97.61,92.79,1773300
2018-01-16,97.8,98.36,96.95,97.17,92.38,1448600
2018-01-17,97.77,97.97,97.25,97.6,92.78,1407300
2018-01-18,97.95,98.06,97.51,97.54,92.73,1235500
2018-01-19,97.87,98.59,97.63,98.47,93.61,1627100
2018-01-22,98.63,99.2,98.41,99.19,94.3,1111900
2018-01-23,99.03,99.81,98.94,99.13,94.24,971600
2018-01-24,99.6,100.81,99.22,100.56,95.6,1542900
2018-01-25,100.66,101.8,100.54,101.5,96.49,1194500
2018-01-26,101.8,103.07,101.58,102.88,97.8,1419700
2018-01-29,102.91,103.65,102.49,102.69,97.62,1248400
2018-01-30,102.36,103.08,102.18,102.66,97.59,1222100
2018-01-31,102.67,103.18,102.17,102.36,97.31,1500400
2018-02-01,102.3,102.88,101.72,102.11,97.07,1530800
2018-02-02,101.56,102.22,100.78,100.81,95.84,1612600
2018-02-05,100.59,101.41,97.03,97.2,92.4,2636000
2018-02-06,95.35,96.21,92.45,95.72,91.0,5946300
2018-02-07,95.74,98.21,95.48,96.77,91.99,3099800
2018-02-08,96.82,97.99,92.69,92.74,88.16,3058300
2018-02-09,93.39,95.72,92.12,95.03,90.34,2572000
2018-02-12,95.77,96.38,94.9,95.15,90.45,1789900
2018-02-13,95.08,96.29,94.43,96.17,91.42,1144100
2018-02-14,95.68,96.41,95.33,96.0,91.26,1590800
2018-02-15,96.32,96.57,95.53,96.56,91.8,1538100
2018-02-16,96.54,98.16,96.54,97.82,92.99,1098100
2018-02-20,97.24,98.01,96.29,97.32,92.52,1501200
2018-02-21,97.55,98.92,97.14,97.15,92.36,1215000
2018-02-22,97.64,99.15,97.26,98.03,93.19,2315300
2018-02-23,98.61,99.84,98.08,99.82,94.89,1805300
2018-02-26,100.01,101.1,99.71,99.92,94.99,2047900
