Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,64.91,65.32,64.37,64.75,59.91,650638
2017-05-25,65.03,65.39,64.66,65.33,60.44,785078
2017-05-26,65.29,65.59,65.18,65.26,60.38,790036
2017-05-30,65.23,65.65,64.86,65.05,60.18,633343
2017-05-31,64.99,65.51,64.47,65.37,60.48,2279942
2017-06-01,65.44,66.5,65.21,66.03,61.09,1034587
2017-06-02,65.93,66.44,65.72,66.32,61.36,870515
2017-06-05,66.03,66.43,65.68,65.75,60.83,577307
2017-06-06,65.58,66.01,65.13,65.92,60.98,1376336
2017-06-07,66.08,66.25,65.33,66.08,61.14,1133976
2017-06-08,66.08,66.43,65.77,66.13,61.18,1115643
2017-06-09,66.14,67.11,65.97,66.45,61.48,815402
2017-06-12,66.3,66.79,65.32,65.41,60.52,981549
2017-06-13,65.52,66.61,65.28,66.58,61.6,1506740
2017-06-14,66.7,66.72,65.49,65.76,60.84,1744604
2017-06-15,65.05,65.78,64.59,65.76,60.84,1478261
2017-06-16,65.92,66.42,65.46,66.05,61.1,2042770
2017-06-19,66.32,66.77,65.55,65.58,60.67,1939000
2017-06-20,65.26,66.07,65.26,65.77,60.85,1106188
2017-06-21,65.83,66.21,65.52,65.56,60.66,1230828
2017-06-22,65.57,65.9,64.4,64.41,59.59,825433
2017-06-23,64.2,65.21,63.64,64.86,60.01,1308770
2017-06-26,65.2,65.41,64.69,64.85,60.0,550673
2017-06-27,65.18,65.42,64.19,64.19,59.39,616509
2017-06-28,64.43,65.41,64.35,65.07,60.33,588491
2017-06-29,65.06,65.13,62.97,63.63,59.0,1146082
2017-06-30,62.98,63.94,61.95,63.36,58.75,3845486
2017-07-03,63.85,64.03,63.01,63.81,59.17,635995
2017-07-05,63.88,64.15,63.16,63.79,59.15,1063181
2017-07-06,63.51,64.09,63.17,63.83,59.19,856333
2017-07-07,64.04,64.99,63.8,64.69,59.99,786923
2017-07-10,64.48,66.33,64.22,65.8,61.02,1213763
2017-07-11,65.53,65.56,64.12,64.38,59.7,1508239
