Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,92.82,93.11,92.46,92.95,90.08,623500
2017-05-25,93.06,93.49,92.66,93.23,90.35,514000
2017-05-26,92.8,93.36,92.58,92.63,89.77,376000
2017-05-30,92.58,93.17,91.59,93.17,90.29,685800
2017-05-31,93.16,93.16,90.68,92.1,89.26,905800
2017-06-01,92.64,95.01,92.02,94.91,91.98,1422300
2017-06-02,94.2,94.8,93.49,93.97,91.07,666600
2017-06-05,94.27,95.42,93.9,94.97,92.04,766500
2017-06-06,94.05,94.62,93.53,94.3,91.39,1340500
2017-06-07,94.77,96.14,94.55,96.04,93.08,940100
2017-06-08,95.86,98.28,95.56,97.94,94.92,1350100
2017-06-09,98.67,100.86,98.52,100.15,97.06,1280400
2017-06-12,100.0,101.23,99.04,100.25,97.16,1193700
2017-06-13,100.89,101.56,100.34,100.57,97.47,905700
2017-06-14,100.01,101.08,99.19,100.88,97.77,994800
2017-06-15,100.08,101.12,100.04,100.72,97.61,513000
2017-06-16,100.52,100.9,100.05,100.79,97.68,951900
2017-06-19,101.51,101.99,100.9,101.45,98.32,498700
2017-06-20,101.14,101.89,100.82,100.82,97.71,687400
2017-06-21,100.61,101.14,99.63,99.84,96.76,567700
2017-06-22,99.73,99.99,99.07,99.87,96.79,511300
2017-06-23,100.16,100.7,98.46,99.1,96.04,1159300
2017-06-26,99.36,100.25,98.69,99.52,96.45,423800
2017-06-27,99.95,100.16,98.86,98.9,95.85,606400
2017-06-28,99.83,101.54,99.16,100.71,97.6,919800
2017-06-29,102.43,103.69,99.29,100.56,97.46,968900
2017-06-30,100.94,101.0,99.39,100.1,97.01,825400
2017-07-03,100.75,102.94,100.32,102.73,99.56,555500
2017-07-05,102.74,103.21,101.46,102.54,99.37,706000
2017-07-06,102.46,103.16,101.85,102.0,98.85,869900
2017-07-07,102.72,103.81,102.38,103.27,100.08,952300
2017-07-10,103.16,104.17,102.88,103.43,100.24,890000
2017-07-11,103.42,103.6,101.92,102.03,98.88,733100
2017-07-12,101.68,102.62,101.33,102.17,99.02,783500
2017-07-13,102.49,103.0,101.13,101.35,98.22,1032500
2017-07-14,98.49,101.23,96.66,101.21,98.09,1611000
2017-07-17,100.86,101.14,99.88,100.76,97.65,933000
2017-07-18,100.17,100.93,99.95,100.37,97.27,1018100
2017-07-19,100.44,100.8,99.55,99.99,96.9,811800
2017-07-20,99.95,100.47,99.23,100.37,97.27,766800
2017-07-21,100.05,100.76,99.66,99.82,96.74,433500
2017-07-24,99.78,100.83,99.38,100.37,97.27,478000
2017-07-25,101.47,102.61,100.49,102.14,99.15,778500
2017-07-26,102.6,102.6,100.07,100.29,97.36,538700
2017-07-27,100.55,101.08,99.65,100.19,97.26,409900
2017-07-28,100.05,100.05,98.64,99.8,96.88,668600
2017-07-31,100.17,100.73,99.65,100.33,97.4,653100
2017-08-01,101.08,101.8,100.85,101.64,98.67,583600
2017-08-02,101.88,102.21,101.09,101.54,98.57,605400
2017-08-03,101.13,101.75,100.5,100.86,97.91,378400
2017-08-04,101.39,102.22,101.21,101.57,98.6,449000
2017-08-07,101.85,102.27,101.29,101.7,98.73,382200
2017-08-08,101.5,102.5,101.3,101.6,98.63,438800
2017-08-09,100.88,100.99,99.6,100.35,97.42,654500
2017-08-10,99.81,99.88,97.77,97.82,94.96,435000
2017-08-11,97.76,98.35,96.92,97.37,94.52,493200
2017-08-14,98.37,99.35,97.73,98.65,95.77,606400
2017-08-15,99.52,99.87,98.68,98.75,95.86,431400
2017-08-16,98.99,99.31,98.17,98.27,95.4,461200
2017-08-17,98.28,98.67,95.89,96.07,93.26,603000
2017-08-18,95.45,97.02,95.23,96.31,93.5,485600
2017-08-21,96.21,96.36,95.41,96.24,93.43,364400
2017-08-22,96.59,97.1,96.38,97.01,94.17,332100
2017-08-23,96.25,97.58,96.25,96.95,94.12,278100
2017-08-24,97.35,97.56,96.83,97.53,94.68,325200
2017-08-25,97.82,98.55,97.64,98.15,95.28,511000
2017-08-28,98.24,98.39,97.68,97.83,94.97,309200
2017-08-29,97.16,97.41,96.45,96.52,93.7,582600
2017-08-30,96.72,97.33,96.45,97.06,94.22,358400
2017-08-31,97.37,97.51,96.86,97.05,94.21,606900
2017-09-01,97.25,97.91,97.16,97.38,94.53,405400
2017-09-05,96.56,96.6,93.97,94.21,91.46,643400
2017-09-06,94.83,95.08,93.56,94.46,91.7,533400
2017-09-07,94.53,94.81,91.98,92.49,89.79,887500
2017-09-08,92.41,94.46,92.4,93.9,91.16,696000
2017-09-11,95.28,96.4,94.67,96.03,93.22,843500
2017-09-12,96.43,98.44,96.3,98.08,95.21,733000
2017-09-13,97.83,98.29,97.22,97.81,94.95,839200
2017-09-14,97.91,98.22,95.58,95.74,92.94,699100
