Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,125.78,127.93,125.72,127.4,106.36,471200
2017-05-25,127.74,128.6,126.96,127.38,106.34,418100
2017-05-26,127.45,127.48,125.52,126.32,105.45,406900
2017-05-30,126.09,126.22,123.79,123.82,103.37,524800
2017-05-31,123.99,124.51,122.26,122.74,102.47,1898400
2017-06-01,122.55,124.75,122.13,124.29,103.76,524600
2017-06-02,125.29,125.98,122.99,123.37,102.99,541400
2017-06-05,122.88,123.03,121.27,121.73,101.62,557200
2017-06-06,121.85,123.03,120.5,122.18,102.0,427000
2017-06-07,122.41,125.62,122.29,124.99,104.34,570400
2017-06-08,124.99,125.39,122.73,122.88,102.58,589900
2017-06-09,122.92,125.2,122.07,124.68,104.09,623200
2017-06-12,124.55,127.11,124.55,126.94,105.97,577300
2017-06-13,126.62,128.69,125.81,127.88,106.76,744500
2017-06-14,128.94,128.97,126.35,126.99,106.01,387200
2017-06-15,126.34,128.81,126.34,128.32,107.12,480200
2017-06-16,128.59,128.71,124.78,125.37,104.66,935900
2017-06-19,125.15,125.64,124.12,125.19,104.51,744500
2017-06-20,123.93,125.3,122.57,123.84,104.2,535600
2017-06-21,124.05,124.31,122.76,123.33,103.77,460400
2017-06-22,123.06,124.51,122.53,124.19,104.49,404900
2017-06-23,124.34,126.19,123.48,125.05,105.22,1539600
2017-06-26,125.47,129.0,125.47,127.72,107.46,605500
2017-06-27,127.15,128.24,126.98,127.44,107.23,453400
2017-06-28,127.74,129.0,127.43,128.13,107.81,517400
2017-06-29,128.08,129.14,126.89,127.71,107.46,500500
2017-06-30,128.23,128.48,125.97,126.39,106.35,403700
2017-07-03,127.09,129.38,126.87,129.04,108.58,274000
2017-07-05,129.11,129.19,125.72,126.26,106.24,603900
2017-07-06,125.93,126.71,124.96,125.38,105.5,436000
2017-07-07,125.47,126.73,125.17,126.28,106.25,341300
2017-07-10,126.64,126.72,124.7,124.76,104.97,471300
2017-07-11,124.74,125.55,122.97,124.84,105.04,422400
2017-07-12,125.95,127.7,125.18,125.41,105.52,439200
2017-07-13,125.42,126.99,125.32,126.67,106.58,322900
2017-07-14,127.33,128.81,126.83,128.27,107.93,418800
2017-07-17,128.12,129.57,127.88,129.01,108.55,323200
2017-07-18,128.81,129.3,127.69,128.71,108.3,454900
2017-07-19,128.93,129.95,128.38,129.93,109.32,384900
2017-07-20,130.24,131.16,129.74,130.0,109.38,348900
2017-07-21,130.86,131.21,129.15,130.48,109.79,326600
2017-07-24,130.74,131.31,128.87,131.26,110.44,410900
2017-07-25,131.19,132.24,130.37,132.13,111.18,483900
2017-07-26,132.25,133.51,131.66,132.7,111.65,387600
2017-07-27,132.56,135.57,131.76,135.03,113.62,437400
2017-07-28,135.03,135.59,132.44,132.81,111.75,459800
2017-07-31,133.12,133.12,131.18,132.63,111.6,761000
2017-08-01,132.95,135.12,132.28,134.4,113.09,598500
2017-08-02,134.08,134.08,132.13,132.84,111.77,434700
2017-08-03,132.69,134.04,131.8,132.98,111.89,448200
2017-08-04,132.88,134.87,132.48,133.64,112.45,409200
2017-08-07,133.63,134.14,132.82,133.41,112.25,251900
2017-08-08,133.16,134.01,131.57,132.59,111.56,338600
2017-08-09,132.88,133.51,132.0,132.75,111.7,354900
2017-08-10,132.45,133.0,131.68,132.04,111.1,313100
2017-08-11,131.84,132.09,129.12,129.4,108.88,364800
2017-08-14,129.21,131.58,128.13,131.06,110.27,414200
2017-08-15,131.35,131.35,128.57,129.27,108.77,514900
2017-08-16,129.42,130.46,129.38,129.65,109.09,493500
2017-08-17,129.48,130.02,128.55,128.55,108.16,519000
2017-08-18,128.22,128.22,125.87,126.96,106.83,1342200
2017-08-21,126.95,128.66,126.4,128.1,107.78,465800
2017-08-22,128.24,128.71,126.8,126.86,106.74,433400
2017-08-23,126.72,127.99,126.51,127.58,107.35,420900
2017-08-24,127.96,129.73,126.69,126.86,106.74,587200
2017-08-25,127.05,128.6,126.39,128.32,107.97,419100
2017-08-28,128.29,128.54,125.18,125.41,105.52,379800
2017-08-29,125.36,126.04,124.53,125.71,105.77,373700
2017-08-30,125.55,126.54,123.92,126.54,106.47,276400
2017-08-31,126.87,127.39,126.1,126.93,106.8,507300
2017-09-01,127.13,128.92,126.53,128.2,107.87,342300
2017-09-05,128.22,129.07,126.91,127.64,107.4,341000
2017-09-06,128.02,130.1,127.66,129.32,108.81,395300
2017-09-07,129.93,131.5,129.11,130.45,109.76,678900
2017-09-08,130.2,130.82,129.2,129.38,108.86,403200
2017-09-11,129.65,130.34,129.44,130.25,109.59,379500
2017-09-12,130.23,131.2,128.09,128.69,108.28,301800
2017-09-13,128.87,128.93,127.53,128.27,107.93,365900
2017-09-14,128.27,131.05,128.04,130.97,110.2,331400
2017-09-15,130.38,130.98,129.75,130.0,109.38,659900
2017-09-18,130.0,130.08,127.16,127.51,107.29,338200
2017-09-19,127.64,128.09,125.24,125.38,105.5,592800
2017-09-20,125.38,125.81,124.23,124.63,104.86,335400
2017-09-21,124.05,124.6,123.53,123.85,105.05,295400
2017-09-22,123.9,124.63,122.94,123.14,104.45,192800
2017-09-25,123.46,125.32,123.46,124.8,105.86,325400
2017-09-26,124.99,126.06,124.4,125.08,106.09,408300
