Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,199.6,200.61,199.08,199.98,178.28,679100
2017-05-25,200.51,201.9,200.19,201.09,179.27,1122100
2017-05-26,201.09,202.58,200.85,202.24,180.3,751100
2017-05-30,202.19,202.65,200.95,202.01,180.09,921100
2017-05-31,202.37,203.28,201.58,203.25,181.2,1488800
2017-06-01,203.16,203.47,201.88,202.52,180.55,1293500
2017-06-02,202.7,205.07,202.58,203.7,181.6,917400
2017-06-05,203.37,203.48,201.34,201.47,179.61,902000
2017-06-06,200.93,201.24,198.3,198.44,176.91,1192700
2017-06-07,198.85,199.02,197.73,198.87,177.29,938600
2017-06-08,198.87,199.83,197.59,199.64,177.98,996500
2017-06-09,199.64,200.74,198.44,199.47,177.83,1056500
2017-06-12,199.47,200.06,197.03,198.4,176.88,1858300
2017-06-13,198.4,200.93,198.12,200.55,178.79,1263500
2017-06-14,200.55,202.45,200.35,201.28,179.44,934600
2017-06-15,199.77,202.27,199.24,202.03,180.11,827500
2017-06-16,202.37,203.3,201.66,202.67,180.68,1391500
2017-06-19,203.41,204.74,203.0,204.52,182.33,1066100
2017-06-20,203.76,205.17,203.76,203.86,181.74,838400
2017-06-21,204.4,204.88,203.5,203.89,181.77,669700
2017-06-22,203.79,203.98,201.19,201.26,179.43,907800
2017-06-23,201.23,202.42,200.81,201.32,179.48,1203300
2017-06-26,201.77,202.33,200.13,200.2,178.48,676900
2017-06-27,200.11,200.36,198.83,198.84,177.27,713800
2017-06-28,199.82,201.42,199.33,200.83,179.04,787100
2017-06-29,200.99,201.07,196.13,196.96,175.59,1423000
2017-06-30,197.75,199.21,196.26,198.1,176.61,944700
2017-07-03,199.42,200.55,198.14,199.66,178.0,750600
2017-07-05,199.03,201.21,198.95,200.74,179.72,1152300
2017-07-06,200.7,201.07,198.79,199.02,178.18,799700
2017-07-07,199.5,202.18,199.12,201.26,180.18,1300600
2017-07-10,201.22,202.24,200.21,201.07,180.01,1028600
2017-07-11,200.8,201.01,198.75,199.91,178.97,1139400
2017-07-12,201.32,202.47,199.87,201.11,180.05,1404100
2017-07-13,201.19,201.47,199.97,200.15,179.19,778900
2017-07-14,200.28,201.68,200.06,201.15,180.08,1032700
2017-07-17,201.08,201.42,199.5,200.14,179.18,1150800
2017-07-18,200.25,201.67,199.28,201.42,180.33,1128900
2017-07-19,202.0,202.46,201.25,202.34,181.15,739800
2017-07-20,202.51,203.19,202.0,202.4,181.2,1064400
2017-07-21,202.11,204.55,201.83,204.55,183.13,992900
2017-07-24,204.55,205.51,204.13,204.93,183.47,1073400
2017-07-25,205.66,205.9,202.91,203.56,182.24,1209100
2017-07-26,199.1,199.37,193.57,194.66,174.27,4079700
2017-07-27,195.73,195.93,192.84,193.84,173.54,2265700
2017-07-28,194.05,198.07,194.04,197.94,177.21,1785800
2017-07-31,198.58,198.59,196.08,196.33,175.77,1470400
2017-08-01,196.96,196.98,193.9,196.53,175.95,1403100
2017-08-02,196.53,198.18,196.08,198.04,177.3,980900
2017-08-03,198.3,199.4,197.33,199.33,178.46,1070700
2017-08-04,199.52,200.07,198.47,200.07,179.12,1247100
2017-08-07,200.34,201.55,199.43,201.14,180.08,1482100
2017-08-08,199.24,200.93,198.22,198.8,177.98,1352600
2017-08-09,199.29,201.92,198.25,201.0,179.95,1353900
2017-08-10,200.67,200.99,198.04,198.28,177.52,1122800
2017-08-11,198.52,199.86,197.8,197.89,177.17,1105900
2017-08-14,199.17,200.5,198.49,200.3,179.32,1192200
