Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,217.85,219.23,212.46,214.08,200.35,6980909
2017-05-25,213.77,214.62,210.92,211.46,197.9,5103072
2017-05-26,211.23,211.92,209.92,211.15,197.61,3981120
2017-05-30,210.08,211.15,208.92,210.46,196.96,4736641
2017-05-31,210.23,211.08,209.15,210.62,197.11,4629365
2017-06-01,211.62,214.46,211.54,213.23,199.56,4210401
2017-06-02,214.38,214.92,212.46,214.46,200.71,4810988
2017-06-05,214.62,215.92,213.92,215.23,201.43,5656235
2017-06-06,215.23,215.69,213.92,214.85,201.07,4383756
2017-06-07,215.0,215.08,210.77,212.92,199.27,5660083
2017-06-08,212.92,214.0,211.77,212.23,198.62,5319574
2017-06-09,212.54,215.15,212.23,214.92,201.14,3297164
2017-06-12,224.92,226.69,221.0,222.62,208.34,18081635
2017-06-13,224.0,224.31,218.0,218.85,204.81,7647081
2017-06-14,219.08,221.54,218.23,220.69,206.54,5345639
2017-06-15,219.08,222.69,218.69,222.62,210.1,6222853
2017-06-16,222.92,223.15,220.15,223.08,210.53,10603528
2017-06-19,222.77,223.08,221.08,221.54,209.08,3965611
2017-06-20,220.85,220.92,216.0,216.38,204.22,6180577
2017-06-21,216.77,216.85,212.69,213.69,201.68,4388553
2017-06-22,213.62,214.08,211.85,211.92,200.01,4729998
2017-06-23,213.77,213.77,211.54,212.08,200.15,4125745
2017-06-26,212.23,212.92,211.54,212.38,200.44,3705208
2017-06-27,211.69,212.23,209.23,209.31,197.54,5372822
2017-06-28,209.69,210.77,208.08,208.31,196.59,4032054
2017-06-29,208.92,210.85,206.08,207.85,196.16,4775173
2017-06-30,208.38,209.15,207.0,207.77,196.09,3413046
2017-07-03,208.92,212.23,208.15,211.15,199.28,2686450
2017-07-05,211.85,212.0,209.46,210.38,198.55,2765126
2017-07-06,206.62,208.08,200.77,202.38,191.0,9963967
2017-07-07,201.92,202.31,199.85,201.15,189.84,5270603
2017-07-10,201.0,201.46,198.85,200.31,189.04,6078176
2017-07-11,200.23,203.46,199.31,202.92,191.51,5362708
2017-07-12,204.15,206.23,202.85,204.46,192.96,6628219
2017-07-13,204.46,206.38,203.85,206.08,194.49,3609788
2017-07-14,205.69,206.92,205.62,206.0,194.42,2737579
2017-07-17,205.85,206.77,205.54,206.31,194.71,3600428
2017-07-18,205.85,207.08,205.69,206.85,195.21,3398993
2017-07-19,206.54,207.92,206.46,207.23,195.58,3223012
2017-07-20,207.85,208.08,204.62,205.31,193.76,7170553
2017-07-21,195.23,200.08,194.31,199.31,188.1,11784487
2017-07-24,198.31,198.85,195.0,195.62,184.61,7393399
2017-07-25,196.69,197.92,195.08,195.69,184.69,6003595
2017-07-26,196.85,197.62,195.15,196.85,185.78,5295342
2017-07-27,196.85,198.46,196.31,198.38,187.23,5185440
2017-07-28,198.92,199.08,195.38,196.38,185.34,3677284
2017-07-31,196.46,197.62,196.08,197.0,185.92,3980119
2017-08-01,197.15,197.38,194.85,195.69,184.69,5448469
2017-08-02,195.69,196.69,195.31,196.31,185.27,3560310
2017-08-03,196.85,198.31,195.15,198.15,187.01,4019171
2017-08-04,198.08,198.85,197.08,198.31,187.16,3030690
2017-08-07,198.0,198.38,196.54,197.15,186.07,2453152
2017-08-08,197.15,199.15,196.31,196.62,185.56,3528668
2017-08-09,196.54,197.85,195.85,197.77,186.65,3857230
2017-08-10,197.77,197.77,194.38,194.62,183.67,3858257
2017-08-11,195.38,195.77,193.77,193.85,182.94,2498249
2017-08-14,194.46,196.54,194.23,195.08,184.11,3157973
2017-08-15,193.92,194.77,193.08,193.38,182.51,3553537
2017-08-16,193.23,194.23,192.69,193.08,182.22,3571594
2017-08-17,192.85,193.08,190.15,190.38,179.68,4058821
2017-08-18,189.46,190.31,188.0,188.85,178.23,4455503
2017-08-21,188.38,189.23,187.08,188.38,177.79,5987150
2017-08-22,189.0,190.31,188.31,189.23,178.59,3895983
2017-08-23,188.62,188.92,187.23,187.62,177.06,4489368
2017-08-24,187.92,188.77,186.92,186.92,176.41,3321227
2017-08-25,187.62,189.23,187.31,188.38,177.79,2972814
2017-08-28,188.69,189.77,187.31,188.23,177.65,3111888
2017-08-29,187.15,188.15,186.77,188.0,177.43,3108313
2017-08-30,188.38,188.38,185.77,186.77,176.27,4403880
2017-08-31,187.77,190.0,186.77,188.85,178.23,7186959
2017-09-01,189.23,194.62,188.38,193.38,182.51,7650253
2017-09-05,192.77,192.77,189.0,190.38,179.68,5789992
2017-09-06,191.46,192.46,190.92,191.69,180.91,7153250
2017-09-07,188.54,188.85,183.31,184.77,174.38,10414118
2017-09-08,184.23,184.62,181.38,183.23,172.93,5798585
2017-09-11,183.08,183.77,181.69,182.46,172.2,5629858
2017-09-12,183.23,183.92,182.38,183.92,173.58,6456138
2017-09-13,184.08,186.0,184.0,185.46,175.03,5021861
2017-09-14,185.38,186.69,184.15,186.62,176.12,5470985
2017-09-15,185.38,185.92,182.69,184.08,175.46,8652800
2017-09-18,184.31,188.85,184.08,188.15,179.35,6825585
2017-09-19,188.15,188.23,184.77,186.15,177.44,5894265
2017-09-20,186.15,187.77,186.08,187.08,178.32,5170139
2017-09-21,187.15,191.08,185.92,190.38,181.47,6775015
2017-09-22,191.08,192.62,190.54,191.31,182.35,5163275
2017-09-25,191.69,193.69,191.15,193.15,184.11,5523440
2017-09-26,193.46,193.92,191.69,191.77,182.79,5297916
2017-09-27,192.31,192.69,186.77,187.46,178.69,7343570
