Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,56.68,56.95,56.56,56.91,47.44,2388300
2017-05-25,56.89,57.02,56.69,56.83,47.37,2115500
2017-05-26,56.97,57.32,56.77,57.32,47.78,2920400
2017-05-30,57.07,57.11,56.26,56.57,47.16,5513700
2017-05-31,56.5,57.03,56.43,56.74,47.3,6567500
2017-06-01,56.89,57.55,56.62,57.55,47.97,3283900
2017-06-02,57.69,57.72,57.24,57.55,47.97,3544900
2017-06-05,57.47,57.59,57.09,57.44,47.88,2734200
2017-06-06,57.43,57.72,57.2,57.53,47.96,3384200
2017-06-07,57.6,57.83,57.35,57.7,48.1,3034700
2017-06-08,57.7,57.83,57.17,57.2,47.68,3650800
2017-06-09,57.07,57.46,56.86,57.09,47.59,2866000
2017-06-12,57.09,57.6,56.96,57.24,47.72,3851800
2017-06-13,57.23,58.28,56.71,58.17,48.49,4012700
2017-06-14,58.36,59.58,58.3,58.75,48.97,6702700
2017-06-15,58.74,58.94,58.36,58.83,49.04,4683600
2017-06-16,58.61,58.79,56.68,57.1,47.6,7376700
2017-06-19,57.31,57.32,56.7,57.12,47.62,3401000
2017-06-20,57.18,57.27,56.73,56.74,47.3,2313700
2017-06-21,56.83,56.95,56.09,56.21,46.86,2691100
2017-06-22,56.16,56.44,55.9,56.0,46.68,3037500
2017-06-23,55.94,56.19,55.76,55.94,46.63,5621900
2017-06-26,56.01,56.46,55.88,56.17,46.82,3095100
2017-06-27,56.02,56.35,55.51,55.52,46.28,4248800
2017-06-28,56.87,57.79,56.32,56.42,47.03,6688600
2017-06-29,56.4,56.45,54.89,54.97,45.82,6560700
2017-06-30,55.11,55.77,55.03,55.4,46.18,4250800
2017-07-03,55.29,55.5,55.1,55.18,46.0,2083100
2017-07-05,55.23,55.57,54.81,54.81,45.69,4845500
2017-07-06,54.21,54.45,53.76,53.82,45.27,5105600
2017-07-07,53.87,53.96,53.55,53.63,45.11,3825200
2017-07-10,53.73,53.78,53.31,53.4,44.92,3209300
2017-07-11,53.29,54.01,53.24,53.53,45.03,7055300
