Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,75.12,75.19,74.36,74.76,71.76,345200
2017-05-25,75.1,75.83,74.87,75.65,72.62,365600
2017-05-26,75.44,75.6,75.18,75.23,72.21,230600
2017-05-30,74.98,75.43,74.79,75.27,72.25,247700
2017-05-31,75.37,75.54,74.6,75.5,72.47,1007000
2017-06-01,75.73,76.62,75.26,76.59,73.52,443900
2017-06-02,76.39,76.88,76.06,76.47,73.4,374300
2017-06-05,76.37,76.84,75.83,75.86,72.82,361700
2017-06-06,75.44,75.56,74.71,74.8,71.8,562800
2017-06-07,74.85,75.16,74.54,74.71,71.71,467700
2017-06-08,74.71,75.79,74.61,75.29,72.27,620500
2017-06-09,75.58,76.84,75.21,76.76,73.68,462300
2017-06-12,76.73,77.12,76.57,76.63,73.56,374700
2017-06-13,76.7,77.09,76.52,76.96,73.87,276000
2017-06-14,76.54,76.96,75.99,76.94,73.85,277300
2017-06-15,76.66,77.09,76.18,76.99,73.9,353100
2017-06-16,77.11,77.29,76.23,77.24,74.14,904700
2017-06-19,77.64,77.8,77.22,77.77,74.65,473400
2017-06-20,77.48,77.74,77.15,77.21,74.11,528700
2017-06-21,77.21,77.28,76.07,76.14,73.09,408100
2017-06-22,75.9,76.08,75.26,75.64,72.61,438200
2017-06-23,75.83,75.93,75.32,75.68,72.64,827500
2017-06-26,75.87,76.34,75.32,75.96,72.91,602700
2017-06-27,76.17,76.37,75.67,75.67,72.64,479000
2017-06-28,76.08,76.96,76.04,76.81,73.73,852000
2017-06-29,77.91,77.91,75.83,76.32,73.26,518500
2017-06-30,76.57,76.88,76.03,76.5,73.58,666600
2017-07-03,77.06,78.24,76.85,77.25,74.3,284500
2017-07-05,77.49,77.49,76.67,76.8,73.87,456800
2017-07-06,76.75,77.34,76.43,76.73,73.8,621900
2017-07-07,77.04,77.86,76.88,77.64,74.67,346400
2017-07-10,77.43,78.06,77.33,77.86,74.88,414900
2017-07-11,77.86,77.98,77.32,77.45,74.49,291500
2017-07-12,77.44,77.89,77.27,77.8,74.83,241000
2017-07-13,77.77,78.4,77.67,78.23,75.24,254600
2017-07-14,77.59,78.53,77.36,78.15,75.16,238700
2017-07-17,78.14,78.45,77.67,78.37,75.38,291700
2017-07-18,77.96,78.4,77.96,78.09,75.11,551400
2017-07-19,78.19,78.4,77.98,78.21,75.22,329600
2017-07-20,78.33,78.74,78.17,78.24,75.25,213600
2017-07-21,78.18,78.55,78.06,78.32,75.33,333500
2017-07-24,78.33,78.63,78.25,78.49,75.49,216800
2017-07-25,79.32,79.36,78.72,78.79,75.78,405300
2017-07-26,78.83,78.83,77.91,77.96,74.98,248500
2017-07-27,79.37,79.37,77.94,78.8,75.79,540500
2017-07-28,78.92,79.2,78.2,78.89,75.88,498900
2017-07-31,79.17,79.32,78.8,78.97,75.95,373200
2017-08-01,79.3,79.3,78.27,79.12,76.1,527100
2017-08-02,78.98,79.35,78.68,78.93,75.91,440400
2017-08-03,78.85,79.06,78.68,78.84,75.83,336300
2017-08-04,79.09,79.32,78.98,79.07,76.05,213500
2017-08-07,79.04,79.11,78.84,78.98,75.96,288100
2017-08-08,78.95,79.9,78.95,79.27,76.24,394300
2017-08-09,78.89,79.26,78.39,79.23,76.2,541200
2017-08-10,78.65,79.04,78.4,78.45,75.45,613800
2017-08-11,78.54,78.71,78.14,78.16,75.17,358700
2017-08-14,78.75,79.03,78.66,78.77,75.76,286700
2017-08-15,79.07,79.47,78.82,78.86,75.85,379000
2017-08-16,79.21,79.49,78.69,78.75,75.74,351300
2017-08-17,78.62,78.71,76.8,76.85,73.91,521000
2017-08-18,76.73,77.08,76.33,76.61,73.68,491000
2017-08-21,76.6,76.78,76.25,76.52,73.6,410200
2017-08-22,76.75,77.48,76.7,77.43,74.47,351400
2017-08-23,76.92,77.67,76.92,77.3,74.35,304500
2017-08-24,77.49,77.62,77.07,77.1,74.15,255100
