Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,29.31,29.35,29.05,29.17,25.67,4273600
2017-05-25,29.25,29.66,29.16,29.57,26.02,7902800
2017-05-26,29.38,29.51,29.28,29.3,25.92,3387400
2017-05-30,29.24,29.45,29.22,29.32,25.93,5911100
2017-05-31,29.34,29.45,29.06,29.1,25.74,6045500
2017-06-01,29.24,29.67,29.23,29.67,26.24,6385300
2017-06-02,29.71,29.9,29.58,29.69,26.26,5419100
2017-06-05,29.8,29.87,29.52,29.54,26.13,5262400
2017-06-06,29.42,29.76,29.39,29.57,26.16,5465800
2017-06-07,29.64,29.68,29.25,29.49,26.09,6028700
2017-06-08,29.49,29.55,29.2,29.3,25.92,8361000
2017-06-09,29.3,29.57,28.65,28.95,25.61,8758400
2017-06-12,28.92,29.08,28.37,29.06,25.7,6903800
2017-06-13,29.41,29.51,29.13,29.4,26.01,4799500
2017-06-14,29.41,29.5,29.1,29.25,25.87,4120000
2017-06-15,28.93,29.44,28.93,29.39,26.0,6634900
2017-06-16,29.42,29.49,29.05,29.41,26.01,6631900
2017-06-19,29.59,29.9,29.54,29.88,26.43,6620200
2017-06-20,29.8,29.97,29.66,29.67,26.24,3877400
2017-06-21,29.82,29.85,29.61,29.76,26.32,4996900
2017-06-22,29.76,29.8,29.56,29.71,26.28,4039700
2017-06-23,29.74,30.0,29.7,29.99,26.53,7550300
2017-06-26,29.99,30.41,29.98,30.23,26.74,5814500
2017-06-27,30.18,30.34,29.99,29.99,26.53,6225400
2017-06-28,30.27,30.6,30.03,30.5,26.98,5936900
2017-06-29,30.55,30.58,29.95,30.37,26.86,8850400
2017-06-30,30.42,30.42,29.96,30.05,26.58,8881400
2017-07-03,30.25,30.31,30.07,30.13,26.65,3348200
2017-07-05,30.25,30.62,30.11,30.49,26.97,5984100
2017-07-06,30.31,30.43,29.76,29.81,26.37,6236500
2017-07-07,29.88,30.38,29.85,30.28,26.78,4356800
2017-07-10,30.17,30.6,30.12,30.54,27.01,3462500
2017-07-11,30.56,30.68,30.24,30.33,26.83,4863500
2017-07-12,30.52,30.95,30.52,30.85,27.29,5353100
2017-07-13,30.82,30.97,30.69,30.82,27.26,4187100
2017-07-14,30.82,31.18,30.82,31.07,27.48,3921100
2017-07-17,31.19,31.42,31.12,31.32,27.7,4361600
2017-07-18,31.3,31.41,31.13,31.41,27.78,3866900
2017-07-19,31.42,31.75,31.42,31.73,28.07,5471000
2017-07-20,31.42,31.77,30.98,31.71,28.05,11737300
2017-07-21,31.66,32.06,31.63,31.85,28.17,12130200
2017-07-24,31.85,32.07,31.65,31.85,28.17,8119700
2017-07-25,31.9,32.17,31.7,32.13,28.42,9552300
2017-07-26,31.54,31.74,30.01,30.42,26.91,16073300
2017-07-27,30.42,30.57,29.17,29.49,26.09,15722400
2017-07-28,29.48,29.52,29.15,29.25,25.87,9132100
2017-07-31,29.43,29.58,29.02,29.14,25.78,9434700
2017-08-01,29.26,29.63,29.15,29.52,26.11,8018200
2017-08-02,29.67,30.12,29.55,29.77,26.33,9899800
2017-08-03,29.74,29.8,29.11,29.28,25.9,10426900
2017-08-04,29.37,29.5,29.2,29.25,25.87,4880000
2017-08-07,29.3,29.34,29.13,29.24,25.86,4967600
2017-08-08,29.16,29.63,29.12,29.3,25.92,5799700
2017-08-09,29.17,29.45,29.14,29.36,25.97,4786500
2017-08-10,29.19,29.36,28.56,28.57,25.27,6846800
2017-08-11,28.67,29.12,28.67,28.98,25.63,3743600
2017-08-14,29.3,29.51,29.22,29.41,26.01,3735100
2017-08-15,28.52,28.89,28.27,28.49,25.2,12248700
2017-08-16,28.6,28.76,28.32,28.45,25.17,7186000
2017-08-17,28.29,28.51,27.85,27.87,24.65,7107000
2017-08-18,27.82,28.14,27.71,27.88,24.66,5178000
2017-08-21,27.9,28.25,27.79,28.19,24.94,5138400
2017-08-22,28.27,28.6,28.27,28.5,25.21,5140600
2017-08-23,28.24,28.59,28.2,28.48,25.19,4000800
2017-08-24,28.53,28.65,28.43,28.56,25.26,6384500
2017-08-25,28.61,28.85,28.59,28.66,25.35,3299900
2017-08-28,28.74,28.91,28.67,28.76,25.44,4009200
2017-08-29,28.37,28.65,28.26,28.57,25.41,4724100
2017-08-30,28.55,28.7,28.42,28.64,25.47,4876700
2017-08-31,28.78,28.9,28.73,28.76,25.58,4451400
2017-09-01,28.82,29.1,28.81,28.91,25.71,6641300
2017-09-05,28.85,28.9,28.28,28.62,25.45,5801700
2017-09-06,28.72,28.81,28.55,28.58,25.42,4860200
2017-09-07,28.64,28.82,28.6,28.73,25.55,5742000
2017-09-08,28.57,28.72,28.35,28.54,25.38,4572000
2017-09-11,28.82,29.02,28.74,28.92,25.72,4120900
2017-09-12,28.97,29.18,28.96,29.15,25.92,3645200
2017-09-13,29.16,29.31,28.99,29.2,25.97,3881800
2017-09-14,29.1,29.34,29.1,29.25,26.01,3852700
2017-09-15,29.18,29.43,29.14,29.35,26.1,7749100
2017-09-18,29.46,29.69,29.41,29.54,26.27,3316900
2017-09-19,29.54,30.12,29.53,29.91,26.6,4612900
2017-09-20,29.99,30.15,29.81,30.03,26.71,4264000
2017-09-21,30.03,30.14,29.97,30.1,26.77,4503000
2017-09-22,30.04,30.25,29.91,30.05,26.72,4278900
2017-09-25,30.07,30.37,29.82,30.01,26.69,7358100
2017-09-26,30.16,30.16,29.75,29.81,26.51,5232700
2017-09-27,29.91,30.19,29.8,30.04,26.72,3584900
2017-09-28,29.97,30.05,29.8,29.95,26.64,4452200
2017-09-29,29.91,30.01,29.73,29.92,26.61,4064500
2017-10-02,29.94,30.18,29.89,30.16,26.82,4085500
2017-10-03,30.21,30.34,30.06,30.31,26.96,2915400
2017-10-04,30.27,30.53,30.23,30.47,27.1,3679000
2017-10-05,30.54,30.6,30.4,30.45,27.08,4882700
2017-10-06,30.37,30.39,30.01,30.09,26.76,4632900
2017-10-09,30.11,30.2,30.02,30.12,26.79,3133700
2017-10-10,30.11,30.14,29.65,30.03,26.71,5118600
2017-10-11,30.03,30.09,29.8,29.89,26.58,3829900
2017-10-12,29.64,30.01,29.52,29.94,26.63,6266900
2017-10-13,29.96,29.99,29.57,29.74,26.45,5989500
2017-10-16,29.87,30.07,29.79,29.89,26.58,3405300
2017-10-17,29.78,29.8,29.65,29.67,26.39,3728900
2017-10-18,29.74,29.97,29.66,29.92,26.61,4052300
2017-10-19,29.8,30.07,29.71,30.06,26.73,3484200
2017-10-20,30.17,30.38,30.0,30.06,26.73,6756600
2017-10-23,30.15,30.42,29.96,30.01,26.69,12616200
2017-10-24,30.6,32.31,30.3,31.94,28.41,24151100
2017-10-25,31.65,31.83,31.08,31.54,28.05,10872200
2017-10-26,31.54,31.94,31.53,31.7,28.19,5888900
2017-10-27,31.75,31.96,31.5,31.51,28.02,5726600
2017-10-30,31.5,31.6,31.19,31.26,27.8,4668400
2017-10-31,31.5,31.55,31.25,31.31,27.85,5235100
2017-11-01,31.55,31.75,31.37,31.63,28.13,5163000
2017-11-02,31.63,31.68,31.39,31.58,28.09,3699200
2017-11-03,31.62,31.89,31.61,31.67,28.17,3251900
2017-11-06,31.59,31.88,31.58,31.84,28.32,4119900
2017-11-07,31.81,32.25,31.78,32.25,28.68,6206900
2017-11-08,32.19,32.33,32.0,32.22,28.65,4536900
2017-11-09,32.0,32.0,31.54,31.79,28.27,5902200
2017-11-10,31.59,31.87,31.57,31.73,28.22,3346100
2017-11-13,31.59,31.77,31.55,31.66,28.16,3219000
2017-11-14,31.58,31.79,31.4,31.7,28.19,3067900
2017-11-15,31.34,31.48,31.08,31.32,27.99,3601200
2017-11-16,31.42,31.8,31.4,31.65,28.29,4753400
2017-11-17,31.54,31.8,31.49,31.63,28.27,3418600
2017-11-20,31.65,31.83,31.61,31.73,28.36,2720800
2017-11-21,31.86,31.96,31.75,31.93,28.54,5739200
2017-11-22,31.95,32.09,31.77,31.8,28.42,3092300
2017-11-24,31.93,31.97,31.67,31.85,28.46,1968900
2017-11-27,31.78,32.08,31.7,32.05,28.64,6402400
2017-11-28,32.1,32.64,32.05,32.44,28.99,6798200
2017-11-29,32.53,32.72,32.22,32.48,29.03,6212100
2017-11-30,32.58,32.78,32.36,32.39,28.95,10616700
2017-12-01,32.39,32.53,31.2,31.85,28.46,6243600
2017-12-04,32.08,32.4,32.04,32.21,28.79,6656700
2017-12-05,32.21,32.39,32.08,32.24,28.81,4383400
2017-12-06,32.14,32.25,31.64,31.67,28.3,5297600
2017-12-07,31.66,31.92,31.62,31.73,28.36,4459900
2017-12-08,31.86,32.37,31.79,32.35,28.91,4271400
2017-12-11,32.4,32.75,32.4,32.57,29.11,4752700
2017-12-12,32.48,32.82,32.36,32.64,29.17,4908400
2017-12-13,32.61,32.64,32.28,32.29,28.86,5255000
2017-12-14,32.25,32.37,31.8,31.81,28.43,6568700
2017-12-15,31.99,32.1,31.82,32.05,28.64,13376300
2017-12-18,32.27,32.45,32.2,32.32,28.88,5104400
2017-12-19,32.38,32.5,32.24,32.26,28.83,3612700
2017-12-20,32.39,32.47,32.23,32.42,28.97,2781200
2017-12-21,32.62,32.67,32.29,32.3,28.87,2921400
