Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,35.27,35.41,34.66,34.93,34.93,484500
2017-05-25,34.96,35.07,34.68,34.75,34.75,388600
2017-05-26,34.76,34.96,34.56,34.83,34.83,281000
2017-05-30,34.76,35.06,34.51,34.52,34.52,358700
2017-05-31,34.45,34.72,33.77,34.65,34.65,336300
2017-06-01,34.89,36.12,34.64,35.92,35.92,326500
2017-06-02,35.93,36.6,35.74,35.95,35.95,308600
2017-06-05,35.91,35.91,35.44,35.63,35.63,215500
2017-06-06,35.27,35.6,35.06,35.4,35.4,213000
2017-06-07,35.4,35.62,35.13,35.33,35.33,336100
2017-06-08,35.38,35.56,35.07,35.35,35.35,571700
2017-06-09,35.42,36.37,35.32,36.28,36.28,403300
2017-06-12,36.36,36.6,35.93,36.03,36.03,323800
2017-06-13,36.05,36.21,35.53,36.06,36.06,260600
2017-06-14,36.08,36.28,35.69,35.99,35.99,385400
2017-06-15,35.6,36.08,35.52,36.0,36.0,183700
2017-06-16,35.8,35.85,35.22,35.6,35.6,424900
2017-06-19,35.77,36.24,35.76,36.09,36.09,337100
2017-06-20,35.9,35.9,35.39,35.65,35.65,222900
2017-06-21,35.77,35.77,35.27,35.37,35.37,261000
2017-06-22,35.31,35.69,35.28,35.53,35.53,181100
2017-06-23,35.53,35.94,35.41,35.9,35.9,325400
2017-06-26,36.0,36.05,35.23,35.59,35.59,286200
2017-06-27,35.6,35.66,35.18,35.43,35.43,293000
2017-06-28,35.66,35.97,35.59,35.75,35.75,298700
2017-06-29,35.93,36.38,35.81,36.15,36.15,569600
2017-06-30,36.31,36.59,36.01,36.13,36.13,318200
2017-07-03,36.27,36.74,36.18,36.59,36.59,197100
2017-07-05,36.43,36.76,36.26,36.75,36.75,291100
2017-07-06,36.56,36.58,35.91,36.03,36.03,298100
2017-07-07,36.07,36.28,35.81,36.14,36.14,209700
2017-07-10,35.89,36.33,35.89,36.15,36.15,416500
2017-07-11,36.04,36.23,35.66,35.91,35.91,188200
2017-07-12,36.18,36.35,35.86,35.95,35.95,268900
2017-07-13,35.97,36.32,35.61,35.92,35.92,241900
2017-07-14,35.91,36.32,35.89,36.03,36.03,135700
2017-07-17,36.02,36.4,35.93,36.2,36.2,181400
2017-07-18,36.11,36.21,35.69,36.2,36.2,214000
2017-07-19,36.2,36.73,36.13,36.65,36.65,212300
2017-07-20,36.65,36.86,36.51,36.81,36.81,245200
2017-07-21,37.07,37.07,36.37,36.37,36.37,315700
2017-07-24,36.28,36.54,36.03,36.49,36.49,275800
2017-07-25,36.81,36.97,36.32,36.54,36.54,209600
2017-07-26,36.56,36.57,35.87,36.17,36.17,252000
2017-07-27,36.34,36.38,35.96,36.19,36.19,133800
2017-07-28,36.04,36.35,35.78,36.06,36.06,164700
2017-07-31,36.19,36.23,35.51,35.97,35.97,258600
2017-08-01,36.0,37.02,35.54,36.85,36.85,663500
2017-08-02,37.75,38.09,36.53,37.35,37.35,613400
2017-08-03,37.38,37.94,37.23,37.76,37.76,540000
2017-08-04,37.79,38.4,37.79,38.22,38.22,282100
2017-08-07,38.22,39.11,38.13,38.35,38.35,516100
2017-08-08,38.24,39.28,38.17,38.64,38.64,517600
