Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,51.75,52.28,51.44,51.49,44.89,619600
2017-05-25,51.72,52.14,51.54,52.08,45.4,481300
2017-05-26,52.42,52.7,52.2,52.4,45.68,742000
2017-05-30,52.31,52.57,51.97,52.11,45.43,673000
2017-05-31,52.21,52.63,51.54,52.04,45.37,1313800
2017-06-01,52.27,52.83,52.08,52.74,45.98,668400
2017-06-02,52.82,53.3,52.49,52.95,46.16,607900
2017-06-05,52.92,54.03,52.89,53.58,46.71,1268600
2017-06-06,53.61,53.87,52.81,52.84,46.07,999800
2017-06-07,52.91,52.91,51.8,51.89,45.24,787700
2017-06-08,52.0,52.0,51.5,51.89,45.24,756300
2017-06-09,51.95,52.01,51.57,51.89,45.24,989600
2017-06-12,51.99,52.04,51.52,51.91,45.26,756600
2017-06-13,51.94,52.19,51.5,51.61,44.99,525900
2017-06-14,51.81,51.85,51.33,51.72,45.09,1835500
2017-06-15,50.76,51.84,50.76,51.7,45.52,901700
2017-06-16,51.32,51.87,51.22,51.34,45.2,950300
2017-06-19,51.49,51.88,51.39,51.79,45.6,751100
2017-06-20,51.61,51.9,50.97,51.36,45.22,816500
2017-06-21,51.52,51.62,51.0,51.17,45.05,521500
2017-06-22,51.3,51.66,51.0,51.39,45.25,571300
2017-06-23,51.69,51.77,51.22,51.28,45.15,1158400
2017-06-26,51.39,51.71,51.17,51.3,45.17,845800
2017-06-27,51.37,51.41,50.51,50.57,44.53,735000
2017-06-28,50.78,51.28,50.77,50.95,44.86,906700
2017-06-29,51.02,51.47,50.49,50.94,44.85,949900
2017-06-30,50.81,51.25,50.67,51.03,44.93,852600
2017-07-03,51.25,51.87,51.16,51.82,45.63,721200
2017-07-05,51.79,52.21,51.59,52.07,45.85,1345200
2017-07-06,51.85,51.98,50.95,50.98,44.89,1132600
2017-07-07,51.24,51.38,50.98,51.17,45.05,931200
2017-07-10,50.98,51.39,50.24,50.26,44.25,3086400
2017-07-11,50.4,50.59,49.99,50.3,44.29,1222800
2017-07-12,50.51,50.81,49.81,50.3,44.29,2248900
2017-07-13,50.25,50.57,49.9,50.24,44.24,1330300
2017-07-14,50.47,50.49,50.11,50.3,44.29,867700
2017-07-17,50.55,50.86,50.39,50.6,44.55,806400
2017-07-18,50.41,50.66,50.0,50.21,44.21,1288500
2017-07-19,51.05,51.69,50.74,51.66,45.49,2027100
2017-07-20,51.79,51.79,51.14,51.33,45.2,955000
2017-07-21,51.27,51.74,51.26,51.59,45.42,713600
2017-07-24,51.44,51.94,51.27,51.68,45.5,774100
2017-07-25,51.65,52.71,51.51,52.56,46.28,1557400
2017-07-26,52.72,52.72,52.06,52.25,46.01,750000
2017-07-27,52.23,52.23,51.37,51.88,45.68,1061300
2017-07-28,51.88,52.04,51.25,51.32,45.19,773300
2017-07-31,51.5,51.54,50.16,50.19,44.19,1401700
2017-08-01,50.49,50.78,49.8,49.99,44.02,1606300
2017-08-02,51.07,52.77,50.95,52.22,45.98,3343100
2017-08-03,52.09,52.42,51.74,51.82,45.63,1426200
2017-08-04,51.91,52.07,51.52,51.88,45.68,1104200
2017-08-07,51.03,52.19,51.03,52.1,45.87,986700
2017-08-08,52.13,52.22,51.62,51.76,45.57,1030700
2017-08-09,51.65,52.35,51.63,52.28,46.03,1453000
2017-08-10,52.02,52.42,51.13,51.29,45.16,1583600
2017-08-11,51.63,51.78,50.91,51.21,45.09,918400
2017-08-14,51.47,52.03,51.26,51.8,45.61,651300
2017-08-15,51.77,51.97,51.38,51.4,45.26,733800
2017-08-16,51.63,52.15,51.38,51.88,45.68,689300
2017-08-17,51.82,52.04,51.18,51.2,45.08,612500
2017-08-18,51.23,51.36,50.89,51.17,45.05,717000
2017-08-21,51.1,51.34,50.86,50.98,44.89,770200
2017-08-22,51.15,51.74,50.96,51.7,45.52,917200
2017-08-23,51.56,52.57,51.48,52.04,45.82,1512300
2017-08-24,52.07,52.73,51.93,52.18,45.94,1297800
2017-08-25,52.41,52.8,52.32,52.53,46.25,627700
2017-08-28,52.58,52.8,51.93,52.05,45.83,654300
2017-08-29,51.74,51.95,51.34,51.49,45.34,870100
2017-08-30,51.39,51.85,51.28,51.73,45.55,743200
2017-08-31,51.83,52.0,51.29,51.5,45.35,957000
2017-09-01,51.71,52.16,51.58,51.82,45.63,796300
2017-09-05,51.69,51.97,50.98,51.46,45.31,937400
2017-09-06,51.6,52.26,51.34,52.11,45.88,1029900
2017-09-07,52.23,52.33,51.76,51.96,45.75,677300
2017-09-08,51.68,52.57,51.66,52.26,46.01,740400
2017-09-11,52.55,52.55,51.99,52.15,45.92,989400
2017-09-12,52.46,52.66,51.66,52.01,45.79,1622200
2017-09-13,51.61,52.67,51.57,52.54,46.72,1184900
2017-09-14,51.92,52.46,51.76,52.31,46.51,927300
2017-09-15,52.26,52.54,52.0,52.48,46.67,1152700
2017-09-18,52.69,52.69,52.26,52.49,46.67,678600
2017-09-19,52.51,52.54,51.84,51.94,46.19,870300
2017-09-20,51.62,52.22,51.62,52.18,46.4,639400
2017-09-21,52.2,52.38,51.8,52.0,46.24,649200
2017-09-22,52.08,52.49,52.05,52.41,46.6,461800
2017-09-25,52.5,53.75,52.43,53.2,47.31,1045700
2017-09-26,53.45,53.85,53.34,53.68,47.73,1058700
2017-09-27,53.8,54.15,53.5,54.03,48.04,735800
2017-09-28,53.95,54.11,53.67,54.04,48.05,476900
2017-09-29,53.95,54.15,53.45,53.97,47.99,780400
2017-10-02,54.06,54.2,53.59,54.16,48.16,717900
2017-10-03,54.33,54.49,54.03,54.42,48.39,722600
2017-10-04,54.43,54.87,54.26,54.77,48.7,782700
2017-10-05,54.86,54.9,54.41,54.79,48.72,874700
2017-10-06,54.77,54.79,53.65,53.83,47.87,1213400
2017-10-09,53.86,54.21,53.66,53.92,47.95,843200
2017-10-10,53.87,54.35,53.87,54.26,48.25,659200
2017-10-11,54.27,54.57,54.09,54.38,48.36,619700
2017-10-12,54.39,54.75,54.26,54.7,48.64,865200
2017-10-13,54.72,55.5,54.65,55.17,49.06,1343000
2017-10-16,55.15,55.42,54.91,55.15,49.04,839500
2017-10-17,55.35,55.63,55.15,55.2,49.08,592500
2017-10-18,55.14,55.33,54.87,55.08,48.98,759000
2017-10-19,54.92,55.59,54.57,55.45,49.31,801900
2017-10-20,55.57,55.87,55.52,55.8,49.62,742900
2017-10-23,55.92,55.98,55.66,55.8,49.62,785400
2017-10-24,55.99,56.43,55.71,56.41,50.16,1007100
2017-10-25,56.34,56.69,56.07,56.55,50.28,1229500
2017-10-26,56.71,56.75,56.14,56.47,50.21,653400
2017-10-27,56.48,56.74,55.22,56.29,50.05,821600
2017-10-30,56.21,56.6,55.91,56.49,50.23,773600
2017-10-31,56.73,57.09,56.21,56.61,50.34,1574000
2017-11-01,57.62,60.44,57.61,59.8,53.17,3488700
2017-11-02,59.7,59.71,58.28,58.86,52.34,2387500
2017-11-03,58.96,59.58,58.62,59.55,52.95,1112200
2017-11-06,59.65,60.05,59.04,59.3,52.73,1071100
2017-11-07,59.08,59.43,58.81,59.21,52.65,832200
2017-11-08,59.29,59.8,58.91,59.65,53.04,828100
2017-11-09,59.2,59.78,59.0,59.72,53.1,1233900
2017-11-10,59.54,61.04,59.47,60.83,54.09,1644900
2017-11-13,60.81,60.81,60.05,60.58,53.87,1404400
2017-11-14,60.52,61.28,60.23,60.75,54.02,1099300
2017-11-15,60.51,60.79,60.11,60.29,53.61,937500
2017-11-16,60.5,60.92,60.22,60.75,54.02,859100
2017-11-17,60.68,61.75,60.61,61.45,54.64,1060000
2017-11-20,61.43,61.8,61.14,61.52,54.7,957400
2017-11-21,61.89,62.61,61.75,62.49,55.57,1125000
2017-11-22,62.37,62.37,61.24,61.53,54.71,1030700
2017-11-24,61.69,62.28,61.21,61.79,54.94,317200
2017-11-27,61.84,62.08,61.67,61.7,54.86,562600
2017-11-28,61.91,62.99,61.91,62.92,55.95,807500
2017-11-29,62.85,63.15,62.3,62.4,55.49,959600
2017-11-30,62.51,62.68,62.02,62.08,55.2,1354100
2017-12-01,62.19,62.33,60.36,61.23,54.45,1120300
2017-12-04,61.54,61.85,60.83,60.85,54.11,1090700
2017-12-05,61.11,62.09,60.78,61.52,54.7,1348600
2017-12-06,61.62,61.88,61.21,61.46,54.65,1011200
2017-12-07,61.36,61.58,61.07,61.27,54.48,902300
2017-12-08,61.32,62.31,61.32,62.27,55.37,968100
2017-12-11,62.06,62.33,61.62,61.96,55.1,1081000
2017-12-12,62.0,62.08,60.93,61.13,54.36,892300
2017-12-13,61.09,61.19,60.76,60.83,54.09,1188800
2017-12-14,60.53,60.71,59.45,59.46,53.32,1261400
2017-12-15,58.64,58.97,57.39,58.36,52.33,5300600
