Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,177.13,179.05,175.77,177.31,161.82,1258300
2017-05-25,177.38,178.4,175.91,176.37,160.96,923300
2017-05-26,175.0,175.49,171.89,173.58,158.41,797100
2017-05-30,173.59,174.32,171.63,171.97,156.94,762200
2017-05-31,171.97,172.38,169.75,172.28,157.23,1520600
2017-06-01,171.91,174.48,170.19,173.43,158.28,710000
2017-06-02,174.06,174.76,171.93,172.72,157.63,659300
2017-06-05,171.86,174.87,171.57,173.96,158.76,1091300
2017-06-06,172.86,172.86,168.58,169.88,155.04,1190600
2017-06-07,169.88,173.35,169.19,169.51,154.7,855200
2017-06-08,169.51,173.24,168.88,170.6,155.69,1107200
2017-06-09,170.61,176.71,170.61,176.33,160.92,1265500
2017-06-12,177.01,182.9,177.01,179.53,163.84,1384700
2017-06-13,179.3,179.61,177.51,178.08,162.52,804900
2017-06-14,178.25,178.99,173.42,177.02,161.55,1358600
2017-06-15,176.3,179.01,176.01,176.76,161.32,736200
2017-06-16,176.86,180.32,175.03,180.32,164.56,1276000
2017-06-19,180.35,181.87,178.71,179.5,163.82,886700
2017-06-20,179.1,179.63,174.5,174.66,159.4,1007200
2017-06-21,174.58,174.58,171.27,173.68,158.51,1063400
2017-06-22,174.17,174.63,171.61,172.78,157.68,839200
2017-06-23,173.02,176.61,172.91,176.38,160.97,824900
2017-06-26,176.63,178.28,175.93,177.82,162.28,591500
2017-06-27,177.92,177.92,173.55,175.08,159.78,663600
2017-06-28,176.09,178.55,175.78,176.96,161.5,577300
2017-06-29,177.62,180.2,177.57,178.96,163.32,830400
2017-06-30,179.35,181.52,178.29,180.53,164.76,680400
2017-07-03,181.73,185.67,180.82,185.15,168.97,782300
2017-07-05,185.13,185.82,181.26,184.18,168.09,1242900
2017-07-06,183.73,184.89,180.61,181.12,165.29,1002000
2017-07-07,181.12,181.12,178.23,179.26,163.6,600900
2017-07-10,179.51,180.4,176.62,178.07,162.51,941400
2017-07-11,177.62,177.62,173.61,176.53,161.11,956000
2017-07-12,177.71,178.44,167.44,168.81,154.06,1919200
2017-07-13,168.77,170.98,168.61,170.0,155.15,1453000
2017-07-14,170.95,172.64,170.05,171.89,156.87,1249600
2017-07-17,171.95,174.1,170.51,172.21,157.16,1090100
2017-07-18,171.73,175.03,171.2,174.48,159.24,1744700
2017-07-19,180.06,180.4,160.29,162.19,148.02,3867100
2017-07-20,163.35,168.67,162.67,165.96,151.46,1888300
2017-07-21,165.04,165.83,163.35,164.94,150.53,1340200
2017-07-24,164.92,168.24,164.77,166.88,152.3,969700
2017-07-25,168.0,171.02,166.79,169.06,154.29,976700
2017-07-26,169.06,169.7,165.92,166.18,151.66,982300
2017-07-27,165.4,167.66,164.55,167.47,152.84,895700
2017-07-28,167.0,167.8,164.14,165.23,150.79,718600
2017-07-31,165.79,166.95,164.86,166.74,152.17,1472700
2017-08-01,167.47,169.72,166.36,169.72,154.89,1066300
2017-08-02,168.84,170.67,167.96,170.02,155.16,970700
2017-08-03,169.95,170.97,168.78,169.47,154.66,630100
2017-08-04,169.18,172.49,168.95,170.35,155.47,693000
2017-08-07,170.45,170.58,167.22,167.39,152.76,648600
2017-08-08,168.35,168.68,164.17,164.59,150.21,686100
2017-08-09,165.08,166.31,163.34,166.1,151.59,613000
2017-08-10,164.39,165.22,163.0,163.52,150.39,673000
2017-08-11,164.11,165.18,163.37,163.82,150.67,485500
2017-08-14,165.08,167.34,164.64,166.99,153.58,734300
2017-08-15,166.69,167.09,165.06,165.08,151.83,770800
2017-08-16,165.05,165.96,164.14,165.08,151.83,648400
2017-08-17,164.8,166.76,164.38,164.6,151.38,858600
2017-08-18,164.04,164.71,161.25,161.39,148.43,1000300
2017-08-21,161.0,161.37,158.35,158.41,145.69,864900
2017-08-22,158.97,165.14,158.85,164.42,151.22,1093500
2017-08-23,163.38,164.17,161.38,161.54,148.57,607500
2017-08-24,161.88,162.64,158.12,158.33,145.62,714400
2017-08-25,159.24,160.3,158.19,159.79,146.96,657700
2017-08-28,159.6,160.19,155.0,156.25,143.71,936300
2017-08-29,157.2,159.16,155.1,157.16,144.54,889500
2017-08-30,157.1,160.15,155.6,159.64,146.82,719400
2017-08-31,160.88,163.25,159.51,162.57,149.52,800200
2017-09-01,162.56,165.76,162.26,163.79,150.64,664500
2017-09-05,163.81,165.1,161.28,161.36,148.41,702600
