Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,101.73,104.11,101.54,103.96,90.32,1171400
2017-05-25,104.38,104.82,103.98,104.17,90.5,954100
2017-05-26,104.39,104.79,103.72,104.21,90.54,637300
2017-05-30,104.13,104.64,103.71,104.24,90.56,503600
2017-05-31,104.45,105.39,104.01,105.26,91.45,664900
2017-06-01,105.32,106.43,104.91,105.97,92.07,746100
2017-06-02,106.12,108.04,105.6,107.16,93.1,1057900
2017-06-05,107.04,107.88,106.6,107.8,93.66,1048000
2017-06-06,107.59,108.85,106.76,108.0,93.83,674100
2017-06-07,108.18,108.55,107.79,108.4,94.18,633700
2017-06-08,108.11,108.7,107.69,108.51,94.27,524900
2017-06-09,109.41,109.79,107.67,107.9,93.74,722900
2017-06-12,107.47,108.77,107.12,108.44,94.21,708700
2017-06-13,108.53,110.61,107.89,110.1,95.65,930800
2017-06-14,110.3,110.48,108.92,109.31,94.97,868500
2017-06-15,108.81,111.01,108.36,108.99,94.69,1712000
2017-06-16,108.21,110.35,108.21,109.64,95.25,1322200
2017-06-19,111.35,111.77,110.26,111.3,96.7,690700
2017-06-20,111.14,111.83,110.7,111.38,96.77,706200
2017-06-21,111.58,111.93,110.55,111.22,96.63,542700
2017-06-22,111.86,111.86,110.23,110.47,95.98,486700
2017-06-23,113.49,113.49,110.33,111.91,97.23,1470200
2017-06-26,112.16,112.24,110.94,111.84,97.17,813400
2017-06-27,111.54,112.09,110.29,110.42,95.93,936800
2017-06-28,110.73,111.96,110.22,110.82,96.28,612900
2017-06-29,110.69,110.89,108.94,110.06,95.62,846200
2017-06-30,110.98,112.08,110.47,111.51,96.88,768200
2017-07-03,112.09,112.34,110.22,110.74,96.21,381900
2017-07-05,110.42,113.0,110.24,112.0,97.3,741000
2017-07-06,111.26,112.34,110.34,111.12,96.54,643700
2017-07-07,111.55,112.19,111.15,111.93,97.24,463500
2017-07-10,112.03,112.75,111.07,112.13,97.42,427800
2017-07-11,112.45,112.5,111.17,112.3,97.57,528800
2017-07-12,113.21,113.27,112.19,112.97,98.15,414500
2017-07-13,112.77,113.41,111.72,111.74,97.08,695500
2017-07-14,112.24,113.41,112.02,113.14,98.29,453500
2017-07-17,113.31,113.39,112.61,112.84,98.03,466400
2017-07-18,112.86,113.68,112.29,113.4,98.52,466900
2017-07-19,113.63,114.53,112.95,114.04,99.08,584200
2017-07-20,114.26,115.0,112.34,114.9,99.82,640400
2017-07-21,114.81,116.2,114.72,115.95,100.74,1321100
2017-07-24,111.16,111.59,103.68,105.0,91.22,5715800
2017-07-25,107.39,107.62,104.32,106.32,92.37,3151500
2017-07-26,105.79,106.7,105.11,106.1,92.18,1141500
2017-07-27,106.29,106.65,105.0,106.64,92.65,968200
2017-07-28,106.08,106.25,105.16,105.74,92.36,1305400
2017-07-31,105.7,106.0,105.2,105.88,92.48,1341400
2017-08-01,106.08,106.8,105.53,105.95,92.54,1214400
2017-08-02,105.5,106.54,103.26,104.77,91.51,1540300
2017-08-03,105.13,105.72,103.41,103.94,90.79,1009200
2017-08-04,104.3,104.32,102.84,103.49,90.39,1000400
2017-08-07,103.65,103.86,102.92,103.02,89.98,824800
2017-08-08,102.99,103.36,101.25,101.43,88.59,1182000
2017-08-09,101.0,101.05,99.75,100.0,87.35,1575200
2017-08-10,99.56,99.97,97.68,97.82,85.44,1223900
2017-08-11,97.99,98.36,97.07,97.55,85.21,1515500
2017-08-14,98.48,99.0,98.0,98.24,85.81,943100
2017-08-15,98.29,98.66,97.75,98.33,85.89,907300
