Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,12.92,12.92,12.74,12.82,10.44,4360100
2017-05-25,12.83,12.95,12.75,12.87,10.49,4816600
2017-05-26,12.87,12.96,12.8,12.86,10.48,7298100
2017-05-30,12.86,12.86,12.65,12.74,10.38,8308600
2017-05-31,12.74,12.81,12.36,12.54,10.22,15343500
2017-06-01,12.6,12.73,12.39,12.72,10.36,8907100
2017-06-02,12.56,12.68,12.48,12.58,10.25,5932300
2017-06-05,12.57,12.73,12.56,12.57,10.24,5619100
2017-06-06,12.47,12.52,12.32,12.45,10.14,9073800
2017-06-07,12.51,12.7,12.46,12.69,10.34,10827600
2017-06-08,12.66,13.08,12.6,12.92,10.53,8710100
2017-06-09,13.01,13.35,12.96,13.29,10.83,9971100
2017-06-12,13.28,13.47,13.2,13.37,10.89,9137200
2017-06-13,13.45,13.5,13.27,13.35,10.88,9280700
2017-06-14,13.22,13.44,13.08,13.41,10.92,8674400
2017-06-15,13.22,13.45,13.2,13.29,10.89,5900300
2017-06-16,13.07,13.31,13.07,13.22,10.83,8585200
2017-06-19,13.29,13.39,13.24,13.32,10.92,4827000
2017-06-20,13.29,13.33,13.22,13.23,10.84,5549100
2017-06-21,13.27,13.27,13.05,13.06,10.7,7800600
2017-06-22,13.03,13.07,12.79,12.94,10.61,7962600
2017-06-23,12.99,13.06,12.68,12.71,10.42,15526100
2017-06-26,12.72,12.98,12.71,12.79,10.48,10510400
2017-06-27,12.9,13.05,12.82,12.91,10.58,10695300
2017-06-28,13.02,13.22,13.0,13.14,10.77,8821000
2017-06-29,13.59,13.79,13.23,13.38,10.97,15035800
2017-06-30,13.47,13.62,13.32,13.52,11.08,17302100
2017-07-03,13.64,13.81,13.57,13.75,11.27,4809900
2017-07-05,13.77,13.92,13.69,13.8,11.31,11309100
2017-07-06,13.8,13.9,13.64,13.66,11.2,10690900
2017-07-07,13.7,13.77,13.59,13.69,11.22,10691100
2017-07-10,13.62,13.76,13.58,13.69,11.22,8233600
2017-07-11,13.68,13.82,13.64,13.71,11.24,9747200
2017-07-12,13.66,13.76,13.59,13.73,11.25,11150100
2017-07-13,13.75,13.88,13.69,13.87,11.37,7108700
