Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,20.54,20.54,20.3,20.41,16.92,3505000
2017-05-25,20.59,20.75,20.28,20.3,16.83,4084400
2017-05-26,20.38,20.77,20.31,20.7,17.16,2861500
2017-05-30,20.7,20.88,20.6,20.62,17.09,3468700
2017-05-31,20.7,20.7,20.48,20.65,17.12,5045500
2017-06-01,20.8,21.29,20.69,21.09,17.48,3386300
2017-06-02,21.25,21.41,21.02,21.31,17.66,3676300
2017-06-05,21.2,21.32,21.04,21.29,17.65,2592600
2017-06-06,21.17,21.28,21.02,21.15,17.53,2708100
2017-06-07,21.21,21.44,21.2,21.32,17.67,3244900
2017-06-08,21.32,21.58,21.29,21.31,17.66,2487100
2017-06-09,21.23,22.1,21.15,22.07,18.29,5453300
2017-06-12,22.01,22.93,22.0,22.82,18.91,7757600
2017-06-13,22.85,22.99,22.41,22.85,18.94,4021400
2017-06-14,22.86,22.98,22.64,22.95,19.02,3238900
2017-06-15,22.78,22.9,22.49,22.63,18.76,3500300
2017-06-16,22.54,22.98,21.97,22.61,18.74,11704300
2017-06-19,22.65,22.65,22.19,22.4,18.57,5462100
2017-06-20,22.4,22.41,21.92,22.08,18.3,4525800
2017-06-21,22.07,22.19,21.89,22.04,18.27,2847400
2017-06-22,22.06,22.31,21.89,22.25,18.44,2548100
2017-06-23,22.23,22.63,22.12,22.6,18.73,3735800
2017-06-26,22.64,22.82,22.62,22.75,18.86,3155400
2017-06-27,22.75,22.97,22.71,22.84,18.93,3319100
2017-06-28,22.95,23.32,22.85,22.85,18.94,3246800
2017-06-29,22.91,23.21,22.71,22.99,19.06,6977700
2017-06-30,23.18,23.29,23.06,23.16,19.2,5002500
2017-07-03,23.16,23.33,23.07,23.26,19.28,1593600
2017-07-05,23.26,23.28,23.0,23.18,19.21,4922500
2017-07-06,23.1,23.1,22.38,22.53,18.67,3763800
2017-07-07,22.61,23.01,22.45,22.93,19.01,2756800
2017-07-10,22.87,23.2,22.77,22.91,18.99,4560900
2017-07-11,22.8,22.83,22.52,22.69,18.81,3469500
2017-07-12,22.78,22.96,22.63,22.86,18.95,2655500
2017-07-13,22.95,23.23,22.87,23.05,19.11,2014200
2017-07-14,23.07,23.12,22.6,22.69,18.81,3886600
2017-07-17,22.75,23.11,22.75,22.92,19.0,4933500
2017-07-18,22.85,22.96,22.48,22.83,18.92,3404200
2017-07-19,22.86,23.18,22.75,23.15,19.19,2286100
2017-07-20,23.24,23.41,23.18,23.26,19.28,3160800
2017-07-21,23.26,23.55,23.14,23.55,19.52,2138100
2017-07-24,23.45,23.5,23.18,23.24,19.26,1460600
2017-07-25,23.23,23.72,23.1,23.57,19.54,2356000
2017-07-26,23.57,23.6,23.33,23.39,19.39,3117900
2017-07-27,23.48,23.5,22.87,23.12,19.16,3618000
2017-07-28,23.04,23.43,23.04,23.27,19.29,3745000
2017-07-31,23.27,23.39,22.85,22.92,19.0,6361600
2017-08-01,22.89,23.24,22.83,23.04,19.1,6981600
2017-08-02,23.98,24.59,23.39,23.65,19.6,12215600
2017-08-03,23.76,24.05,23.59,23.84,19.76,4401500
2017-08-04,23.94,24.36,23.86,24.29,20.13,6537500
2017-08-07,24.29,24.55,24.2,24.29,20.13,7655300
2017-08-08,24.54,24.8,24.41,24.62,20.41,7161100
2017-08-09,24.49,24.6,24.24,24.31,20.15,3747800
2017-08-10,24.11,24.18,23.68,23.95,19.85,3972500
2017-08-11,23.46,24.06,23.09,23.93,19.96,3757500
2017-08-14,24.1,24.34,23.91,24.21,20.19,2595000
2017-08-15,24.12,24.18,23.72,24.05,20.06,3280600
2017-08-16,24.1,24.4,23.94,24.31,20.28,3206000
2017-08-17,24.1,24.23,23.87,23.88,19.92,2707200
2017-08-18,23.77,23.81,23.28,23.53,19.63,3650000
2017-08-21,23.45,23.47,23.17,23.3,19.43,3628000
2017-08-22,23.4,23.52,23.17,23.45,19.56,2106900
2017-08-23,23.31,23.57,23.3,23.49,19.59,1754700
2017-08-24,23.77,24.06,23.63,23.85,19.89,2632000
2017-08-25,23.91,24.4,23.91,24.27,20.24,2847400
2017-08-28,24.26,24.54,24.16,24.51,20.44,3385000
2017-08-29,24.32,24.51,24.12,24.39,20.34,3131600
2017-08-30,24.29,24.33,24.03,24.13,20.13,3068900
2017-08-31,24.13,24.47,24.09,24.26,20.23,4124200
2017-09-01,24.33,24.84,24.26,24.75,20.64,3040400
2017-09-05,24.7,24.82,24.45,24.68,20.59,3815800
2017-09-06,24.68,25.33,24.61,25.23,21.04,5677800
2017-09-07,25.27,25.42,25.08,25.13,20.96,3453200
