Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,81.86,82.76,81.29,82.43,79.15,1214900
2017-05-25,82.51,83.49,82.08,83.11,79.81,697400
2017-05-26,82.9,83.28,81.96,82.7,79.41,1139800
2017-05-30,82.32,83.25,81.98,81.99,78.73,1235300
2017-05-31,81.94,82.58,81.73,81.91,78.65,2773100
2017-06-01,82.03,84.03,82.03,83.75,80.42,1794900
2017-06-02,83.64,84.12,82.99,83.33,80.02,1216600
2017-06-05,83.03,83.28,82.05,82.4,79.12,1378600
2017-06-06,82.4,82.65,81.65,82.48,79.2,1406100
2017-06-07,83.45,83.87,82.05,82.68,79.39,1509300
2017-06-08,82.81,83.45,82.16,82.8,79.51,2050000
2017-06-09,82.8,83.62,82.31,83.57,80.25,1959700
2017-06-12,83.44,85.01,83.44,84.86,81.49,2234700
2017-06-13,84.98,85.26,84.68,84.85,81.48,1288200
2017-06-14,85.14,85.69,84.72,85.35,81.96,1711500
2017-06-15,84.86,85.22,83.94,84.02,80.68,1547400
2017-06-16,84.13,84.2,83.06,83.41,80.09,1915400
2017-06-19,83.62,84.69,83.2,84.61,81.25,1079100
2017-06-20,84.16,84.5,82.98,83.74,80.41,1681300
2017-06-21,83.82,84.85,83.52,84.05,80.71,1725500
2017-06-22,83.98,87.88,83.89,86.14,82.72,3249500
2017-06-23,86.37,86.58,85.51,86.24,82.81,4885900
2017-06-26,86.23,87.37,86.15,86.62,83.18,1420300
2017-06-27,86.43,87.04,85.88,86.01,82.59,1669500
2017-06-28,86.86,87.52,86.46,86.98,83.52,1516200
2017-06-29,87.25,87.79,86.08,86.81,83.36,1618300
2017-06-30,87.23,87.79,87.1,87.2,83.73,1727900
2017-07-03,87.48,87.83,86.98,87.19,83.72,695700
2017-07-05,87.3,87.99,87.09,87.24,83.77,1534900
2017-07-06,86.81,86.98,84.59,84.83,81.46,2319900
2017-07-07,84.95,86.49,84.7,86.14,82.72,1613200
2017-07-10,85.95,86.48,85.26,85.88,82.47,1253100
2017-07-11,85.95,87.12,85.71,86.4,82.97,1750700
2017-07-12,86.91,87.29,86.27,86.45,83.01,1016300
2017-07-13,86.39,86.79,86.02,86.57,83.13,1198900
2017-07-14,86.42,86.88,85.96,86.64,83.2,1057300
2017-07-17,86.44,87.06,86.17,86.5,83.06,955400
2017-07-18,86.92,87.17,85.2,85.87,82.46,2088700
2017-07-19,85.96,86.66,85.05,85.23,81.84,2308900
2017-07-20,85.22,86.76,85.02,85.76,82.35,2254700
2017-07-21,86.14,86.5,85.22,85.73,82.32,2150300
2017-07-24,85.74,86.62,85.5,86.09,82.67,2533300
2017-07-25,82.6,84.68,81.79,82.18,78.91,4952300
2017-07-26,81.0,82.47,80.19,81.63,78.39,4316000
2017-07-27,81.02,81.23,79.62,79.96,76.78,2816600
2017-07-28,80.11,81.62,80.08,80.44,77.24,2461800
2017-07-31,80.33,80.58,79.53,80.34,77.15,2016200
2017-08-01,80.46,80.9,79.18,79.28,76.13,3178900
2017-08-02,79.4,79.67,78.72,78.98,75.84,2714900
2017-08-03,78.46,79.35,78.31,78.96,75.82,1552100
2017-08-04,79.29,79.44,78.67,78.87,75.74,1156600
2017-08-07,78.77,79.13,78.41,78.49,75.37,1684700
2017-08-08,78.0,78.79,77.22,78.13,75.02,3036400
2017-08-09,78.23,78.26,77.62,77.92,74.82,1766800
2017-08-10,77.79,78.1,77.55,77.81,74.72,2519800
2017-08-11,77.63,79.69,77.63,79.37,76.22,2491800
2017-08-14,79.62,79.76,78.95,79.52,76.36,2036000
2017-08-15,79.81,80.16,78.86,79.25,76.1,1599200
2017-08-16,79.3,79.63,78.82,78.99,75.85,1275600
2017-08-17,78.81,79.44,77.68,77.79,74.7,1473800
2017-08-18,77.64,78.1,77.5,77.53,74.45,1360900
2017-08-21,77.51,78.44,77.43,78.26,75.15,1703100
2017-08-22,78.36,78.93,78.23,78.79,75.66,1331100
2017-08-23,78.62,79.08,78.16,78.9,75.76,1789500
2017-08-24,79.11,79.67,78.89,79.26,76.11,1412600
2017-08-25,79.37,80.12,78.89,79.51,76.35,1245700
2017-08-28,79.43,79.78,78.9,79.16,76.01,1370100
2017-08-29,78.32,78.77,76.97,77.59,74.51,2808700
2017-08-30,77.47,77.7,76.85,77.39,74.31,1429200
2017-08-31,77.61,78.88,77.57,78.66,75.53,2127000
2017-09-01,78.86,79.21,78.15,78.67,75.54,1852100
2017-09-05,78.58,79.01,78.06,78.31,75.2,2151900
2017-09-06,78.44,78.44,76.14,77.28,74.21,2784800
