Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,154.7,155.43,153.29,155.0,138.03,4558700
2017-05-25,156.2,156.69,155.35,156.46,139.33,3110800
2017-05-26,156.1,156.42,154.64,154.9,137.94,4284700
2017-05-30,154.0,154.56,153.52,153.88,137.83,3504300
2017-05-31,154.36,154.38,153.28,153.51,137.49,7158400
2017-06-01,153.52,155.16,152.74,155.15,138.96,3385100
2017-06-02,154.79,155.86,154.42,155.35,139.14,3485600
2017-06-05,155.53,155.62,154.23,154.79,138.64,2651800
2017-06-06,154.44,154.66,153.65,154.2,138.11,3260300
2017-06-07,154.69,155.3,154.35,154.96,138.79,3159000
2017-06-08,154.96,155.23,153.38,153.5,137.49,4041600
2017-06-09,154.0,154.0,152.78,152.96,137.0,4705300
2017-06-12,152.8,153.3,151.73,152.18,136.3,4473900
2017-06-13,152.31,154.04,152.06,153.99,137.92,3753800
2017-06-14,154.5,157.28,153.96,156.76,140.41,5999400
2017-06-15,156.13,157.27,154.92,156.77,140.41,3972300
2017-06-16,156.25,156.69,155.41,156.64,140.3,9105400
2017-06-19,156.91,159.03,156.39,158.81,142.24,5196100
2017-06-20,158.73,159.22,157.6,157.67,141.22,4201200
2017-06-21,157.91,158.53,156.43,156.59,140.25,4071300
2017-06-22,156.44,157.07,155.47,155.48,139.26,3347400
2017-06-23,155.16,155.23,150.91,151.31,135.52,11422200
2017-06-26,151.67,151.97,151.13,151.42,135.62,4128500
2017-06-27,151.06,153.25,150.75,152.24,136.36,4567100
2017-06-28,152.75,153.45,152.36,153.23,137.24,5087000
2017-06-29,152.77,153.0,151.52,152.16,136.29,2855400
2017-06-30,152.51,154.0,152.27,153.4,137.4,3640900
2017-07-03,154.39,154.79,153.71,154.01,137.94,1658500
2017-07-05,154.01,154.29,151.46,152.69,136.76,4432500
2017-07-06,151.77,152.48,151.22,152.05,136.19,3408500
2017-07-07,152.04,152.87,151.9,152.23,136.35,3775400
2017-07-10,152.22,152.26,151.0,151.18,135.41,5081100
2017-07-11,151.45,151.81,150.5,150.6,134.89,5642000
2017-07-12,151.46,153.14,151.09,152.59,136.67,4275900
2017-07-13,152.82,154.13,152.6,153.29,137.3,3288000
2017-07-14,153.22,153.67,151.82,152.88,136.93,3588400
2017-07-17,152.9,154.5,152.72,153.89,137.84,4166600
2017-07-18,153.75,153.86,151.98,152.17,136.29,3783600
2017-07-19,152.55,154.0,152.55,153.3,137.31,2808400
2017-07-20,152.56,152.57,145.61,147.03,131.69,18264100
2017-07-21,147.03,147.46,146.13,146.65,131.35,9120200
2017-07-24,146.61,146.69,144.25,144.58,129.5,7295900
2017-07-25,145.74,147.4,145.28,146.97,131.64,5002400
2017-07-26,146.86,147.25,145.96,146.69,131.39,2836000
2017-07-27,146.18,147.86,145.89,147.73,132.32,5399000
2017-07-28,147.9,148.27,147.32,148.08,132.63,3421100
2017-07-31,148.0,149.98,147.54,149.6,133.99,5253300
2017-08-01,150.24,150.39,148.95,149.85,134.22,4110600
2017-08-02,149.94,150.86,149.92,150.5,134.8,3754200
2017-08-03,150.7,152.03,150.5,150.79,135.06,5146600
2017-08-04,151.01,152.75,150.8,152.75,136.81,3258600
2017-08-07,152.83,154.47,152.47,153.35,137.35,3833600
2017-08-08,153.32,154.2,153.08,153.35,137.35,3218900
2017-08-09,153.35,155.57,153.32,155.26,139.06,3844900
2017-08-10,155.19,155.98,153.88,153.88,137.83,4433700
2017-08-11,154.11,155.72,153.98,154.88,138.72,3650500
2017-08-14,156.04,156.05,153.56,154.26,138.17,6662500
2017-08-15,154.28,154.8,148.26,150.17,134.5,13528700
2017-08-16,151.45,152.95,151.16,152.25,136.37,6043900
2017-08-17,151.81,152.15,149.61,149.67,134.06,4460900
2017-08-18,149.61,149.61,146.96,147.49,132.1,6989100
2017-08-21,147.1,149.88,146.89,149.2,133.63,4222500
2017-08-22,149.29,150.58,149.29,149.91,134.27,3268100
2017-08-23,148.58,149.48,147.43,149.1,133.54,5235400
2017-08-24,149.73,150.6,147.98,148.25,132.78,3736000
2017-08-25,148.51,150.53,148.4,149.65,134.04,3048000
2017-08-28,151.94,152.39,150.43,151.39,135.6,6845400
2017-08-29,150.07,150.9,149.03,149.84,135.0,5368700
2017-08-30,150.0,150.25,149.28,150.0,135.15,3641000
2017-08-31,150.61,150.93,149.85,149.87,135.03,6083300
2017-09-01,150.26,150.94,149.76,150.78,135.85,3383000
2017-09-05,151.71,153.92,151.7,152.93,137.79,7488800
2017-09-06,154.86,157.03,154.15,156.56,141.06,8126000
2017-09-07,158.17,159.28,156.79,157.93,142.29,8273100
2017-09-08,159.09,160.69,157.52,159.66,143.85,10088600
2017-09-11,158.42,158.74,156.22,158.37,142.69,8847900
2017-09-12,159.06,160.93,158.71,159.91,144.07,5794600
2017-09-13,160.39,161.38,159.55,160.02,144.17,4713700
2017-09-14,160.35,160.85,159.33,159.38,143.6,5290800
2017-09-15,159.98,159.99,158.29,158.4,142.71,9124200
2017-09-18,159.0,159.0,157.69,157.81,142.18,4010600
2017-09-19,157.8,158.32,157.16,157.66,142.05,3713400
2017-09-20,157.57,159.39,157.36,158.68,142.97,4599200
2017-09-21,158.87,159.56,158.72,159.19,143.43,3082100
2017-09-22,159.14,160.09,159.01,159.97,144.13,3576500
2017-09-25,160.05,161.43,159.75,161.1,145.15,4897700
2017-09-26,161.55,162.0,160.79,161.26,145.29,3222600
2017-09-27,161.38,161.69,160.14,160.92,144.98,3966200
2017-09-28,160.72,162.45,160.66,162.36,146.28,4614100
2017-09-29,162.5,163.61,162.15,163.56,147.36,3467400
2017-10-02,164.2,164.25,163.22,164.02,147.78,2721400
2017-10-03,164.06,165.28,164.0,165.17,148.81,3046400
2017-10-04,165.49,166.08,164.91,165.29,148.92,2746500
2017-10-05,165.07,166.25,164.26,166.12,149.67,3504900
2017-10-06,166.18,166.63,165.74,165.85,149.43,2916300
2017-10-09,166.14,166.63,165.42,165.71,149.3,2131800
2017-10-10,165.7,165.8,164.64,165.16,148.8,2755400
2017-10-11,165.19,165.87,164.45,165.25,148.89,2319300
2017-10-12,165.41,165.41,164.47,164.59,148.29,3397800
2017-10-13,164.92,166.07,164.35,164.47,148.18,3259000
2017-10-16,164.47,164.67,163.26,164.22,147.96,2586700
2017-10-17,164.22,164.92,161.51,163.35,147.17,4189200
2017-10-18,163.42,164.24,163.35,163.45,147.26,2757900
2017-10-19,163.5,164.11,162.77,163.24,147.07,2676100
2017-10-20,163.97,164.15,162.74,163.43,147.25,4166500
2017-10-23,164.04,166.27,163.75,164.74,148.43,3995100
2017-10-24,164.67,166.46,164.65,166.03,149.59,3686700
