Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,49.16,49.38,49.09,49.23,43.87,1769800
2017-05-25,49.55,49.83,49.34,49.72,44.31,1723200
2017-05-26,49.63,49.63,49.03,49.23,43.87,2740300
2017-05-30,48.93,49.18,48.85,49.05,43.92,1330300
2017-05-31,49.06,49.5,48.92,49.39,44.22,2467900
2017-06-01,49.36,49.87,49.18,49.84,44.62,2303500
2017-06-02,49.66,49.84,49.46,49.64,44.44,1947500
2017-06-05,49.6,49.78,49.45,49.45,44.27,1600800
2017-06-06,49.63,49.78,49.0,49.58,44.39,3042400
2017-06-07,49.65,49.9,49.39,49.71,44.51,1835400
2017-06-08,49.71,50.78,49.67,50.72,45.41,3474900
2017-06-09,50.92,51.59,50.71,51.51,46.12,3057700
2017-06-12,51.44,51.69,51.07,51.12,45.77,2641300
2017-06-13,51.26,51.79,51.14,51.67,46.26,1852900
2017-06-14,51.6,51.95,51.39,51.85,46.42,1604200
2017-06-15,51.56,52.02,51.44,51.87,46.44,2413700
2017-06-16,51.77,52.41,51.68,52.41,46.92,4217400
2017-06-19,52.52,52.66,52.33,52.45,46.96,1699800
2017-06-20,52.31,52.49,52.22,52.23,46.76,1507100
2017-06-21,52.2,52.24,51.64,51.75,46.33,2106400
2017-06-22,51.6,51.87,51.41,51.6,46.2,1452300
2017-06-23,51.65,51.78,51.33,51.45,46.06,2143000
2017-06-26,51.74,52.18,51.62,52.02,46.57,2541700
2017-06-27,52.03,52.59,51.97,52.2,46.74,3101200
2017-06-28,52.44,52.82,52.27,52.73,47.21,2711500
2017-06-29,53.22,53.38,52.55,52.75,47.23,2890700
2017-06-30,52.97,53.08,52.28,52.57,47.07,2388600
2017-07-03,52.78,53.28,52.71,52.84,47.31,1240200
2017-07-05,52.96,53.05,52.55,52.71,47.19,2013900
2017-07-06,52.73,52.93,52.43,52.56,47.06,1851600
2017-07-07,52.63,52.92,52.45,52.73,47.21,1313900
2017-07-10,52.58,52.99,52.53,52.87,47.34,1524900
2017-07-11,52.89,53.02,52.51,52.75,47.23,1527700
2017-07-12,52.75,53.03,52.62,52.87,47.34,1537000
2017-07-13,52.93,53.36,52.92,53.28,47.7,1311000
2017-07-14,52.94,53.5,52.84,53.36,47.77,1739500
2017-07-17,53.32,53.66,53.17,53.58,47.97,1645400
2017-07-18,53.38,53.58,53.29,53.57,47.96,1195000
2017-07-19,53.56,53.91,53.45,53.89,48.25,1151700
2017-07-20,53.91,54.2,53.71,53.78,48.15,2254700
2017-07-21,53.71,53.98,53.58,53.79,48.16,1812300
2017-07-24,53.79,53.87,53.57,53.7,48.08,2001900
2017-07-25,54.19,54.2,53.81,53.94,48.29,2339400
2017-07-26,53.97,54.02,53.06,53.22,47.65,2459600
2017-07-27,53.22,53.4,52.69,52.92,47.38,3435100
2017-07-28,53.5,55.2,53.38,54.82,49.08,4663900
2017-07-31,55.19,55.29,54.88,55.0,49.24,2707600
2017-08-01,55.29,55.8,54.94,55.71,49.88,2816500
2017-08-02,55.65,56.03,55.35,55.63,49.81,2702100
2017-08-03,55.54,55.86,55.39,55.84,49.99,1772800
2017-08-04,56.11,56.57,56.01,56.29,50.4,1498100
2017-08-07,56.23,56.32,55.95,55.97,50.11,1588200
2017-08-08,55.93,56.6,55.9,56.05,50.18,1665800
2017-08-09,55.99,56.25,55.87,56.24,50.35,1777400
2017-08-10,55.92,56.07,55.63,55.73,49.9,1520300
2017-08-11,55.73,56.25,55.59,56.04,50.17,1789200
2017-08-14,56.38,56.67,56.33,56.45,50.54,1451900
2017-08-15,56.68,56.99,56.61,56.81,50.86,1943100
2017-08-16,56.92,57.16,56.5,56.51,50.59,1393000
2017-08-17,56.45,56.61,55.57,55.6,49.78,1484100
2017-08-18,55.43,55.62,55.01,55.56,49.74,4524500
2017-08-21,55.65,55.65,55.13,55.28,49.49,1445700
2017-08-22,55.39,55.63,55.33,55.56,49.74,1297900
2017-08-23,55.27,55.42,55.1,55.15,49.38,2066600
2017-08-24,55.28,55.37,54.61,54.63,48.91,1739000
2017-08-25,54.8,55.17,54.69,55.03,49.27,2063400
2017-08-28,54.69,54.91,53.59,54.49,48.79,2611400
2017-08-29,54.04,54.54,53.94,54.33,48.64,2049400
2017-08-30,54.12,54.66,53.64,54.35,48.87,1914900
2017-08-31,54.43,54.61,53.85,54.07,48.62,2141700
2017-09-01,54.14,54.48,53.93,54.05,48.6,1712800
2017-09-05,53.82,53.83,52.74,52.88,47.55,2302400
2017-09-06,52.9,53.14,52.44,52.77,47.45,2763400
2017-09-07,52.72,52.72,51.57,51.64,46.43,2721300
2017-09-08,51.26,53.21,51.2,53.17,47.81,3501800
2017-09-11,54.18,54.69,53.84,53.94,48.5,4095000
2017-09-12,53.97,54.23,53.73,53.84,48.41,1827400
2017-09-13,53.7,53.77,53.45,53.51,48.11,1853200
2017-09-14,53.48,53.6,52.91,53.33,47.95,2345000
2017-09-15,53.31,53.73,53.26,53.71,48.29,2990400
2017-09-18,53.81,53.98,53.6,53.83,48.4,1883800
2017-09-19,53.76,54.66,53.76,54.41,48.92,1983800
2017-09-20,54.45,55.33,54.45,55.13,49.57,2157800
2017-09-21,55.12,55.44,54.33,54.35,48.87,2064700
2017-09-22,54.28,54.5,54.02,54.45,48.96,1427900
2017-09-25,54.39,54.85,54.21,54.68,49.16,1282300
2017-09-26,54.56,55.07,54.45,54.9,49.36,2504900
2017-09-27,55.41,55.49,55.01,55.04,49.49,1707200
2017-09-28,54.9,55.26,54.65,55.12,49.56,1101600
2017-09-29,54.97,55.45,54.89,55.43,49.84,1315600
2017-10-02,55.89,55.97,55.39,55.6,49.99,2596300
2017-10-03,55.54,55.71,55.32,55.42,49.83,2262300
2017-10-04,55.43,55.81,55.36,55.68,50.06,1736400
2017-10-05,55.72,55.87,55.4,55.49,49.89,1904200
2017-10-06,55.67,55.93,55.55,55.62,50.01,1430000
2017-10-09,55.64,55.87,55.39,55.58,49.97,1159300
2017-10-10,55.48,55.98,55.48,55.93,50.29,1869400
2017-10-11,55.8,55.94,55.51,55.87,50.23,978300
2017-10-12,55.87,56.0,55.71,55.86,50.22,1454300
2017-10-13,55.93,56.28,55.73,55.99,50.34,1239000
2017-10-16,56.0,56.26,55.88,56.08,50.42,1196100
2017-10-17,56.31,56.33,55.75,55.81,50.18,1550400
2017-10-18,55.9,56.01,55.45,55.52,49.92,1639300
2017-10-19,55.47,56.48,55.39,56.47,50.77,1333200
2017-10-20,56.89,56.99,56.41,56.49,50.79,1146200
2017-10-23,53.99,54.51,53.6,54.06,48.61,4906100
2017-10-24,54.36,54.95,54.13,54.88,49.34,3563200
2017-10-25,54.76,55.41,54.5,54.84,49.31,2202700
2017-10-26,55.2,55.58,54.86,55.56,49.96,2800400
2017-10-27,55.42,55.45,55.04,55.2,49.63,2175200
2017-10-30,55.09,55.58,55.07,55.18,49.61,1366100
2017-10-31,55.12,55.3,54.72,55.05,49.5,1933100
2017-11-01,55.3,55.78,55.14,55.25,49.68,2233700
2017-11-02,55.3,56.05,55.16,55.71,50.09,1679100
2017-11-03,55.32,55.84,55.21,55.84,50.21,1544300
2017-11-06,55.85,55.97,55.49,55.89,50.25,1337200
2017-11-07,56.0,56.24,55.21,55.34,49.76,1700700
2017-11-08,55.36,55.47,55.1,55.2,49.63,1560800
2017-11-09,55.02,55.37,54.84,55.25,49.68,1675800
2017-11-10,55.19,55.61,55.08,55.52,49.92,1280700
2017-11-13,55.43,55.81,55.26,55.69,50.07,1721100
2017-11-14,55.43,56.26,55.43,56.22,50.55,1820200
2017-11-15,55.88,56.97,55.79,56.67,50.95,2386700
2017-11-16,56.75,57.08,55.88,56.01,50.36,2145300
2017-11-17,55.78,56.52,55.55,56.14,50.48,1443300
2017-11-20,56.08,56.46,55.82,55.85,50.22,2225800
2017-11-21,56.0,56.26,55.94,56.09,50.43,1321000
2017-11-22,56.13,56.21,55.65,55.78,50.15,1129200
2017-11-24,56.06,56.13,55.61,55.64,50.03,435600
2017-11-27,55.73,55.99,55.64,55.8,50.17,1064400
2017-11-28,55.73,56.84,55.59,56.69,50.97,1682300
2017-11-29,57.0,58.16,56.83,57.65,51.83,2413700
2017-11-30,57.77,57.93,56.84,57.44,51.87,2099600
2017-12-01,57.54,57.65,56.12,57.43,51.86,1754700
2017-12-04,58.0,58.61,56.5,56.5,51.02,4029300
2017-12-05,56.53,56.72,54.39,54.64,49.34,4893800
2017-12-06,54.46,54.99,54.18,54.92,49.59,3541400
2017-12-07,54.54,55.07,54.49,54.77,49.46,2062900
