Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,196.04,197.25,194.98,195.25,178.83,191000
2017-05-25,195.5,197.92,195.46,197.44,180.83,182900
2017-05-26,196.77,198.44,196.01,196.32,179.81,249500
2017-05-30,196.83,197.74,193.62,194.08,177.76,244700
2017-05-31,194.24,196.31,192.71,195.81,179.34,469500
2017-06-01,196.84,196.84,192.89,194.29,177.95,346500
2017-06-02,194.09,195.67,193.41,193.79,177.49,276400
2017-06-05,192.69,193.7,190.76,191.18,175.1,310100
2017-06-06,190.19,190.96,188.77,188.83,172.95,368200
2017-06-07,189.0,189.96,187.9,189.88,173.91,257500
2017-06-08,189.67,192.73,189.2,192.51,176.32,401600
2017-06-09,192.56,194.6,191.9,193.47,177.2,389000
2017-06-12,193.2,195.07,192.22,194.77,178.39,497900
2017-06-13,195.1,198.34,194.98,196.67,180.13,208400
2017-06-14,196.92,198.43,196.4,196.77,180.22,243400
2017-06-15,195.19,196.46,194.76,195.56,179.11,160200
2017-06-16,193.79,194.37,185.35,185.98,170.34,946500
2017-06-19,189.22,189.22,184.49,187.16,171.42,497200
2017-06-20,186.03,187.54,184.83,186.27,170.6,382500
2017-06-21,186.52,187.6,185.51,186.58,170.89,293700
2017-06-22,186.55,186.6,184.73,185.54,169.94,546100
2017-06-23,185.46,188.75,185.1,186.84,171.13,627000
2017-06-26,186.92,188.49,185.94,186.29,170.62,200400
2017-06-27,185.76,189.05,185.76,186.97,171.24,261800
2017-06-28,187.81,188.94,187.23,187.36,171.6,192000
2017-06-29,187.5,187.76,183.42,185.22,169.64,223300
2017-06-30,186.13,186.92,184.64,186.16,170.5,275300
2017-07-03,186.36,192.72,185.92,191.54,175.43,191700
2017-07-05,192.2,193.96,191.21,192.97,176.74,245600
2017-07-06,192.37,193.35,190.96,191.38,175.28,543400
2017-07-07,192.43,193.5,191.73,192.9,176.68,238000
2017-07-10,192.72,194.55,190.9,193.28,177.02,352100
2017-07-11,193.86,195.62,192.54,194.88,178.49,389100
2017-07-12,195.5,200.44,195.41,199.4,182.63,362000
2017-07-13,200.0,200.3,198.25,198.39,181.7,267600
2017-07-14,198.66,199.51,197.86,198.15,181.48,288200
2017-07-17,198.24,199.08,196.14,198.28,181.6,201000
2017-07-18,198.08,198.31,195.28,197.38,180.78,286600
2017-07-19,198.11,199.71,197.05,198.49,181.8,365500
2017-07-20,199.3,201.85,198.62,199.19,182.44,250800
2017-07-21,198.83,202.14,198.49,201.35,184.42,235000
2017-07-24,201.4,203.16,201.32,201.66,184.7,263000
2017-07-25,202.08,203.82,201.1,203.62,186.49,344500
2017-07-26,204.65,204.7,202.51,203.49,186.38,256100
2017-07-27,203.91,204.47,201.99,202.84,185.78,513000
2017-07-28,203.02,205.89,202.42,205.65,188.35,218700
2017-07-31,206.02,207.1,205.77,206.11,188.78,267800
2017-08-01,207.23,207.44,205.18,206.59,189.21,314300
2017-08-02,206.26,209.24,204.54,208.21,190.7,350900
2017-08-03,209.0,214.76,208.38,213.93,195.94,646600
2017-08-04,213.97,215.37,213.04,213.95,195.96,200900
2017-08-07,214.02,214.59,212.38,213.54,195.58,208000
2017-08-08,213.75,214.97,213.15,214.0,196.0,214300
2017-08-09,213.82,216.0,213.09,214.76,196.7,250000
2017-08-10,214.62,218.49,213.04,213.08,195.16,208600
2017-08-11,214.83,215.27,213.02,213.16,195.23,144600
2017-08-14,214.82,216.09,213.8,215.01,196.93,365500
2017-08-15,215.14,216.3,214.07,214.33,196.3,228100
2017-08-16,214.41,215.3,210.61,210.82,193.09,260900
2017-08-17,210.38,212.31,208.24,208.44,190.91,197100
2017-08-18,208.38,208.7,204.97,205.22,187.96,215900
2017-08-21,204.96,205.86,203.26,203.92,186.77,242900
2017-08-22,205.33,208.26,203.96,207.73,190.26,191700
2017-08-23,206.7,207.28,205.94,206.84,189.99,105700
2017-08-24,207.38,209.6,206.53,209.37,192.32,200300
2017-08-25,210.03,212.45,208.25,208.94,191.92,407600
2017-08-28,209.68,209.93,205.99,206.12,189.33,209300
2017-08-29,205.76,209.12,205.14,208.8,191.79,285300
2017-08-30,209.3,210.67,208.53,210.55,193.4,172800
2017-08-31,211.22,214.42,210.35,213.96,196.53,257300
2017-09-01,214.39,215.86,214.37,215.03,197.52,195200
2017-09-05,215.47,215.86,212.24,213.34,195.96,381200
2017-09-06,213.93,214.09,211.22,211.6,194.36,348400
2017-09-07,211.27,211.29,207.54,209.93,192.83,173700
2017-09-08,209.22,211.42,208.14,210.43,193.29,225300
2017-09-11,210.89,211.99,210.0,211.78,194.53,259300
2017-09-12,212.21,213.59,211.87,213.56,196.17,141400
2017-09-13,213.16,213.56,210.3,210.43,193.29,154800
2017-09-14,210.98,211.12,208.94,210.15,193.03,244500
2017-09-15,210.22,212.53,210.22,212.41,195.11,348600
2017-09-18,213.56,217.53,213.01,215.57,198.01,284300
2017-09-19,215.7,218.31,214.84,217.07,199.39,425500
2017-09-20,217.12,218.88,217.0,218.12,200.35,294500
2017-09-21,218.75,219.37,216.18,219.18,201.33,276400
2017-09-22,219.41,221.52,219.28,220.37,202.42,172400
2017-09-25,220.16,221.0,218.15,220.48,202.52,212400
2017-09-26,220.0,222.86,219.63,222.21,204.11,209200
2017-09-27,223.05,224.13,221.68,223.46,205.26,279300
2017-09-28,223.35,224.18,221.47,223.06,204.89,279200
2017-09-29,223.45,227.03,221.91,226.44,208.0,274400
2017-10-02,227.49,230.12,226.65,229.93,211.2,228500
2017-10-03,231.41,232.49,230.0,232.0,213.1,436800
2017-10-04,231.21,234.23,231.17,234.14,215.07,373600
2017-10-05,233.29,235.02,231.94,234.16,215.09,248500
2017-10-06,234.16,235.95,233.21,235.83,216.62,270600
2017-10-09,236.16,236.94,235.11,235.94,216.72,194300
2017-10-10,236.84,236.84,234.15,234.88,215.75,237800
2017-10-11,234.45,235.7,233.15,233.93,214.88,226100
