Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,65.77,66.29,65.1,65.48,64.17,3024100
2017-05-25,65.76,66.11,65.13,65.13,63.83,2766600
2017-05-26,65.16,65.55,64.94,65.34,64.03,1445800
2017-05-30,65.26,65.7,65.13,65.54,64.23,1104500
2017-05-31,65.85,66.58,65.35,66.47,65.14,3402000
2017-06-01,66.71,67.5,66.32,66.64,65.31,2001900
2017-06-02,66.97,67.54,66.53,67.41,66.06,1590400
2017-06-05,67.67,67.79,66.97,66.99,65.65,1599200
2017-06-06,66.58,66.71,65.55,65.76,64.45,1999400
2017-06-07,65.76,66.27,65.42,66.15,64.83,2661200
2017-06-08,65.26,65.5,64.66,65.02,63.72,8180400
2017-06-09,65.35,65.86,64.02,64.75,63.46,7990900
2017-06-12,66.31,66.46,65.25,65.85,64.53,10162800
2017-06-13,66.14,66.69,66.02,66.45,65.12,5087200
2017-06-14,66.62,66.86,65.88,66.25,64.93,7387200
2017-06-15,65.81,66.99,65.53,66.85,65.51,4511100
2017-06-16,67.27,67.29,66.4,66.41,65.08,33236400
2017-06-19,66.59,67.31,66.3,66.84,65.5,4391000
2017-06-20,67.04,67.07,65.69,65.88,64.56,4031600
2017-06-21,66.3,66.35,65.28,65.6,64.29,3997000
2017-06-22,65.45,65.47,64.89,65.2,63.9,2623500
2017-06-23,65.1,65.56,64.76,65.4,64.09,3110900
2017-06-26,65.38,65.55,64.98,65.23,63.93,1736200
2017-06-27,65.05,65.1,63.42,63.45,62.18,3272200
2017-06-28,63.8,64.07,63.17,63.36,62.09,2607000
2017-06-29,63.25,63.34,61.66,62.25,61.01,3666800
2017-06-30,62.65,62.91,61.82,61.85,60.61,3556000
2017-07-03,61.98,62.08,61.3,61.31,60.08,1967400
2017-07-05,61.31,61.8,60.74,61.51,60.28,3681400
2017-07-06,61.02,61.54,60.62,61.08,59.86,2926200
2017-07-07,61.21,62.01,61.02,61.76,60.53,4443300
2017-07-10,61.76,62.29,61.63,62.2,60.96,4126300
2017-07-11,61.89,62.61,61.82,62.46,61.21,5848800
2017-07-12,62.8,62.97,61.84,61.93,60.69,2444000
2017-07-13,62.04,62.38,61.78,62.08,60.84,1780200
2017-07-14,61.96,62.54,61.75,62.45,61.2,3466500
2017-07-17,62.4,62.88,62.18,62.62,61.37,1403100
2017-07-18,62.56,62.9,62.33,62.49,61.24,2219600
2017-07-19,62.44,62.65,62.09,62.12,60.88,1810300
2017-07-20,62.11,62.23,61.51,62.01,60.77,2172100
2017-07-21,61.88,62.49,61.84,62.47,61.22,1871200
2017-07-24,62.5,62.79,61.99,62.01,60.77,1923400
2017-07-25,62.32,63.13,61.72,63.08,61.82,3711500
2017-07-26,63.9,64.66,62.03,62.52,61.27,6574700
2017-07-27,62.83,62.83,61.75,62.56,61.31,2882500
2017-07-28,62.23,62.75,62.23,62.46,61.21,1184800
2017-07-31,62.81,62.87,62.29,62.53,61.28,2068100
2017-08-01,62.88,63.35,62.44,62.77,61.52,2659200
2017-08-02,62.69,63.58,61.28,61.98,60.74,2185900
2017-08-03,62.1,62.65,62.0,62.13,60.89,1957400
2017-08-04,62.31,63.13,62.14,62.98,61.72,2891400
2017-08-07,63.34,63.87,63.02,63.77,62.5,3245100
2017-08-08,62.84,63.18,61.74,62.08,60.84,2852100
