Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,14.62,14.72,14.57,14.67,12.59,15162120
2017-05-25,14.72,14.74,14.59,14.62,12.55,23348044
2017-05-26,14.62,14.65,14.54,14.61,12.54,17319777
2017-05-30,14.57,14.69,14.5,14.62,12.55,22861704
2017-05-31,14.58,14.64,14.4,14.59,12.53,30786476
2017-06-01,14.24,14.25,13.55,13.59,11.67,50115031
2017-06-02,13.45,13.64,13.15,13.5,11.59,38591113
2017-06-05,13.45,13.46,13.29,13.31,11.43,20008631
2017-06-06,13.3,13.34,13.21,13.21,11.34,17818492
2017-06-07,13.21,13.37,13.2,13.22,11.35,18744767
2017-06-08,13.22,13.28,13.17,13.23,11.35,13795265
2017-06-09,13.22,13.44,13.04,13.18,11.31,13561698
2017-06-12,13.1,13.13,12.85,13.07,11.26,14894653
2017-06-13,13.05,13.17,13.03,13.1,11.28,15699633
2017-06-14,13.07,13.15,12.92,12.99,11.19,14685190
2017-06-15,12.96,13.0,12.78,12.82,11.04,23054281
2017-06-16,12.86,12.89,12.75,12.79,11.02,19348535
2017-06-19,12.81,13.01,12.81,12.97,11.18,14374026
2017-06-20,12.95,12.99,12.79,12.91,11.12,17374431
2017-06-21,12.96,13.03,12.83,12.85,11.08,13225011
2017-06-22,12.83,12.99,12.8,12.94,11.15,12152305
2017-06-23,12.99,13.19,12.92,13.07,11.26,22420479
2017-06-26,13.09,13.17,13.03,13.04,11.24,14030636
2017-06-27,12.99,13.03,12.8,12.8,11.03,12662749
2017-06-28,12.87,13.16,12.8,13.11,11.3,13041329
2017-06-29,12.99,13.03,12.7,12.92,11.13,16378163
2017-06-30,12.98,13.03,12.86,12.87,11.09,11318065
2017-07-03,12.93,13.1,12.93,12.93,11.14,5886347
2017-07-05,12.97,13.18,12.96,13.14,11.32,13925067
2017-07-06,13.07,13.13,12.74,12.79,11.02,18738064
2017-07-07,12.82,12.92,12.72,12.89,11.1,17037615
2017-07-10,12.89,13.06,12.88,12.99,11.19,13109903
2017-07-11,12.96,13.07,12.85,13.02,11.22,11760449
2017-07-12,12.99,13.07,12.86,13.03,11.22,13454195
2017-07-13,13.03,13.31,13.0,13.26,11.42,17708927
2017-07-14,13.27,13.37,13.2,13.34,11.49,7901054
2017-07-17,13.34,13.44,13.26,13.37,11.52,9965388
2017-07-18,13.34,13.38,13.23,13.3,11.46,13542750
