Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,35.23,35.48,35.12,35.4,31.94,2347100
2017-05-25,34.05,34.64,32.94,33.13,29.9,7972600
2017-05-26,33.09,33.61,33.07,33.12,29.89,4113000
2017-05-30,33.05,33.37,32.9,33.27,30.02,2767700
2017-05-31,33.34,33.7,33.32,33.63,30.35,3091900
2017-06-01,33.82,33.94,33.48,33.91,30.6,2365600
2017-06-02,34.01,34.15,33.9,34.11,30.78,1972400
2017-06-05,34.07,34.22,33.86,34.16,30.83,1113500
2017-06-06,34.17,34.51,34.1,34.5,31.13,1858800
2017-06-07,34.51,34.99,34.51,34.98,31.57,2022700
2017-06-08,34.98,35.0,34.0,34.18,30.84,2359000
2017-06-09,34.28,34.84,34.23,34.77,31.38,1995300
2017-06-12,34.81,35.04,34.73,34.73,31.34,1653000
2017-06-13,34.75,34.85,34.47,34.68,31.3,1737900
2017-06-14,34.85,35.16,34.54,34.72,31.33,1552500
2017-06-15,34.9,34.93,34.48,34.6,31.22,2276900
2017-06-16,34.75,34.77,33.49,33.95,30.64,4102200
2017-06-19,34.0,34.39,33.46,34.35,31.0,2353200
2017-06-20,34.33,34.34,33.9,33.94,30.63,2211100
2017-06-21,33.91,34.03,33.55,34.0,30.68,2414800
2017-06-22,34.03,34.7,33.81,34.42,31.06,4037900
2017-06-23,34.37,35.34,34.37,34.94,31.53,7690300
2017-06-26,35.09,35.29,34.78,34.8,31.4,1468200
2017-06-27,34.65,34.96,34.14,34.15,30.82,2092800
2017-06-28,34.46,34.65,34.13,34.21,30.87,1703600
2017-06-29,34.09,34.34,33.78,33.96,30.65,2017800
2017-06-30,34.05,34.44,34.05,34.11,30.78,2246900
2017-07-03,34.27,34.54,34.15,34.15,30.82,1083800
2017-07-05,34.16,34.16,33.66,33.73,30.44,1621500
2017-07-06,33.65,33.8,33.13,33.15,29.91,1779700
2017-07-07,33.23,33.34,33.06,33.2,29.96,1438400
2017-07-10,33.16,33.24,32.65,32.65,29.46,2330300
2017-07-11,32.58,32.7,32.26,32.53,29.35,2072300
2017-07-12,32.66,32.87,32.49,32.62,29.44,1827200
2017-07-13,32.55,32.75,32.42,32.71,29.67,1643100
2017-07-14,32.77,32.91,32.68,32.83,29.78,1350400
2017-07-17,32.83,33.22,32.68,33.19,30.11,1594300
2017-07-18,33.19,33.3,32.77,32.83,29.78,1200700
2017-07-19,32.86,32.96,32.44,32.62,29.59,4302300
2017-07-20,32.66,33.08,32.62,32.93,29.87,1737000
2017-07-21,32.85,33.24,32.85,33.23,30.14,1030300
2017-07-24,33.2,33.39,33.18,33.31,30.22,1888200
2017-07-25,33.4,34.12,33.22,34.11,30.94,2435100
2017-07-26,34.09,34.41,33.91,34.01,30.85,2801800
2017-07-27,34.01,34.34,33.92,34.33,31.14,1521100
2017-07-28,34.3,34.34,34.06,34.15,30.98,992000
2017-07-31,34.15,34.34,33.97,34.17,31.0,1796300
2017-08-01,34.23,34.24,33.68,34.14,30.97,1552600
2017-08-02,34.12,34.28,33.77,34.16,30.99,1112300
2017-08-03,34.17,34.39,33.9,33.93,30.78,1279200
2017-08-04,34.01,34.01,33.6,33.67,30.54,1222700
2017-08-07,33.75,34.22,33.75,34.2,31.02,1743300
2017-08-08,34.15,34.15,33.55,33.66,30.53,1826500
2017-08-09,33.67,33.75,33.47,33.61,30.49,1814100
2017-08-10,33.48,33.93,33.44,33.66,30.53,1534800
2017-08-11,33.7,34.24,33.57,34.01,30.85,1250000
2017-08-14,34.14,34.53,34.1,34.42,31.22,1368700
2017-08-15,34.42,34.45,34.1,34.24,31.06,1365300
2017-08-16,34.24,34.47,34.23,34.35,31.16,1093100
2017-08-17,34.2,34.32,33.84,33.86,30.72,1819600
2017-08-18,33.96,34.25,33.83,34.09,30.92,1782300
2017-08-21,34.14,34.2,33.92,33.93,30.78,2330000
2017-08-22,33.98,34.42,33.9,34.38,31.19,1730400
2017-08-23,34.28,34.42,33.9,33.92,30.77,2669000
2017-08-24,31.61,32.35,30.86,32.09,29.11,10569200
2017-08-25,31.45,31.95,31.3,31.34,28.43,5070500
2017-08-28,31.39,31.51,30.88,31.05,28.17,3190900
2017-08-29,31.02,31.26,30.81,30.97,28.09,2644300
2017-08-30,30.9,31.11,30.83,30.86,27.99,2425500
2017-08-31,30.82,30.94,30.66,30.74,27.88,3174500
2017-09-01,30.89,30.96,30.59,30.92,28.05,1900100
2017-09-05,30.82,31.1,30.5,30.7,27.85,2172400
2017-09-06,30.73,30.86,30.53,30.85,27.98,2776500
2017-09-07,30.9,31.25,30.9,31.25,28.35,3304600
2017-09-08,31.13,31.66,31.07,31.6,28.67,3113100
2017-09-11,31.7,31.92,31.64,31.68,28.74,2016700
2017-09-12,31.71,31.86,31.59,31.77,28.82,1169700
2017-09-13,31.7,31.8,31.28,31.33,28.42,3029900
2017-09-14,31.25,31.34,30.79,30.91,28.04,3507500
2017-09-15,30.87,31.41,30.87,31.38,28.47,3231100
2017-09-18,31.49,31.73,31.39,31.65,28.71,1798600
2017-09-19,31.65,31.75,31.31,31.73,28.78,2056400
2017-09-20,31.75,32.03,31.25,31.43,28.51,2228900
2017-09-21,31.5,31.66,31.04,31.19,28.29,1386100
2017-09-22,31.31,31.56,31.17,31.27,28.37,1719100
2017-09-25,31.25,31.57,31.06,31.53,28.6,1672800
2017-09-26,31.6,32.2,31.53,31.7,28.76,1586500
2017-09-27,31.72,31.75,31.1,31.33,28.42,2181500
2017-09-28,31.29,31.71,31.23,31.71,28.76,3167300
2017-09-29,31.92,32.36,31.92,32.14,29.15,4090800
2017-10-02,32.17,32.28,31.89,31.92,28.96,3023000
2017-10-03,32.0,32.14,31.7,31.78,28.83,2094500
2017-10-04,31.78,31.91,31.52,31.76,28.81,2692400
2017-10-05,31.79,31.96,31.63,31.67,28.73,1906100
2017-10-06,31.69,31.77,31.48,31.62,28.68,1638000
2017-10-09,31.72,31.88,31.18,31.25,28.35,2172200
2017-10-10,31.39,31.79,31.39,31.75,28.8,1552800
2017-10-11,31.79,31.97,31.62,31.72,28.77,1719400
2017-10-12,31.68,31.93,31.61,31.8,28.85,1554000
2017-10-13,31.8,32.01,31.73,31.85,28.89,2242000
2017-10-16,31.79,31.9,31.41,31.52,28.59,2004800
2017-10-17,31.38,31.63,31.36,31.51,28.58,1731800
2017-10-18,31.53,31.58,31.12,31.34,28.43,3221500
2017-10-19,31.27,31.28,30.43,30.62,27.78,4172700
2017-10-20,30.54,30.79,30.29,30.74,28.04,3071600
2017-10-23,30.6,30.64,30.19,30.43,27.76,2428400
2017-10-24,30.5,30.54,30.02,30.27,27.61,2257500
2017-10-25,30.26,30.35,29.75,30.32,27.66,2962000
2017-10-26,30.39,30.61,30.21,30.37,27.7,2043700
2017-10-27,30.33,30.45,30.1,30.38,27.71,1817600
2017-10-30,30.27,30.38,30.1,30.15,27.5,2156200
2017-10-31,30.52,31.2,30.44,31.16,28.42,4948600
2017-11-01,30.97,31.46,30.9,31.21,28.47,3326200
2017-11-02,31.04,31.62,31.0,31.51,28.74,3135200
2017-11-03,31.29,31.56,31.14,31.32,28.57,2761300
2017-11-06,31.09,31.14,30.69,30.77,28.07,2832100
2017-11-07,30.81,31.51,30.8,31.5,28.73,3022400
2017-11-08,31.65,32.19,31.55,32.15,29.33,2539900
2017-11-09,32.06,32.35,31.77,31.95,29.14,2247100
2017-11-10,31.92,32.43,31.86,32.33,29.49,1839500
2017-11-13,32.33,32.7,32.25,32.45,29.6,1882300
2017-11-14,32.38,33.08,32.35,32.98,30.08,2778300
2017-11-15,32.83,33.17,32.72,33.08,30.18,3200300
2017-11-16,33.1,33.26,32.85,32.93,30.04,3107600
2017-11-17,32.86,33.26,32.83,33.12,30.21,1986600
2017-11-20,33.21,33.42,33.07,33.4,30.47,3317100
2017-11-21,34.48,35.69,34.29,34.52,31.49,6793900
2017-11-22,34.32,34.66,34.08,34.27,31.26,3144000
2017-11-24,34.4,34.5,34.29,34.41,31.39,1035400
2017-11-27,34.39,34.65,33.96,34.18,31.18,4252800
