Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,27.95,28.19,27.82,28.08,27.39,1976100
2017-05-25,28.11,28.22,27.08,27.21,26.54,2997700
2017-05-26,27.21,27.56,27.1,27.42,26.75,2191200
2017-05-30,27.45,27.46,26.97,27.22,26.55,4116100
2017-05-31,27.19,27.51,26.72,27.47,26.8,8096800
2017-06-01,27.46,28.06,27.29,27.97,27.28,5646000
2017-06-02,28.05,28.31,27.9,28.16,27.47,2423800
2017-06-05,28.13,28.26,27.46,27.47,26.8,2576000
2017-06-06,27.3,27.62,27.04,27.47,26.8,1825400
2017-06-07,27.63,27.63,26.83,26.9,26.24,2855900
2017-06-08,26.9,27.57,26.74,27.45,26.78,1619900
2017-06-09,27.5,27.69,27.18,27.36,26.69,1983100
2017-06-12,27.09,27.47,26.82,26.82,26.16,2091700
2017-06-13,26.85,27.67,26.82,27.66,26.98,2242700
2017-06-14,27.65,27.65,26.81,26.9,26.24,2088500
2017-06-15,26.61,26.92,26.44,26.7,26.05,2881800
2017-06-16,26.75,26.82,26.08,26.43,25.78,3239800
2017-06-19,26.56,26.68,26.36,26.61,25.96,2468900
2017-06-20,26.47,26.57,26.24,26.41,25.76,1404900
2017-06-21,26.42,26.44,25.26,25.32,24.7,3174000
2017-06-22,25.32,25.56,25.06,25.3,24.68,2829100
2017-06-23,25.2,25.65,25.11,25.54,24.91,5125900
2017-06-26,22.67,24.66,22.65,24.01,23.42,20212400
2017-06-27,23.67,23.91,21.76,21.84,21.3,21131000
2017-06-28,22.05,23.45,22.03,23.1,22.53,10870100
2017-06-29,23.05,23.29,22.8,22.82,22.26,6027300
2017-06-30,22.82,22.94,22.13,22.65,22.1,7657800
2017-07-03,22.74,23.19,22.69,22.84,22.28,3383100
2017-07-05,22.89,23.04,22.67,22.99,22.43,5642900
2017-07-06,22.95,23.25,22.75,22.92,22.36,4444000
2017-07-07,22.93,23.32,22.79,23.13,22.56,3127500
2017-07-10,23.48,24.15,23.25,23.83,23.25,5407600
2017-07-11,23.92,24.21,23.7,24.02,23.43,4333200
2017-07-12,24.22,24.45,24.08,24.19,23.6,2790000
2017-07-13,24.46,24.54,24.16,24.45,23.85,4456800
2017-07-14,24.27,24.56,24.1,24.39,23.79,2624000
2017-07-17,24.4,25.23,24.32,24.95,24.34,4296900
2017-07-18,24.91,25.04,24.68,24.88,24.27,2805500
2017-07-19,25.0,25.2,24.82,25.12,24.5,2238100
