Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,145.52,146.04,144.58,145.8,115.18,3904090
2017-05-25,146.51,146.97,146.22,146.46,115.7,2701504
2017-05-26,146.13,146.27,145.37,145.78,115.16,2555692
2017-05-30,145.27,145.96,144.92,145.06,114.59,3834636
2017-05-31,145.34,146.08,144.98,145.92,115.27,3706396
2017-06-01,146.08,146.15,144.96,145.96,115.3,3052333
2017-06-02,146.34,146.46,145.12,145.36,114.83,3750642
2017-06-05,145.14,146.2,145.01,145.71,115.1,4157955
2017-06-06,145.32,146.17,145.32,145.67,115.07,3971871
2017-06-07,146.32,147.42,144.17,144.34,114.02,5089522
2017-06-08,144.36,146.1,144.28,145.41,114.87,3879614
2017-06-09,145.32,147.48,145.2,147.32,116.38,4562129
2017-06-12,147.41,150.29,147.25,148.36,117.19,6769189
2017-06-13,148.6,148.64,147.37,147.47,116.49,3685581
2017-06-14,147.2,148.13,146.21,147.05,116.16,3189359
2017-06-15,146.55,147.89,146.55,147.44,116.47,4868398
2017-06-16,147.45,148.59,146.24,148.55,117.35,7052132
2017-06-19,148.67,149.01,147.74,148.03,116.94,4842457
2017-06-20,147.69,148.56,147.47,148.14,117.02,4687858
2017-06-21,148.94,148.94,146.64,147.03,116.14,4141846
2017-06-22,147.75,148.17,146.93,147.61,116.61,2485819
2017-06-23,147.55,147.88,147.04,147.33,116.39,3433181
2017-06-26,147.91,148.9,147.83,148.4,117.23,2252561
2017-06-27,148.18,148.51,147.71,147.94,116.87,2496279
2017-06-28,148.33,148.71,147.97,148.49,117.3,2323166
2017-06-29,148.52,148.89,146.86,147.35,116.4,3412261
2017-06-30,147.5,147.71,146.41,147.07,116.17,3735789
2017-07-03,146.83,149.17,146.77,148.74,117.5,2952335
2017-07-05,148.92,149.03,146.87,146.91,116.05,3728362
2017-07-06,146.62,147.07,145.54,145.66,115.06,2884345
2017-07-07,145.91,146.74,145.45,146.21,115.5,2573265
2017-07-10,146.19,147.12,145.92,146.67,115.87,3353685
2017-07-11,146.52,146.89,145.36,146.45,115.69,3606085
2017-07-12,146.73,147.46,146.32,146.94,116.08,3240403
2017-07-13,146.94,147.41,146.45,146.87,116.02,2590001
2017-07-14,147.24,147.82,146.65,147.46,116.48,3406194
2017-07-17,146.84,147.11,145.54,146.28,115.56,4981680
2017-07-18,145.66,147.5,145.32,147.23,116.3,7914873
2017-07-19,143.42,143.64,140.26,141.04,111.42,14951106
2017-07-20,141.04,142.28,140.56,141.17,111.52,7543961
2017-07-21,141.1,141.37,140.07,140.61,111.08,6808937
2017-07-24,140.54,140.57,139.39,139.57,110.25,4055970
2017-07-25,140.12,141.0,139.61,139.76,110.41,4402509
2017-07-26,139.84,140.02,138.12,138.97,109.78,4113290
2017-07-27,138.62,139.01,137.32,138.69,109.56,6726617
2017-07-28,138.44,138.66,137.51,137.94,108.97,3195321
2017-07-31,138.03,138.56,137.83,138.31,109.26,4556062
2017-08-01,138.62,139.26,138.36,138.91,109.73,3367597
2017-08-02,138.74,138.9,137.88,138.1,109.09,3703781
2017-08-03,138.08,138.95,138.08,138.57,109.46,3175028
2017-08-04,138.62,139.0,138.05,138.78,109.63,2666672
2017-08-07,138.62,138.71,136.47,137.16,108.35,4830742
2017-08-08,135.76,136.48,135.76,135.86,108.46,3450440
2017-08-09,135.52,135.78,134.98,135.54,108.2,3060387
2017-08-10,135.41,136.16,135.02,135.6,108.25,4733568
2017-08-11,136.19,136.32,135.3,135.6,108.25,3142184
2017-08-14,135.76,136.48,135.7,136.06,108.62,2352036
2017-08-15,136.28,137.04,134.4,135.82,108.43,4896849
2017-08-16,135.55,136.63,135.38,136.23,108.76,3439039
2017-08-17,136.25,136.61,134.51,134.51,107.38,4625517
2017-08-18,134.67,134.94,133.44,133.56,106.62,4343724
2017-08-21,133.45,134.24,133.01,134.16,107.1,3337472
2017-08-22,134.46,134.94,134.21,134.81,107.62,2661442
2017-08-23,134.51,136.76,134.49,135.89,108.48,4234522
2017-08-24,136.23,137.36,135.99,136.65,109.09,3757441
2017-08-25,137.0,137.85,136.95,137.42,109.7,3005053
2017-08-28,137.77,138.2,136.13,136.24,108.76,5319956
2017-08-29,135.85,137.12,135.66,136.85,109.24,3147937
2017-08-30,136.96,136.98,136.15,136.29,108.8,2861856
2017-08-31,136.73,137.34,136.36,136.74,109.16,3824594
2017-09-01,136.69,138.15,136.69,137.74,109.96,3505878
2017-09-05,137.19,138.01,136.42,136.75,109.17,3239985
2017-09-06,137.55,138.12,137.19,137.5,109.76,3423872
2017-09-07,137.76,138.28,136.15,136.62,109.06,4380857
2017-09-08,136.85,136.85,135.41,136.19,108.72,3521045
2017-09-11,137.23,138.75,136.72,138.49,110.56,4825616
2017-09-12,138.73,139.93,138.15,139.35,111.24,5479053
2017-09-13,138.96,139.86,138.95,139.57,111.42,4289646
2017-09-14,139.45,139.94,139.11,139.14,111.08,3929717
2017-09-15,138.45,138.79,137.74,138.45,110.53,7737471
2017-09-18,138.44,139.08,137.93,138.19,110.32,3158397
2017-09-19,138.42,138.6,137.88,138.04,110.2,3623762
2017-09-20,138.56,139.46,138.07,139.46,111.33,5698085
2017-09-21,139.24,139.47,138.72,138.87,110.86,2673158
2017-09-22,139.19,139.19,138.23,138.75,110.76,2920746
2017-09-25,138.74,139.61,138.54,139.46,111.33,5452903
2017-09-26,139.92,140.94,139.52,140.11,111.85,4695076
2017-09-27,140.23,140.44,138.65,139.25,111.17,3663824
2017-09-28,139.25,139.45,137.87,139.25,111.17,2902441
2017-09-29,139.05,139.28,138.55,138.7,110.72,2776816
