Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,60.04,60.12,59.63,59.94,56.39,1451200
2017-05-25,60.21,60.7,59.96,60.44,56.86,1518500
2017-05-26,60.37,60.75,60.28,60.35,56.78,1346200
2017-05-30,60.12,60.44,60.06,60.16,56.6,1981300
2017-05-31,60.86,60.86,59.91,60.19,56.63,2710500
2017-06-01,60.65,60.67,60.11,60.34,56.77,2777900
2017-06-02,60.3,60.59,60.22,60.32,56.75,2609700
2017-06-05,60.38,61.97,60.27,61.7,58.05,3963900
2017-06-06,61.37,61.79,61.26,61.55,57.91,3409300
2017-06-07,61.55,63.73,61.54,63.62,59.85,4773900
2017-06-08,63.62,64.17,63.42,63.79,60.01,3746100
2017-06-09,63.83,64.57,63.56,63.97,60.18,4046800
2017-06-12,63.9,64.48,63.66,64.43,60.61,3243200
2017-06-13,64.45,64.79,64.32,64.46,60.64,2326900
2017-06-14,64.0,64.75,63.94,64.67,61.03,2054900
2017-06-15,64.49,64.74,64.16,64.61,60.97,1680500
2017-06-16,64.63,64.74,64.39,64.57,60.94,2301400
2017-06-19,64.74,65.0,64.57,64.77,61.12,2575100
2017-06-20,64.5,64.88,64.46,64.52,60.89,1751100
2017-06-21,64.43,64.5,63.93,64.29,60.67,2323900
2017-06-22,64.13,64.5,63.9,64.15,60.54,2360700
2017-06-23,64.47,64.49,64.1,64.28,60.66,2372700
2017-06-26,64.33,64.53,64.21,64.35,60.73,1602700
2017-06-27,64.81,65.71,64.37,65.38,61.7,3946200
2017-06-28,65.82,66.27,65.4,66.14,62.42,3729500
2017-06-29,66.64,66.73,65.64,65.84,62.13,2860400
2017-06-30,65.91,66.25,65.71,65.92,62.21,2373400
2017-07-03,66.07,66.9,65.95,66.68,62.93,1906800
2017-07-05,66.66,66.89,65.97,66.18,62.46,2689100
2017-07-06,66.17,66.69,65.84,65.97,62.26,2717500
2017-07-07,66.13,66.46,65.67,65.92,62.21,2591900
2017-07-10,65.91,66.03,65.5,65.5,61.81,3111500
2017-07-11,65.57,66.1,65.24,65.42,61.74,3013800
2017-07-12,65.44,65.87,65.19,65.87,62.16,2661900
2017-07-13,66.62,67.33,66.12,66.88,63.12,3162800
2017-07-14,66.36,66.36,65.47,65.55,61.86,2851600
2017-07-17,65.61,66.42,65.41,65.82,62.12,2122100
2017-07-18,65.6,65.84,65.33,65.72,62.02,2012800
