Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,108.71,109.87,107.85,108.39,102.23,380100
2017-05-25,108.71,109.2,107.38,107.86,101.73,515000
2017-05-26,107.75,108.45,107.21,107.72,101.6,344600
2017-05-30,107.24,108.07,106.93,107.91,101.78,466300
2017-05-31,107.96,109.15,106.44,108.47,102.31,2849900
2017-06-01,108.74,108.99,107.87,108.89,102.71,461100
2017-06-02,109.22,110.78,108.98,110.1,103.85,448400
2017-06-05,109.9,110.28,109.51,109.82,103.58,251300
2017-06-06,109.54,110.04,108.99,109.56,103.34,313800
2017-06-07,109.7,110.19,109.37,109.6,103.38,427800
2017-06-08,109.43,110.51,109.15,110.3,104.04,409700
2017-06-09,110.34,111.4,110.18,110.99,104.69,380600
2017-06-12,111.15,111.9,110.27,111.03,104.72,429200
2017-06-13,110.99,111.81,110.57,111.81,105.46,373500
2017-06-14,111.82,112.25,111.43,111.98,105.62,317400
2017-06-15,110.85,113.04,110.85,113.02,106.6,246500
2017-06-16,112.73,113.52,112.5,113.2,106.77,610600
2017-06-19,113.96,114.93,113.21,114.82,108.3,249600
2017-06-20,114.45,114.94,112.49,112.64,106.24,285200
2017-06-21,112.44,112.63,110.91,111.1,104.79,288800
2017-06-22,111.12,111.63,110.77,111.54,105.21,225000
2017-06-23,111.5,112.84,111.21,112.7,106.3,426200
2017-06-26,113.11,113.17,112.14,112.59,106.2,223800
2017-06-27,112.58,112.81,111.48,111.48,105.15,253500
2017-06-28,112.15,112.78,111.82,112.57,106.18,356800
2017-06-29,112.77,112.77,110.97,111.57,105.23,280500
2017-06-30,112.02,113.45,111.86,113.01,106.59,366600
2017-07-03,113.49,114.67,112.86,113.51,107.06,161000
2017-07-05,113.82,114.2,113.03,113.48,107.04,349500
2017-07-06,113.22,114.23,112.5,112.67,106.27,620100
2017-07-07,112.78,114.47,112.46,114.13,107.65,174600
2017-07-10,113.97,114.55,113.68,113.94,107.47,213700
2017-07-11,113.79,113.98,113.07,113.74,107.28,239900
2017-07-12,114.34,115.19,113.88,114.26,108.12,430100
2017-07-13,114.36,114.48,112.9,113.19,107.11,241200
2017-07-14,113.2,114.39,113.13,113.94,107.82,357200
2017-07-17,113.85,114.79,113.33,114.19,108.06,224900
2017-07-18,113.85,114.23,113.25,113.37,107.28,200000
2017-07-19,113.46,114.42,113.25,114.42,108.27,196900
2017-07-20,113.98,114.98,113.29,114.29,108.15,240200
2017-07-21,113.85,114.61,113.64,113.97,107.85,230300
2017-07-24,113.91,114.03,113.42,113.88,107.76,257100
2017-07-25,114.56,115.06,112.71,113.14,107.06,523400
2017-07-26,113.3,118.08,113.3,117.04,110.75,606800
2017-07-27,117.56,117.97,114.08,115.54,109.33,567900
2017-07-28,115.23,116.88,113.35,116.61,110.35,326900
2017-07-31,116.97,117.25,116.44,116.54,110.28,273700
2017-08-01,116.77,117.2,115.21,115.59,109.38,525800
2017-08-02,115.59,115.76,114.44,115.46,109.26,431900
