Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,136.12,138.51,136.12,137.9,123.04,439900
2017-05-25,137.9,138.9,137.57,138.41,123.49,1105500
2017-05-26,138.46,138.85,138.03,138.44,123.52,243900
2017-05-30,137.94,138.14,136.59,136.99,122.23,458500
2017-05-31,137.19,138.07,136.45,137.89,123.03,429000
2017-06-01,137.72,139.77,137.59,138.18,123.29,411500
2017-06-02,138.22,139.34,138.02,139.24,124.23,279700
2017-06-05,139.42,140.44,138.95,139.45,124.42,326900
2017-06-06,138.87,139.69,138.21,138.8,123.84,347000
2017-06-07,138.22,139.68,137.74,137.87,123.01,362600
2017-06-08,137.87,137.87,135.12,135.69,121.07,521000
2017-06-09,136.12,137.23,135.86,137.2,122.41,482900
2017-06-12,137.37,137.67,136.25,136.44,121.74,297100
2017-06-13,136.12,136.97,134.47,136.5,121.79,441200
2017-06-14,136.65,137.29,135.01,136.51,121.8,485100
2017-06-15,135.88,136.41,134.05,135.09,120.53,709600
2017-06-16,135.12,135.59,134.01,134.58,120.08,1135200
2017-06-19,135.1,136.65,134.54,136.14,121.47,389100
2017-06-20,136.21,137.33,136.03,136.19,121.51,373700
2017-06-21,136.82,137.37,135.71,136.08,121.42,454300
2017-06-22,135.83,135.83,134.33,135.13,121.14,310000
2017-06-23,135.23,136.71,134.82,136.15,122.05,402200
2017-06-26,136.46,138.0,135.75,137.07,122.88,398800
2017-06-27,137.07,137.11,135.29,135.37,121.35,296300
2017-06-28,136.25,136.94,135.67,135.91,121.84,376600
2017-06-29,136.04,136.04,132.39,133.48,119.66,422900
2017-06-30,133.86,135.94,133.86,135.0,121.02,420000
2017-07-03,135.6,136.06,134.83,134.9,120.93,149100
2017-07-05,134.99,135.41,133.85,134.21,120.31,401700
2017-07-06,133.28,133.47,132.03,132.16,118.47,275900
2017-07-07,132.21,132.61,131.48,131.88,118.22,420300
2017-07-10,131.83,132.51,131.13,131.69,118.05,325700
2017-07-11,131.82,132.37,130.94,131.98,118.31,288700
2017-07-12,132.71,133.72,132.42,133.56,119.73,354100
2017-07-13,133.55,133.58,132.03,132.73,118.99,516500
2017-07-14,132.95,134.36,132.46,133.73,119.88,392100
2017-07-17,133.76,134.4,133.13,133.88,120.02,385600
2017-07-18,133.77,135.69,133.77,135.06,121.07,303500
2017-07-19,135.38,136.27,134.63,135.23,121.23,370000
2017-07-20,135.13,135.13,132.66,133.37,119.56,396300
2017-07-21,133.18,133.18,131.39,133.01,119.24,406100
2017-07-24,132.88,132.88,131.27,132.51,118.79,372200
2017-07-25,133.17,134.86,132.85,132.98,119.21,527600
2017-07-26,133.04,133.94,132.76,133.38,119.57,505700
2017-07-27,133.37,134.25,133.09,133.58,119.75,449900
2017-07-28,133.64,133.81,132.59,133.15,119.36,340600
2017-07-31,133.36,133.99,132.86,133.18,119.39,438700
2017-08-01,133.68,135.13,133.46,134.57,120.64,445800
2017-08-02,134.36,135.61,133.56,133.84,119.98,636800
2017-08-03,134.02,134.85,133.25,134.33,120.42,672000
2017-08-04,134.61,135.01,134.27,134.8,120.84,354700
2017-08-07,134.76,135.48,134.53,134.81,120.85,439700
2017-08-08,134.68,136.01,134.37,134.64,120.7,667500
2017-08-09,136.22,140.0,134.61,139.68,125.22,1016600
