Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,35.98,36.18,35.89,36.12,31.76,20640600
2017-05-25,36.12,36.39,36.06,36.26,31.89,13148500
2017-05-26,36.26,36.33,36.13,36.26,31.89,11145500
2017-05-30,36.27,36.44,36.09,36.18,31.82,13026900
2017-05-31,36.31,36.38,35.87,36.11,31.76,17741900
2017-06-01,36.12,36.13,35.8,36.12,31.76,17510900
2017-06-02,36.27,36.33,36.0,36.32,31.94,19127400
2017-06-05,36.3,36.5,36.2,36.34,31.96,11685700
2017-06-06,36.16,36.45,35.98,36.13,31.77,18420900
2017-06-07,36.13,36.57,36.1,36.26,31.89,17192000
2017-06-08,36.34,36.53,36.16,36.48,32.08,17154200
2017-06-09,36.5,36.56,35.31,35.71,31.4,33322100
2017-06-12,35.59,36.01,35.41,35.73,31.42,28488300
2017-06-13,35.68,35.95,35.53,35.88,31.55,20588200
2017-06-14,35.99,36.05,35.22,35.53,31.25,19149000
2017-06-15,35.21,35.48,35.14,35.31,31.05,20410000
2017-06-16,35.28,35.33,35.01,35.21,30.96,30762800
2017-06-19,35.61,35.61,35.32,35.51,31.23,21583800
2017-06-20,35.45,35.45,34.84,34.86,30.66,21536500
2017-06-21,34.33,34.6,34.09,34.58,30.41,27138500
2017-06-22,34.56,34.63,34.29,34.36,30.22,24602900
2017-06-23,34.21,34.55,34.1,34.19,30.07,29260900
2017-06-26,34.26,34.51,34.03,34.07,29.96,18854800
2017-06-27,34.0,34.15,33.65,33.65,29.59,27078900
2017-06-28,33.77,34.24,33.74,34.2,30.08,25940100
2017-06-29,33.92,34.1,33.34,33.54,29.5,25215700
2017-06-30,33.87,33.93,33.53,33.74,29.67,24432000
2017-07-03,33.51,34.03,33.43,33.46,29.43,12676900
2017-07-05,33.52,34.43,33.49,34.34,30.2,30010800
2017-07-06,34.12,34.29,33.56,33.63,29.57,20733200
2017-07-07,33.7,34.12,33.7,33.88,29.79,18304500
2017-07-10,33.25,33.74,33.23,33.65,29.59,29918400
2017-07-11,33.64,33.93,33.43,33.92,29.83,25737500
2017-07-12,34.28,34.39,33.94,34.25,30.12,23768300
2017-07-13,34.33,34.4,34.12,34.24,30.11,15046200
2017-07-14,34.48,34.71,34.27,34.68,30.5,16316400
2017-07-17,34.74,34.74,34.36,34.47,30.31,21044400
2017-07-18,34.43,34.58,34.25,34.53,30.37,14362800
2017-07-19,34.68,34.68,34.46,34.56,30.39,17036200
2017-07-20,34.54,34.84,34.48,34.75,30.56,17506200
