Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,49.02,49.67,48.99,49.4,40.45,2056877
2017-05-25,49.51,49.63,49.21,49.39,40.44,1665418
2017-05-26,49.34,49.78,49.11,49.64,40.64,1345661
2017-05-30,50.24,50.89,49.93,50.45,41.31,3037584
2017-05-31,50.5,50.58,49.8,50.08,41.0,3368006
2017-06-01,50.19,51.09,50.02,51.02,41.77,3539184
2017-06-02,50.99,51.72,50.97,51.51,42.17,2595754
2017-06-05,51.42,51.55,51.14,51.27,41.97,3003898
2017-06-06,51.08,51.22,50.64,50.99,41.75,2741798
2017-06-07,51.31,51.54,50.94,51.14,41.87,1615046
2017-06-08,51.14,51.14,50.61,50.82,41.61,2008301
2017-06-09,51.03,51.99,50.97,51.98,42.56,2446118
2017-06-12,51.98,52.41,51.88,52.17,42.71,3621235
2017-06-13,52.08,53.0,52.05,52.9,43.31,2879078
2017-06-14,52.64,53.27,52.61,52.93,43.33,2243894
2017-06-15,52.8,53.26,52.56,52.85,43.27,1849690
2017-06-16,52.92,53.6,52.67,53.51,43.81,4207526
2017-06-19,53.93,54.06,53.56,53.92,44.15,2090986
2017-06-20,53.84,53.98,53.63,53.68,43.95,1833744
2017-06-21,53.75,53.85,53.06,53.23,43.58,2121821
2017-06-22,53.27,53.55,52.94,53.45,43.76,2508739
2017-06-23,53.5,54.1,53.27,53.84,44.08,9524170
2017-06-26,53.84,53.98,53.36,53.72,43.98,2035651
2017-06-27,53.85,54.2,53.2,53.2,43.56,1308173
2017-06-28,53.13,53.5,52.47,53.01,43.4,3076762
2017-06-29,53.07,53.18,52.52,52.73,43.17,1897421
2017-06-30,52.95,53.87,52.93,53.61,43.89,1720330
2017-07-03,53.87,54.17,53.77,53.96,44.18,924845
2017-07-05,53.92,54.11,53.48,53.74,44.0,1542710
2017-07-06,53.55,53.64,53.08,53.15,43.52,1557600
2017-07-07,53.21,53.64,53.06,53.38,43.7,1224643
2017-07-10,53.28,54.47,53.13,54.2,44.38,2014214
2017-07-11,54.28,54.39,53.86,54.02,44.22,1250198
2017-07-12,54.26,54.41,54.06,54.18,44.35,1509446
2017-07-13,54.73,55.82,54.63,55.07,45.08,3182467
2017-07-14,55.04,55.26,54.89,55.07,45.08,1153574
2017-07-17,54.92,55.37,54.74,55.09,45.1,1708714
2017-07-18,54.56,54.81,54.35,54.57,44.68,1540070
2017-07-19,54.6,54.84,54.42,54.46,44.59,1831949
2017-07-20,54.45,54.61,53.64,53.9,44.13,2115485
2017-07-21,53.8,53.92,53.44,53.64,43.91,2671469
2017-07-24,53.63,53.93,53.44,53.74,44.0,1302048
2017-07-25,54.26,54.31,53.64,53.88,44.11,1641552
2017-07-26,53.94,53.94,53.3,53.4,43.72,1919174
2017-07-27,52.93,54.47,52.04,54.44,44.57,2884042
2017-07-28,54.39,54.51,51.35,51.84,42.44,6632314
2017-07-31,51.77,52.25,51.54,52.06,42.63,3182256
2017-08-01,52.42,52.61,51.91,52.4,42.9,2801146
2017-08-02,52.23,52.36,51.29,51.64,42.28,2115379
2017-08-03,51.61,51.98,50.65,50.81,41.6,3204326
2017-08-04,51.06,51.44,50.89,51.07,41.81,1740182
2017-08-07,51.16,51.62,50.95,51.42,42.1,1578403
2017-08-08,51.42,51.49,51.06,51.13,41.86,1657075
