Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,24.3,24.47,24.26,24.43,20.04,2579000
2017-05-25,24.52,24.76,24.5,24.7,20.27,1941300
2017-05-26,24.69,24.77,24.59,24.69,20.26,2522100
2017-05-30,24.69,24.85,24.63,24.71,20.27,2764900
2017-05-31,24.74,24.94,24.66,24.93,20.45,3597800
2017-06-01,24.82,25.18,24.71,25.15,20.79,2449900
2017-06-02,25.28,25.33,25.14,25.21,20.83,2258100
2017-06-05,25.11,25.3,25.02,25.06,20.71,1789400
2017-06-06,24.8,24.8,24.14,24.24,20.03,4730700
2017-06-07,24.23,24.23,23.55,23.71,19.6,4031500
2017-06-08,23.71,23.81,23.33,23.76,19.64,4521800
2017-06-09,23.77,24.07,23.61,24.07,19.89,3526700
2017-06-12,24.08,24.39,24.07,24.34,20.12,2643400
2017-06-13,24.34,24.51,24.29,24.45,20.21,3053100
2017-06-14,24.45,24.67,24.43,24.52,20.26,3888100
2017-06-15,24.37,24.5,24.25,24.37,20.14,2581300
2017-06-16,24.29,24.45,24.19,24.41,20.17,4328000
2017-06-19,24.54,25.05,24.48,24.85,20.54,2909700
2017-06-20,24.8,24.88,24.34,24.36,20.13,3083800
2017-06-21,24.35,24.47,24.11,24.2,20.0,3335200
2017-06-22,24.23,24.42,24.1,24.13,19.94,2267400
2017-06-23,24.18,24.32,24.08,24.25,20.04,4941100
2017-06-26,24.26,24.8,24.14,24.7,20.41,3393600
2017-06-27,24.65,24.81,24.61,24.7,20.41,2937000
2017-06-28,24.82,25.24,24.8,25.01,20.67,2702100
2017-06-29,24.95,25.05,24.68,24.7,20.41,3705500
2017-06-30,24.82,24.82,24.43,24.6,20.33,3611400
2017-07-03,24.71,25.19,24.71,25.09,20.74,2383600
2017-07-05,25.08,25.17,24.92,25.11,20.75,2694100
2017-07-06,25.04,25.37,24.82,24.83,20.52,4406000
2017-07-07,24.83,24.83,24.44,24.75,20.45,3345200
2017-07-10,24.75,24.93,24.72,24.82,20.51,2059200
2017-07-11,24.83,24.87,24.35,24.57,20.31,3486400
2017-07-12,24.72,24.93,24.45,24.51,20.26,2953500
2017-07-13,24.51,24.68,24.46,24.57,20.31,2177900
2017-07-14,24.61,24.76,24.52,24.69,20.41,1968400
2017-07-17,24.71,25.01,24.71,24.89,20.57,2252800
2017-07-18,24.85,25.0,24.7,24.9,20.58,2552400
2017-07-19,25.06,25.16,24.78,24.83,20.52,3201700
2017-07-20,24.6,25.58,24.6,25.44,21.02,4189600
2017-07-21,25.38,25.6,25.38,25.51,21.08,2158500
2017-07-24,25.55,25.71,25.37,25.57,21.13,3278100
2017-07-25,23.48,23.49,21.59,22.16,18.31,26954900
2017-07-26,21.91,22.17,21.28,21.44,17.72,12762800
2017-07-27,21.11,21.37,20.94,21.35,17.64,16540800
2017-07-28,21.4,21.79,21.36,21.61,17.86,7662600
2017-07-31,21.65,21.71,21.37,21.61,17.86,4864800
2017-08-01,21.61,21.82,21.57,21.74,17.97,4322600
2017-08-02,21.72,21.72,21.45,21.7,17.93,3515000
2017-08-03,21.7,22.02,21.66,21.83,18.04,5383600
2017-08-04,21.81,21.9,21.21,21.31,17.61,5711000
2017-08-07,21.26,21.59,21.2,21.55,17.81,3712000
2017-08-08,21.48,21.56,21.12,21.15,17.48,5720600
2017-08-09,21.02,21.24,20.93,21.14,17.47,3832700
2017-08-10,21.05,21.13,20.75,20.78,17.17,4532500
2017-08-11,20.74,20.94,20.65,20.67,17.08,4538500
2017-08-14,21.16,21.38,20.97,21.15,17.48,3661200
2017-08-15,21.15,21.25,20.91,20.98,17.34,5685900
2017-08-16,21.04,21.17,20.96,21.06,17.41,2628700
