Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,34.81,35.17,34.6,34.8,24.66,1256000
2017-05-25,34.91,35.13,34.75,35.08,24.86,949900
2017-05-26,35.11,35.25,34.99,35.17,24.92,708900
2017-05-30,35.15,35.39,35.01,35.04,24.83,658100
2017-05-31,35.16,35.31,34.83,34.92,24.74,1590800
2017-06-01,34.99,35.04,34.64,34.99,24.79,1202400
2017-06-02,35.22,35.69,35.16,35.26,24.98,946800
2017-06-05,35.14,35.35,34.76,34.81,24.66,955400
2017-06-06,34.99,35.1,34.7,35.0,24.8,689300
2017-06-07,34.5,34.6,32.53,33.69,23.87,4726800
2017-06-08,33.69,33.69,33.06,33.45,23.7,2320700
2017-06-09,33.24,33.46,33.03,33.31,23.6,1414400
2017-06-12,33.31,34.31,33.31,34.3,24.3,1482000
2017-06-13,33.72,34.42,33.7,34.21,24.63,1491600
2017-06-14,34.5,34.65,34.08,34.19,24.62,911800
2017-06-15,33.94,34.79,33.93,34.62,24.93,1020000
2017-06-16,34.74,34.75,34.06,34.21,24.63,1900900
2017-06-19,34.2,34.73,34.16,34.72,25.0,742700
2017-06-20,34.74,34.95,34.6,34.81,25.07,1068600
2017-06-21,34.75,34.75,33.98,34.05,24.52,980900
2017-06-22,34.04,34.23,33.83,34.12,24.57,835400
2017-06-23,34.12,34.59,34.07,34.52,24.86,1266900
2017-06-26,34.59,34.85,34.57,34.75,25.02,524600
2017-06-27,34.56,34.99,34.23,34.27,24.68,697700
2017-06-28,34.51,34.98,34.3,34.72,25.0,743100
2017-06-29,34.55,34.79,33.88,34.19,24.62,919500
2017-06-30,34.21,34.51,33.92,34.36,24.74,1007500
2017-07-03,34.65,35.04,34.62,34.88,25.12,469000
2017-07-05,34.81,34.89,34.2,34.52,24.86,864700
2017-07-06,34.38,34.55,33.89,34.07,24.53,838400
2017-07-07,34.19,34.66,34.06,34.43,24.79,866300
2017-07-10,34.4,34.44,33.45,33.46,24.09,1358400
2017-07-11,33.49,33.49,32.92,33.34,24.01,1121400
2017-07-12,33.6,34.15,33.5,33.99,24.48,935800
2017-07-13,33.97,34.13,33.82,33.94,24.44,965300
2017-07-14,34.23,34.88,34.11,34.78,25.04,943900
2017-07-17,34.64,34.82,34.36,34.74,25.02,853400
2017-07-18,34.71,34.85,34.57,34.68,24.97,598100
2017-07-19,34.69,34.99,34.56,34.95,25.17,477900
2017-07-20,34.98,35.12,34.68,34.69,24.98,821100
2017-07-21,34.69,35.06,34.61,35.0,25.2,606300
2017-07-24,34.98,35.05,34.67,34.89,25.12,691500
2017-07-25,35.0,35.0,34.63,34.86,25.1,793800
2017-07-26,35.04,35.11,34.76,34.96,25.17,956600
2017-07-27,34.95,35.01,34.67,34.76,25.03,827700
2017-07-28,34.79,35.44,34.35,35.19,25.34,1752900
2017-07-31,35.19,36.72,35.19,36.43,26.23,2486700
2017-08-01,36.37,37.25,36.37,36.87,26.55,1540900
2017-08-02,36.83,37.02,36.49,36.92,26.59,1049000
2017-08-03,37.0,37.76,36.87,37.4,26.93,1239200
2017-08-04,37.35,37.57,36.77,37.0,26.64,1056700
2017-08-07,36.91,37.23,36.77,37.12,26.73,543700
2017-08-08,37.07,37.66,37.05,37.18,26.77,1014500
2017-08-09,37.33,38.37,37.25,38.31,27.59,1728200
2017-08-10,38.2,38.2,37.74,37.83,27.24,1283100
2017-08-11,37.71,37.74,37.09,37.13,26.74,1066500
2017-08-14,37.39,37.86,37.28,37.63,27.1,958000
2017-08-15,37.55,37.55,37.09,37.39,26.92,966400
2017-08-16,37.51,37.64,36.98,37.49,27.0,2085100
2017-08-17,37.47,37.73,37.09,37.13,26.74,1332800
2017-08-18,37.15,37.21,36.64,36.89,26.56,835000
2017-08-21,36.97,37.8,36.92,37.58,27.06,838500
2017-08-22,37.58,37.92,37.5,37.73,27.17,849200
2017-08-23,37.65,38.72,37.6,38.39,27.64,1312300
2017-08-24,38.37,38.8,38.17,38.53,27.75,1276400
2017-08-25,38.73,38.78,38.47,38.47,27.7,947600
2017-08-28,38.47,39.28,38.34,39.06,28.13,1781200
2017-08-29,39.03,39.43,38.98,39.24,28.26,1368700
2017-08-30,39.11,39.58,38.97,39.51,28.45,1358000
2017-08-31,39.6,39.74,39.36,39.42,28.39,1388100
2017-09-01,39.44,39.56,39.29,39.44,28.4,901700
2017-09-05,39.53,39.99,39.4,39.56,28.49,1303200
2017-09-06,39.64,39.73,39.21,39.24,28.26,1210600
2017-09-07,39.43,39.94,39.4,39.87,28.71,905600
2017-09-08,39.77,40.23,39.77,40.04,28.83,1379700
2017-09-11,40.05,40.39,40.01,40.38,29.08,937800
2017-09-12,40.37,40.44,40.01,40.14,28.9,1055700
2017-09-13,40.12,40.17,39.59,39.71,28.59,1376500
2017-09-14,39.16,39.25,38.55,39.15,28.59,1411500
2017-09-15,39.13,39.66,39.13,39.47,28.82,4769800
2017-09-18,39.51,39.87,39.27,39.42,28.78,1044800
2017-09-19,39.47,39.84,39.41,39.84,29.09,1276300
2017-09-20,39.91,40.1,39.42,39.72,29.0,1452200
2017-09-21,39.67,39.9,39.42,39.77,29.04,918700
2017-09-22,39.88,40.64,39.88,40.13,29.3,821400
2017-09-25,40.19,40.44,40.0,40.08,29.27,935900
2017-09-26,40.19,40.2,39.35,39.36,28.74,1038700
2017-09-27,39.29,39.38,38.08,38.13,27.84,1832000
2017-09-28,38.11,38.87,37.96,38.78,28.32,1042100
2017-09-29,38.73,39.1,38.6,38.9,28.41,1091300
2017-10-02,38.83,39.37,38.62,39.25,28.66,1018300
