Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,99.69,100.22,99.18,99.99,99.99,2413800
2017-05-25,100.43,101.27,100.0,100.84,100.84,1798200
2017-05-26,101.49,101.64,100.92,101.15,101.15,1879200
2017-05-30,100.68,101.72,100.34,101.6,101.6,2787300
2017-05-31,101.98,102.43,101.18,101.63,101.63,2813400
2017-06-01,101.68,102.14,101.31,102.12,102.12,2275200
2017-06-02,102.58,103.06,102.14,102.74,102.74,2193300
2017-06-05,102.36,102.88,101.94,102.45,102.45,1967400
2017-06-06,102.02,103.3,102.01,102.71,102.71,1728000
2017-06-07,103.21,103.64,102.69,103.56,103.56,2145600
2017-06-08,103.89,104.13,102.94,103.32,103.32,2418300
2017-06-09,103.87,103.92,100.69,101.82,101.82,3168900
2017-06-12,101.22,101.6,97.39,100.37,100.37,5867100
2017-06-13,100.58,101.7,100.04,100.91,100.91,2722500
2017-06-14,101.96,102.0,100.32,100.65,100.65,2864700
2017-06-15,100.08,100.19,99.12,99.88,99.88,2939400
2017-06-16,100.11,101.95,100.06,101.65,101.65,5169600
2017-06-19,102.11,104.15,102.07,104.13,104.13,3676500
2017-06-20,104.3,105.44,104.25,104.48,104.48,3322800
2017-06-21,104.7,106.04,104.56,105.92,105.92,3257100
2017-06-22,106.09,107.06,105.61,106.02,106.02,2448000
2017-06-23,105.65,106.04,104.88,105.44,105.44,7218000
2017-06-26,105.82,106.09,104.18,104.49,104.49,2776500
2017-06-27,104.59,104.88,103.34,104.0,104.0,3457800
2017-06-28,104.31,105.34,103.55,105.15,105.15,3243600
2017-06-29,104.97,104.97,102.62,103.39,103.39,2820600
2017-06-30,103.87,104.43,102.5,103.93,103.93,2241900
2017-07-03,104.55,104.62,102.29,102.41,102.41,1465200
2017-07-05,103.13,104.48,103.13,104.23,104.23,3417300
2017-07-06,103.61,104.44,103.22,103.87,103.87,1954800
2017-07-07,104.27,105.35,104.18,104.92,104.92,2087100
2017-07-10,104.83,105.65,104.22,105.25,105.25,2894400
2017-07-11,105.49,105.49,104.13,104.72,104.72,2960100
2017-07-12,105.56,106.17,105.24,105.37,105.37,2467800
2017-07-13,105.73,105.91,104.21,104.28,104.28,2797200
2017-07-14,104.49,106.01,104.49,105.75,105.75,2558700
2017-07-17,106.1,106.29,104.89,105.34,105.34,3664800
2017-07-18,105.36,105.62,104.49,105.18,105.18,2882700
2017-07-19,105.87,107.49,105.85,107.42,107.42,4391100
2017-07-20,107.67,108.3,106.97,107.97,107.97,5978700
2017-07-21,107.21,107.55,102.86,103.05,103.05,9221400
2017-07-24,102.98,105.93,102.98,105.46,105.46,4516200
2017-07-25,105.75,105.96,104.57,104.99,104.99,3209400
2017-07-26,105.12,105.57,104.38,104.88,104.88,2392200
2017-07-27,104.9,105.11,102.33,103.54,103.54,3948300
2017-07-28,103.39,104.78,103.01,104.58,104.58,4383000
2017-07-31,104.83,105.11,103.71,104.25,104.25,3421800
2017-08-01,104.33,105.0,103.79,104.55,104.55,2440800
2017-08-02,104.38,104.6,103.0,103.66,103.66,2728800
2017-08-03,103.26,104.37,103.12,103.8,103.8,2529000
2017-08-04,104.25,104.25,102.63,103.45,103.45,2924100
2017-08-07,103.3,104.13,103.07,104.07,104.07,2724300
2017-08-08,103.68,104.21,103.28,103.82,103.82,2050200
2017-08-09,103.82,105.08,103.44,104.83,104.83,2380500
2017-08-10,104.39,104.79,103.1,103.26,103.26,2286000
2017-08-11,103.36,104.89,103.36,104.69,104.69,2174400
2017-08-14,105.67,107.47,105.67,107.17,107.17,2938500
2017-08-15,107.47,110.05,107.22,109.49,109.49,5291100
2017-08-16,109.56,110.17,109.0,109.88,109.88,2520900
2017-08-17,109.75,110.33,108.02,108.12,108.12,2911500
2017-08-18,108.17,110.26,107.62,109.37,109.37,3463200
2017-08-21,109.12,109.44,108.27,109.19,109.19,3467700
2017-08-22,109.21,110.89,109.19,110.73,110.73,2854800
2017-08-23,110.42,110.42,109.24,109.63,109.63,1849500
2017-08-24,109.66,110.18,109.24,110.06,110.06,2079900
2017-08-25,110.12,110.33,108.48,108.74,108.74,2463300
2017-08-28,109.11,109.85,108.95,109.56,109.56,1660500
2017-08-29,109.08,109.89,108.56,109.71,109.71,2466900
2017-08-30,109.12,110.72,109.0,110.67,110.67,1909800
2017-08-31,110.67,111.74,110.26,111.63,111.63,4147200
2017-09-01,111.32,112.07,110.82,111.86,111.86,1608300
2017-09-05,111.99,114.01,111.89,113.49,113.49,3115800
2017-09-06,113.75,114.33,112.34,113.6,113.6,1980900
2017-09-07,113.6,115.32,113.59,115.16,115.16,1569600
2017-09-08,114.76,117.2,113.89,115.84,115.84,2818800
2017-09-11,115.91,117.11,115.12,116.16,116.16,3333600
2017-09-12,116.06,116.47,115.76,116.11,116.11,1769400
2017-09-13,115.8,115.99,115.11,115.88,115.88,1270800
2017-09-14,115.64,116.12,115.28,115.61,115.61,1928700
2017-09-15,115.5,115.89,115.14,115.34,115.34,3330000
2017-09-18,115.69,116.55,115.17,116.25,116.25,2216700
2017-09-19,115.87,117.0,115.63,116.16,116.16,1812600
2017-09-20,116.15,116.89,115.56,116.26,116.26,1462500
2017-09-21,116.46,116.53,114.42,114.47,114.47,2160000
2017-09-22,114.5,114.76,113.58,114.61,114.61,1481400
2017-09-25,114.98,114.98,112.62,113.04,113.04,2056500
2017-09-26,113.55,114.08,112.6,112.96,112.96,1569600
2017-09-27,113.19,113.98,113.17,113.79,113.79,1908900
2017-09-28,113.82,114.36,113.4,113.99,113.99,1607400
2017-09-29,114.24,116.53,114.03,116.21,116.21,2050200
2017-10-02,116.57,118.3,116.4,117.83,117.83,2566800
2017-10-03,118.29,119.56,118.07,119.32,119.32,3003300
2017-10-04,119.73,121.11,119.58,120.54,120.54,2503800
2017-10-05,121.38,121.62,119.33,121.08,121.08,3529800
2017-10-06,120.7,122.5,120.07,120.49,120.49,2670000
2017-10-09,121.18,121.18,117.96,118.2,118.2,2584500
2017-10-10,118.97,119.15,117.6,118.33,118.33,1704900
2017-10-11,119.1,120.17,118.71,120.1,120.1,1613400
2017-10-12,121.3,121.64,120.43,120.84,120.84,2528400
