Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,114.0,116.22,113.46,116.11,116.11,599700
2017-05-25,116.52,118.67,115.24,117.88,117.88,529200
2017-05-26,117.73,118.43,117.32,117.72,117.72,517000
2017-05-30,117.84,118.56,117.21,118.48,118.48,585900
2017-05-31,118.5,119.85,117.9,119.6,119.6,1443000
2017-06-01,119.6,120.76,119.05,120.57,120.57,597100
2017-06-02,120.92,120.92,119.95,120.87,120.87,515500
2017-06-05,121.08,121.99,120.52,120.58,120.58,335100
2017-06-06,120.57,121.18,120.05,120.28,120.28,434500
2017-06-07,120.76,120.81,119.28,119.71,119.71,380200
2017-06-08,119.71,120.44,119.34,120.35,120.35,270800
2017-06-09,120.11,120.67,118.11,118.71,118.71,368600
2017-06-12,118.25,119.66,117.05,119.44,119.44,352200
2017-06-13,119.25,120.81,119.25,120.77,120.77,274100
2017-06-14,121.41,122.66,120.42,121.72,121.72,429000
2017-06-15,121.01,122.89,120.88,122.65,122.65,319900
2017-06-16,122.72,122.93,121.66,122.31,122.31,589800
2017-06-19,122.7,123.72,122.7,123.69,123.69,329100
2017-06-20,123.59,124.37,122.96,122.99,122.99,315400
2017-06-21,122.99,123.36,122.5,123.22,123.22,283300
2017-06-22,123.36,123.53,122.22,123.0,123.0,194600
2017-06-23,122.99,124.33,122.6,123.98,123.98,553200
2017-06-26,124.12,124.39,122.82,123.59,123.59,416400
2017-06-27,123.7,123.98,122.82,122.88,122.88,568800
2017-06-28,123.38,124.92,122.69,124.61,124.61,397500
2017-06-29,124.4,124.54,122.52,123.56,123.56,400200
2017-06-30,124.42,124.52,123.42,123.51,123.51,726700
2017-07-03,124.24,124.92,123.68,124.1,124.1,278300
2017-07-05,124.42,125.44,123.91,125.2,125.2,413200
2017-07-06,124.56,124.88,123.31,124.36,124.36,356100
2017-07-07,124.85,126.47,124.52,125.37,125.37,536800
2017-07-10,125.63,126.51,125.24,126.22,126.22,333300
2017-07-11,126.2,126.67,125.51,126.08,126.08,336900
2017-07-12,126.79,128.29,126.53,127.0,127.0,284000
2017-07-13,127.0,127.3,125.89,126.16,126.16,332900
2017-07-14,126.27,127.0,126.15,126.83,126.83,213400
2017-07-17,126.75,127.44,126.15,126.85,126.85,195400
2017-07-18,126.74,127.17,126.01,127.15,127.15,398100
2017-07-19,127.84,128.9,127.47,128.85,128.85,536300
2017-07-20,128.99,129.24,127.44,127.44,127.44,495000
2017-07-21,127.26,128.65,126.99,128.26,128.26,655100
2017-07-24,128.38,128.94,128.24,128.46,128.46,437800
2017-07-25,128.91,129.02,128.21,128.47,128.47,273000
2017-07-26,128.57,129.57,128.52,129.53,129.53,212100
2017-07-27,129.77,130.02,126.61,128.23,128.23,333900
2017-07-28,128.0,128.32,127.28,128.03,128.03,362400
2017-07-31,128.27,128.94,127.15,128.32,128.32,409800
2017-08-01,129.13,129.13,127.52,128.22,128.22,826900
2017-08-02,128.18,128.18,126.06,126.81,126.81,414400
2017-08-03,126.65,127.73,126.18,127.56,127.56,472000
2017-08-04,127.68,128.3,126.68,126.94,126.94,466000
2017-08-07,127.24,127.84,125.63,126.25,126.25,747800
2017-08-08,121.73,123.34,119.58,122.3,122.3,1911500
2017-08-09,122.1,122.36,119.05,120.1,120.1,1085800
2017-08-10,119.46,120.14,116.8,117.11,117.11,987500
2017-08-11,117.51,117.65,115.86,116.92,116.92,952400
2017-08-14,118.05,118.74,117.46,117.82,117.82,492500
2017-08-15,117.76,117.89,116.77,117.18,117.18,440800
2017-08-16,117.12,119.09,116.61,119.08,119.08,692000
2017-08-17,118.91,120.45,118.27,120.32,120.32,1017100
2017-08-18,119.87,120.06,118.88,119.51,119.51,746200
2017-08-21,119.71,119.71,117.61,118.75,118.75,437600
2017-08-22,119.04,119.5,118.46,119.27,119.27,459600
2017-08-23,118.76,119.12,118.58,118.72,118.72,399200
2017-08-24,119.04,119.21,118.61,118.74,118.74,375000
2017-08-25,119.05,119.24,118.56,118.75,118.75,356100
2017-08-28,118.91,119.2,118.39,118.84,118.84,344500
2017-08-29,118.16,118.64,117.14,118.08,118.08,498500
