Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,139.3,139.71,138.49,139.52,123.93,862100
2017-05-25,139.98,140.73,139.16,140.5,124.8,891200
2017-05-26,140.06,140.78,140.03,140.37,124.68,693900
2017-05-30,140.11,141.42,139.79,141.1,125.33,972500
2017-05-31,140.98,141.49,140.29,141.22,125.44,1223600
2017-06-01,143.16,143.69,142.0,143.34,127.32,1343400
2017-06-02,143.56,144.86,143.14,143.61,127.56,1084000
2017-06-05,143.64,144.37,143.54,144.02,127.92,1490900
2017-06-06,143.69,144.11,142.79,142.98,127.0,963300
2017-06-07,143.11,144.71,142.72,144.57,128.41,1513600
2017-06-08,144.57,144.96,143.1,144.59,128.43,1455300
2017-06-09,144.69,145.38,143.81,144.8,128.62,1140500
2017-06-12,144.8,145.6,143.47,144.72,128.55,1139100
2017-06-13,145.12,146.67,144.68,146.42,130.06,1175400
2017-06-14,146.96,147.0,145.98,146.74,130.34,1259800
2017-06-15,145.29,148.23,145.25,148.21,131.65,1104200
2017-06-16,148.57,149.56,148.39,148.63,132.02,2145600
2017-06-19,149.32,150.24,148.79,150.18,133.4,890200
2017-06-20,149.36,150.29,149.01,149.6,132.88,1296400
2017-06-21,149.67,149.95,146.52,146.61,130.23,2165200
2017-06-22,146.44,146.64,145.46,146.19,129.85,1196200
2017-06-23,146.27,146.58,145.62,145.78,129.49,1344600
2017-06-26,146.01,146.3,144.9,145.34,129.1,837400
2017-06-27,144.71,145.44,142.16,142.27,126.37,1702100
2017-06-28,142.76,144.23,142.28,143.63,128.16,773900
2017-06-29,143.67,143.8,141.09,141.62,126.37,1049800
2017-06-30,142.04,143.93,142.04,143.25,127.83,1231700
2017-07-03,144.2,144.81,143.7,144.11,128.59,469500
2017-07-05,144.39,145.76,144.15,145.48,129.81,1079200
2017-07-06,145.03,145.65,144.05,144.35,128.81,836900
2017-07-07,144.7,146.98,144.53,146.06,130.33,989400
2017-07-10,145.62,147.23,145.62,146.24,130.49,1088700
2017-07-11,146.21,146.54,144.71,145.82,130.12,1085500
2017-07-12,146.78,147.51,146.02,146.24,130.49,754300
2017-07-13,146.1,146.12,144.5,144.7,129.12,1157200
2017-07-14,144.96,145.96,144.73,145.7,130.01,911100
2017-07-17,145.43,146.71,144.96,146.21,130.47,801400
2017-07-18,145.97,146.79,145.65,146.64,130.85,907800
2017-07-19,146.95,147.72,146.44,147.68,131.78,940700
2017-07-20,147.46,147.72,146.53,147.12,131.28,1178600
2017-07-21,146.52,147.89,145.93,147.29,131.43,1642700
2017-07-24,143.45,143.87,140.02,141.98,126.69,3224800
2017-07-25,143.0,143.57,140.58,141.65,126.4,2068700
2017-07-26,141.71,141.83,139.99,140.07,124.99,1307300
2017-07-27,140.37,140.85,139.51,140.82,125.66,1394600
2017-07-28,140.69,141.07,139.91,140.83,125.67,1305900
2017-07-31,141.21,141.72,140.56,140.71,125.56,1181200
2017-08-01,141.1,141.34,139.56,139.91,124.84,1621300
2017-08-02,140.07,141.77,140.07,141.77,126.5,1484700
2017-08-03,141.8,141.84,140.17,141.43,126.2,1419300
2017-08-04,141.6,143.06,141.38,142.88,127.49,1223300
2017-08-07,141.68,142.51,140.84,141.67,126.42,1335600
2017-08-08,141.95,141.95,140.93,141.34,126.12,1009500
2017-08-09,141.25,141.78,140.29,140.73,125.58,1306600
2017-08-10,140.54,140.85,137.35,137.47,122.67,2062200
2017-08-11,138.12,138.92,137.8,138.36,123.46,964300
2017-08-14,139.56,139.88,138.86,139.05,124.08,777800
2017-08-15,139.06,139.71,138.99,139.09,124.11,1165000
2017-08-16,139.53,140.19,138.9,140.03,124.95,1091400
2017-08-17,138.55,138.95,136.13,136.19,121.53,1633300
2017-08-18,135.98,137.51,135.54,135.67,121.06,1123700
2017-08-21,135.6,136.04,135.07,135.6,121.0,1150600
2017-08-22,136.17,138.08,135.95,137.87,123.02,918900
2017-08-23,137.19,137.47,136.44,136.48,121.78,729000
2017-08-24,136.75,136.91,135.7,135.87,121.24,740900
2017-08-25,136.71,137.38,136.44,136.81,122.08,621700
2017-08-28,137.11,137.49,136.2,136.53,121.83,591800
2017-08-29,135.87,137.09,135.2,136.85,122.11,912100
2017-08-30,136.75,137.22,136.3,136.94,122.19,1016900
2017-08-31,137.41,137.77,136.97,137.51,122.7,867800
2017-09-01,138.0,138.66,137.59,137.72,122.89,706700
2017-09-05,137.32,137.79,136.04,136.45,121.76,1069800
2017-09-06,137.15,137.4,136.58,136.9,122.16,1097300
2017-09-07,137.25,138.71,136.67,138.13,123.26,1219400
2017-09-08,137.84,140.41,137.84,140.04,124.96,1302900
2017-09-11,140.87,141.53,140.39,141.52,126.28,1125300
2017-09-12,141.81,142.86,141.35,142.85,127.47,810900
2017-09-13,142.49,143.2,142.14,143.0,127.6,753200
2017-09-14,142.78,145.47,142.3,145.07,129.45,1901400
2017-09-15,144.97,145.83,143.89,145.64,129.96,1915700
2017-09-18,145.98,147.04,145.62,146.94,131.12,712000
2017-09-19,147.1,148.1,146.9,148.0,132.06,1025700
2017-09-20,148.13,148.28,147.27,147.76,131.85,932000
2017-09-21,147.76,148.1,147.28,147.34,131.47,825700
2017-09-22,147.35,147.92,147.14,147.4,131.53,793200
2017-09-25,147.34,147.56,146.07,147.07,131.23,1112100
2017-09-26,147.32,147.63,146.81,147.09,131.25,617900
2017-09-27,147.63,148.11,146.87,147.76,131.85,931600
2017-09-28,146.9,147.6,146.43,147.2,132.05,697500
2017-09-29,146.95,148.05,146.62,147.96,132.73,1006100
2017-10-02,147.96,150.16,147.96,150.16,134.7,1180900
2017-10-03,150.21,150.87,149.58,149.79,134.37,1586300
2017-10-04,149.78,150.34,149.47,150.01,134.57,1376100
2017-10-05,150.08,152.62,149.82,151.5,135.9,1336300
2017-10-06,151.1,151.68,150.73,151.63,136.02,801000
2017-10-09,152.1,152.25,151.26,151.7,136.08,750900
2017-10-10,152.5,152.5,151.38,151.62,136.01,930200
2017-10-11,151.62,151.65,150.87,151.44,135.85,974300
2017-10-12,151.26,153.35,151.04,153.23,137.46,814700
2017-10-13,154.0,154.38,152.68,152.82,137.09,702400
2017-10-16,153.47,153.8,153.02,153.41,137.62,535800
2017-10-17,153.04,153.39,152.65,153.07,137.31,725900
2017-10-18,153.24,154.39,152.74,153.76,137.93,785500
2017-10-19,153.29,153.75,152.67,153.48,137.68,876200
2017-10-20,154.34,155.12,153.83,155.03,139.07,1477800
2017-10-23,149.35,157.28,148.44,155.51,139.5,2293900
2017-10-24,156.63,159.36,156.0,158.42,142.11,2129300
2017-10-25,158.17,158.21,156.05,157.54,141.32,1621700
2017-10-26,158.67,158.98,157.43,157.5,141.29,950400
2017-10-27,157.5,159.12,157.48,159.06,142.69,1136500
2017-10-30,158.45,158.86,157.33,157.35,141.15,979100
2017-10-31,157.59,157.88,156.5,156.52,140.41,1015900
2017-11-01,156.96,157.03,154.97,155.12,139.15,1725100
2017-11-02,155.42,157.01,154.69,156.98,140.82,883900
