Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,31.28,31.31,30.92,31.18,24.65,2690700
2017-05-25,31.51,32.12,31.31,31.95,25.26,2435300
2017-05-26,31.78,32.03,31.64,32.0,25.3,1636200
2017-05-30,31.99,31.99,31.51,31.62,25.0,1534200
2017-05-31,31.85,31.9,31.16,31.7,25.06,2521000
2017-06-01,31.88,32.95,31.75,32.92,26.02,3170700
2017-06-02,32.7,33.17,32.57,32.93,26.03,3235400
2017-06-05,33.23,33.4,32.98,33.34,26.36,3359200
2017-06-06,33.16,33.58,33.0,33.41,26.41,3301500
2017-06-07,33.48,33.55,33.22,33.41,26.41,2638700
2017-06-08,33.41,34.1,33.31,33.88,26.78,2717600
2017-06-09,34.15,34.34,33.92,34.32,27.13,2898600
2017-06-12,34.31,34.7,34.26,34.45,27.23,2587900
2017-06-13,34.57,34.79,34.35,34.49,27.27,2151200
2017-06-14,34.29,34.73,34.14,34.68,27.42,2034800
2017-06-15,34.68,34.69,34.13,34.58,27.34,2085100
2017-06-16,34.55,34.72,34.38,34.61,27.36,3181300
2017-06-19,34.8,35.48,34.71,35.4,27.98,2665400
2017-06-20,35.26,35.39,35.07,35.07,27.72,1792900
2017-06-21,35.15,35.17,34.76,34.8,27.51,2266200
2017-06-22,34.74,35.18,34.71,34.99,27.66,1780300
2017-06-23,35.14,35.14,34.77,34.97,27.64,3361400
2017-06-26,35.17,35.36,34.86,35.01,27.68,2934300
2017-06-27,35.24,35.25,34.75,34.77,27.49,3341700
2017-06-28,35.05,35.32,34.74,35.31,27.91,3691500
2017-06-29,35.73,35.91,34.69,35.0,27.67,2729000
2017-06-30,35.3,35.44,35.06,35.19,27.82,2361500
2017-07-03,35.46,35.97,35.46,35.51,28.07,1497300
2017-07-05,35.56,35.82,35.3,35.5,28.06,2033900
2017-07-06,35.33,35.67,35.15,35.16,27.79,3101900
2017-07-07,35.48,35.99,35.28,35.92,28.4,3015500
2017-07-10,35.78,36.63,35.78,36.47,28.83,2942800
2017-07-11,36.48,36.48,35.63,35.72,28.24,2846900
2017-07-12,35.79,36.27,35.72,36.11,28.55,2616200
2017-07-13,36.1,36.1,35.55,35.9,28.38,3907800
2017-07-14,35.68,36.2,35.53,36.11,28.55,2049600
2017-07-17,36.48,36.48,35.82,36.17,28.59,1926100
2017-07-18,35.94,36.18,35.81,35.94,28.41,2115400
2017-07-19,36.11,36.21,35.92,36.2,28.62,1493900
2017-07-20,36.31,36.43,36.1,36.14,28.57,2184500
2017-07-21,36.08,36.26,35.87,36.05,28.5,1749700
2017-07-24,36.05,36.34,35.98,36.27,28.67,1971000
2017-07-25,36.72,36.84,36.44,36.53,28.88,2189300
2017-07-26,36.6,36.75,36.29,36.44,28.81,2800000
2017-07-27,36.34,36.34,33.86,34.6,27.35,6188200
2017-07-28,34.32,34.73,34.11,34.36,27.16,4236100
2017-07-31,34.55,35.17,34.44,34.77,27.49,5075800
2017-08-01,34.94,35.23,34.73,35.2,27.83,2172200
2017-08-02,35.11,35.22,34.6,34.63,27.38,4404500
2017-08-03,34.59,35.11,34.32,34.53,27.3,2532700
2017-08-04,34.78,34.8,34.42,34.57,27.33,1987400
2017-08-07,34.67,34.8,34.44,34.76,27.48,1634800
2017-08-08,34.64,35.11,34.53,34.61,27.36,2101900
2017-08-09,34.38,34.58,34.17,34.57,27.33,1902700
2017-08-10,34.29,34.42,33.52,33.54,26.51,2480100
2017-08-11,33.53,34.1,33.36,33.99,26.87,2768200
2017-08-14,34.29,34.29,33.94,34.0,26.88,1799700
2017-08-15,33.9,33.99,33.65,33.82,26.97,1723100
2017-08-16,34.02,34.15,33.61,33.66,26.84,2014200
2017-08-17,33.5,33.6,32.76,32.77,26.13,2517500
2017-08-18,32.67,33.19,32.57,32.86,26.2,2974900
2017-08-21,32.81,32.93,32.59,32.88,26.22,1435300
2017-08-22,32.94,33.27,32.71,33.25,26.51,1773300
2017-08-23,32.98,33.26,32.85,32.87,26.21,1898600
2017-08-24,32.95,32.95,32.39,32.58,25.98,2279400
