Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,85.06,85.56,84.17,84.55,80.93,491700
2017-05-25,84.73,85.23,84.38,84.99,81.35,634200
2017-05-26,84.82,85.16,84.32,84.54,80.92,687900
2017-05-30,84.65,86.32,84.37,85.94,82.26,589400
2017-05-31,86.04,86.37,84.62,85.38,81.72,761300
2017-06-01,85.86,86.45,85.16,86.02,82.34,743900
2017-06-02,85.99,86.55,85.72,85.98,82.3,568400
2017-06-05,86.13,86.87,85.61,86.5,82.8,668700
2017-06-06,86.23,86.82,85.87,86.24,82.55,695400
2017-06-07,86.57,88.07,86.14,87.92,84.16,961500
2017-06-08,88.16,88.77,87.19,88.2,84.42,852400
2017-06-09,87.97,88.71,87.58,88.46,84.67,880500
2017-06-12,88.48,89.92,87.03,89.78,85.94,1570300
2017-06-13,89.74,90.8,89.3,90.57,86.69,885100
2017-06-14,90.73,90.84,89.35,89.87,86.02,700000
2017-06-15,89.1,90.32,88.36,90.29,86.42,701400
2017-06-16,90.12,90.12,89.15,89.58,85.75,1283500
2017-06-19,90.01,90.45,89.38,89.69,85.85,438100
2017-06-20,89.58,89.58,87.12,87.59,83.84,778100
2017-06-21,87.53,88.04,86.04,86.59,82.88,999800
2017-06-22,86.71,86.96,86.06,86.46,82.76,763200
2017-06-23,86.36,87.17,86.24,86.78,83.06,549600
2017-06-26,86.79,87.76,86.79,87.48,83.73,461200
2017-06-27,87.25,88.71,86.87,87.7,83.95,812600
2017-06-28,88.03,92.62,88.02,91.38,87.47,1725300
2017-06-29,91.47,92.11,90.16,90.89,87.0,1157100
2017-06-30,91.62,91.78,90.56,91.38,87.47,1223400
2017-07-03,92.04,93.48,92.04,93.22,89.23,551900
2017-07-05,93.21,94.17,92.82,93.25,89.26,1604900
2017-07-06,93.91,93.92,92.08,92.25,88.3,1085500
2017-07-07,92.71,93.94,92.26,93.65,89.64,1122200
2017-07-10,93.42,93.7,92.69,92.73,88.76,1155800
2017-07-11,92.42,92.72,91.26,91.47,87.55,824900
2017-07-12,92.17,93.39,91.52,91.95,88.01,582800
2017-07-13,92.09,92.25,90.89,91.26,87.35,1146100
2017-07-14,91.26,92.3,91.02,91.85,87.92,1031400
2017-07-17,90.48,94.45,90.28,93.53,89.53,2422100
2017-07-18,93.18,93.75,91.78,92.01,88.07,1125100
2017-07-19,92.08,92.14,91.12,91.7,87.77,804300
2017-07-20,91.51,91.77,90.66,91.53,87.61,530400
2017-07-21,91.3,92.16,90.51,91.56,87.64,1092700
2017-07-24,91.33,91.71,90.51,91.54,87.62,718300
2017-07-25,92.3,94.05,92.16,93.36,89.36,971000
2017-07-26,93.48,93.84,92.88,93.6,89.59,729600
2017-07-27,93.18,93.4,90.07,90.85,86.96,1078000
2017-07-28,90.7,91.61,90.36,90.37,86.5,712800
2017-07-31,90.48,91.03,90.21,90.71,86.83,644400
2017-08-01,91.47,91.47,88.83,89.51,85.68,756000
2017-08-02,89.09,90.11,89.01,89.64,85.8,553200
2017-08-03,89.29,89.85,88.91,89.29,85.69,842300
2017-08-04,89.48,90.99,89.32,90.53,86.88,766200
2017-08-07,90.39,90.91,89.87,90.66,87.0,553400
2017-08-08,90.39,91.57,89.81,90.91,87.24,651700
2017-08-09,90.66,92.2,90.15,92.17,88.45,1020000
2017-08-10,91.59,92.89,91.55,92.1,88.38,1332900
2017-08-11,92.73,95.23,92.73,94.7,90.88,1306500
2017-08-14,95.15,96.6,95.14,96.31,92.42,1604300
2017-08-15,96.4,97.79,96.21,97.38,93.45,1243800
2017-08-16,97.65,98.3,97.24,97.3,93.37,1166700
2017-08-17,97.0,97.4,95.93,96.89,92.98,1075400
2017-08-18,96.78,97.62,95.99,96.63,92.73,988800
2017-08-21,96.67,98.07,96.26,97.35,93.42,766800
2017-08-22,97.76,98.31,97.42,97.9,93.95,1040900
2017-08-23,97.6,97.68,96.83,97.09,93.17,530100
2017-08-24,97.17,97.5,96.3,96.56,92.66,784100
2017-08-25,96.98,98.39,96.64,97.66,93.72,833300
2017-08-28,98.05,99.35,98.05,99.12,95.12,633700
2017-08-29,98.75,101.21,98.5,100.06,96.02,911700
2017-08-30,99.96,100.77,99.65,99.78,95.75,1297400
2017-08-31,100.1,100.1,98.26,98.89,94.9,1021300
2017-09-01,99.41,99.91,98.51,99.35,95.34,566100
2017-09-05,99.22,99.62,98.14,98.61,94.63,809900
2017-09-06,98.94,99.55,98.28,99.09,95.09,852200
2017-09-07,99.51,100.91,99.24,100.74,96.68,1239900
2017-09-08,100.74,102.03,100.23,101.84,97.73,753800
2017-09-11,102.22,102.99,100.83,101.5,97.4,810400
2017-09-12,101.59,102.03,101.11,101.59,97.49,531000
2017-09-13,101.22,101.22,99.72,100.59,96.53,543700
2017-09-14,100.19,100.78,99.33,99.83,95.8,1321900
2017-09-15,100.02,101.72,99.66,101.57,97.47,1087900
2017-09-18,101.59,102.9,101.5,102.76,98.61,753000
2017-09-19,102.84,103.45,102.47,102.67,98.53,548700
2017-09-20,102.91,104.3,102.5,104.26,100.05,1217000
2017-09-21,104.58,105.72,104.06,104.67,100.45,787700
2017-09-22,104.8,105.92,104.67,105.75,101.48,510800
2017-09-25,105.47,105.88,104.33,104.93,100.7,766800
2017-09-26,105.1,107.39,104.59,107.08,102.76,1005500
2017-09-27,107.3,109.21,107.03,108.88,104.49,1262200
2017-09-28,108.84,109.54,108.53,108.9,104.51,567100
2017-09-29,111.09,111.6,109.77,111.08,106.6,1250500
2017-10-02,111.44,111.98,107.52,108.99,104.59,1171700
2017-10-03,109.53,110.64,108.56,109.07,104.67,717700
2017-10-04,108.78,109.46,108.34,108.66,104.28,1311800
2017-10-05,108.32,108.72,106.49,106.87,102.56,1105500
2017-10-06,106.83,107.98,106.33,106.73,102.42,732400
2017-10-09,106.68,106.92,105.09,105.91,101.64,737900
2017-10-10,106.09,106.32,105.39,106.17,101.89,705400
2017-10-11,106.26,106.46,105.11,105.68,101.42,631800
2017-10-12,105.8,108.42,105.6,108.35,103.98,1256100
2017-10-13,107.53,108.75,103.72,104.01,99.81,1972200
2017-10-16,103.45,103.45,100.25,101.64,97.54,1800400
2017-10-17,101.48,102.61,101.22,102.43,98.3,929000
2017-10-18,102.52,105.07,102.52,104.45,100.24,927000
2017-10-19,103.98,105.02,103.44,104.79,100.56,660800
2017-10-20,105.26,107.5,104.58,106.58,102.28,1086300
2017-10-23,108.5,108.74,106.59,107.41,103.08,641900
2017-10-24,107.44,108.27,106.12,106.31,102.02,906600
2017-10-25,106.2,106.66,105.65,106.23,101.94,910200
2017-10-26,106.31,109.42,106.21,108.88,104.49,620100
2017-10-27,108.74,109.67,108.41,109.61,105.19,635400
2017-10-30,108.67,108.67,105.01,105.26,101.01,1125100
2017-10-31,105.36,106.54,104.01,106.39,102.1,1194900
2017-11-01,106.74,107.7,106.01,106.18,101.9,641800
2017-11-02,106.2,107.42,105.52,107.38,103.27,525500
2017-11-03,107.17,108.41,106.18,107.22,103.12,736100
2017-11-06,106.97,108.63,106.3,107.84,103.71,830200
2017-11-07,107.54,108.35,106.17,106.65,102.57,972000
2017-11-08,106.4,106.4,103.04,104.36,100.37,1447300
2017-11-09,104.09,104.09,100.86,102.0,98.1,1255000
2017-11-10,102.03,102.27,101.22,101.85,97.95,729700
2017-11-13,101.92,103.04,101.47,102.58,98.65,918300
2017-11-14,102.02,102.72,101.65,102.47,98.55,848100
2017-11-15,102.35,102.9,101.15,101.54,97.65,677000
2017-11-16,101.88,103.2,101.22,102.98,99.04,848400
2017-11-17,103.73,104.29,100.97,101.44,97.56,999800
2017-11-20,101.34,101.99,100.78,101.72,97.83,358300
2017-11-21,102.28,103.39,101.51,103.22,99.27,770900
2017-11-22,103.36,104.53,103.16,104.01,100.03,474100
2017-11-24,104.0,104.98,103.96,104.16,100.17,206500
2017-11-27,104.29,104.75,103.25,103.64,99.67,465000
2017-11-28,104.34,106.05,103.31,106.03,101.97,764300
2017-11-29,105.97,108.7,105.52,108.64,104.48,922800
2017-11-30,108.9,111.89,108.16,111.14,106.89,1206000
2017-12-01,110.82,111.42,106.86,109.01,104.84,1077900
2017-12-04,110.68,112.5,110.0,110.2,105.98,1096100
2017-12-05,110.23,110.62,109.11,109.28,105.1,378400
2017-12-06,109.41,110.72,109.01,110.41,106.19,937900
2017-12-07,110.41,111.95,109.76,111.6,107.33,668700
2017-12-08,112.58,112.99,111.59,112.51,108.2,577100
2017-12-11,112.41,112.42,111.09,111.3,107.04,982800
2017-12-12,111.67,111.67,110.52,111.24,106.98,978700
2017-12-13,111.15,112.81,110.79,111.87,107.59,1089200
2017-12-14,112.0,112.24,110.95,111.39,107.13,796000
2017-12-15,111.89,113.04,111.02,112.37,108.07,1442300
2017-12-18,113.2,113.64,112.67,112.83,108.51,846400
2017-12-19,113.02,113.02,111.97,112.74,108.43,772000
2017-12-20,113.68,113.83,112.54,112.75,108.44,1323400
2017-12-21,113.16,113.49,111.1,112.72,108.41,846500
2017-12-22,112.63,114.96,112.33,114.53,110.15,789400
2017-12-26,115.0,115.74,114.4,114.92,110.52,503500
2017-12-27,114.96,115.55,114.43,115.47,111.05,348700
2017-12-28,111.38,115.37,111.33,115.24,110.83,1355500
2017-12-29,115.35,116.84,114.82,114.98,110.58,1133900
2018-01-02,115.96,116.89,114.74,116.09,111.65,863600
2018-01-03,116.33,118.05,115.95,116.87,112.4,980200
2018-01-04,117.17,118.06,115.43,116.89,112.42,1318000
2018-01-05,117.64,118.04,115.33,116.27,111.82,1436200
2018-01-08,116.14,118.17,116.13,118.03,113.51,828800
2018-01-09,118.4,120.54,118.34,120.31,115.71,945800
2018-01-10,120.35,120.66,119.39,120.11,115.51,889300
2018-01-11,117.36,121.19,116.75,120.93,116.3,937800
2018-01-12,121.33,121.51,119.62,121.06,116.43,978200
2018-01-16,121.42,121.49,119.69,120.64,116.02,1068200
2018-01-17,121.38,121.72,119.8,120.65,116.03,1241600
2018-01-18,118.94,122.18,117.18,121.45,116.8,1480500
2018-01-19,122.28,123.87,121.36,123.61,118.88,1317800
2018-01-22,123.61,125.51,122.31,125.39,120.59,1170100
2018-01-23,125.33,126.05,124.88,125.59,120.78,995500
2018-01-24,125.7,126.49,124.59,125.65,120.84,1030800
2018-01-25,125.98,126.24,123.44,123.99,119.25,813600
2018-01-26,124.84,125.55,123.46,125.03,120.25,623100
2018-01-29,122.3,124.46,120.26,121.76,117.1,1095000
2018-01-30,121.33,121.86,120.27,120.72,116.1,765000
2018-01-31,121.6,123.06,120.67,120.83,116.21,970800
2018-02-01,120.01,121.91,119.38,120.79,116.17,826900
2018-02-02,119.9,120.78,117.75,118.17,113.65,1853800
2018-02-05,117.64,118.12,114.5,114.63,110.24,2185800
2018-02-06,113.08,116.35,111.42,115.93,111.49,1988000
