Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,103.34,104.27,102.31,103.25,97.91,716500
2017-05-25,103.5,105.43,103.35,105.13,99.69,863100
2017-05-26,104.9,105.55,104.2,104.3,98.91,616100
2017-05-30,104.13,105.31,103.41,105.11,99.68,896800
2017-05-31,105.2,106.46,104.34,106.21,100.72,6847300
2017-06-01,105.9,106.39,104.05,105.11,99.68,1141800
2017-06-02,105.45,106.29,104.45,105.23,99.79,820100
2017-06-05,105.19,106.04,104.68,104.97,99.54,674100
2017-06-06,105.24,106.34,103.48,103.59,98.23,682300
2017-06-07,103.73,104.37,102.98,103.97,98.59,1030900
2017-06-08,104.05,104.31,103.01,103.9,98.53,700300
2017-06-09,103.94,104.63,102.54,103.27,97.93,465600
2017-06-12,103.11,103.87,102.24,103.57,98.22,553800
2017-06-13,103.36,104.23,102.95,104.21,98.82,583700
2017-06-14,103.88,104.51,103.12,103.89,98.52,535100
2017-06-15,102.79,104.41,102.06,104.39,98.99,579500
2017-06-16,104.25,104.84,102.01,104.79,99.37,657200
2017-06-19,105.49,105.51,104.15,104.7,99.29,565600
2017-06-20,104.34,105.28,104.22,104.66,99.25,264400
2017-06-21,104.86,105.24,104.33,104.94,99.51,350900
2017-06-22,105.06,105.25,104.15,104.94,99.51,292500
2017-06-23,105.0,106.03,104.84,105.6,100.14,402400
2017-06-26,106.01,106.11,105.17,105.37,99.92,365200
2017-06-27,105.18,105.77,104.55,104.68,99.27,258000
2017-06-28,105.21,105.98,104.28,105.28,99.84,373600
2017-06-29,105.19,105.19,103.12,103.7,98.34,401300
2017-06-30,104.14,104.49,103.6,103.87,98.5,391500
2017-07-03,104.41,104.73,103.2,103.21,97.87,189300
2017-07-05,103.29,104.23,103.16,103.68,98.32,417200
2017-07-06,103.2,103.36,102.4,102.62,97.31,463600
2017-07-07,102.63,104.17,102.63,103.6,98.24,297600
2017-07-10,103.63,104.16,103.26,103.83,98.46,240800
2017-07-11,103.85,104.02,103.15,103.91,98.54,256700
2017-07-12,104.48,105.29,104.11,105.25,99.81,378600
2017-07-13,105.33,105.36,104.39,104.9,99.48,225800
2017-07-14,104.93,105.6,104.93,105.2,99.76,266300
2017-07-17,105.22,105.59,104.83,105.52,100.06,188700
2017-07-18,105.67,105.74,104.84,105.2,99.76,295000
2017-07-19,105.69,106.49,105.24,106.15,100.66,289700
2017-07-20,106.1,106.98,106.08,106.45,100.95,331800
2017-07-21,106.04,106.78,105.5,106.19,100.7,235300
2017-07-24,106.07,106.42,105.74,106.19,100.7,331500
2017-07-25,106.42,106.63,105.89,106.48,100.97,467900
2017-07-26,106.5,107.14,106.19,106.69,101.17,336600
2017-07-27,106.99,107.1,106.12,106.69,101.17,311300
2017-07-28,106.48,107.27,106.3,107.08,101.54,292800
2017-07-31,104.06,107.74,104.06,107.32,101.77,339600
2017-08-01,109.67,109.67,106.93,107.38,101.83,563200
2017-08-02,107.3,107.3,105.19,105.69,100.23,413500
2017-08-03,105.7,105.93,104.71,105.9,100.42,405400
2017-08-04,106.27,106.61,105.56,106.03,100.55,232500
2017-08-07,106.0,106.81,105.74,106.62,101.11,270200
2017-08-08,106.58,106.92,105.89,106.58,101.07,179200
2017-08-09,106.14,106.66,105.73,106.37,100.87,268000
2017-08-10,106.13,106.6,105.7,106.07,100.59,237400
2017-08-11,106.16,106.66,105.45,105.74,100.27,263200
2017-08-14,106.47,106.73,105.95,106.35,100.85,495500
2017-08-15,106.48,107.99,105.94,106.51,101.0,529600
2017-08-16,105.0,105.0,100.05,101.59,96.34,1211300
