Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,85.88,85.97,85.24,85.71,74.62,9833800
2017-05-25,85.99,86.08,85.08,85.35,74.31,12238500
2017-05-26,85.11,85.56,85.02,85.36,74.32,8113500
2017-05-30,85.13,85.15,83.78,83.9,73.05,12603200
2017-05-31,83.73,83.82,81.64,82.15,71.52,28327900
2017-06-01,82.46,83.08,81.65,83.06,72.31,17123500
2017-06-02,82.29,82.99,81.98,82.64,71.95,14998500
2017-06-05,82.64,83.51,82.58,82.79,72.08,9080200
2017-06-06,82.29,83.22,82.13,82.96,72.23,12196800
2017-06-07,83.31,84.11,83.1,83.91,73.05,13711100
2017-06-08,83.91,85.73,83.89,84.95,73.96,17951000
2017-06-09,85.51,87.05,85.39,86.96,75.71,19120200
2017-06-12,86.96,87.74,86.89,86.98,75.73,16053400
2017-06-13,87.55,87.85,86.98,87.27,75.98,12557200
2017-06-14,86.77,87.31,85.82,87.09,75.82,16175700
2017-06-15,86.25,87.08,86.24,86.57,75.37,12509700
2017-06-16,86.85,86.96,86.02,86.18,75.03,16936600
2017-06-19,86.97,88.23,86.85,88.07,76.68,15972300
2017-06-20,87.75,87.92,87.37,87.52,76.2,11197800
2017-06-21,87.48,87.55,86.76,87.12,75.85,10005900
2017-06-22,86.93,87.36,86.65,87.02,75.76,12180600
2017-06-23,87.66,88.0,86.61,86.86,75.62,18812000
2017-06-26,87.01,87.67,86.62,87.24,75.95,10082400
2017-06-27,87.71,88.94,87.5,88.05,76.66,15415200
2017-06-28,88.6,90.07,88.6,89.82,78.2,17466200
2017-06-29,92.34,92.65,90.31,91.15,79.36,27697800
2017-06-30,91.96,92.0,91.16,91.4,79.58,16892700
2017-07-03,91.56,93.48,91.41,92.75,81.19,13208100
2017-07-05,93.12,93.79,92.61,93.68,82.01,17535400
2017-07-06,93.54,94.51,92.88,93.38,81.75,16596100
2017-07-07,93.96,94.17,93.23,93.85,82.16,12817800
2017-07-10,93.5,93.68,93.09,93.19,81.58,13987200
2017-07-11,93.33,93.33,92.28,92.83,81.26,13262300
2017-07-12,92.61,92.83,92.07,92.51,80.98,13540100
2017-07-13,92.69,93.38,92.34,93.1,81.5,12820100
2017-07-14,90.81,92.61,90.58,92.25,80.76,22235200
2017-07-17,91.82,91.99,91.25,91.39,80.0,14374200
2017-07-18,90.45,91.58,90.32,91.07,79.72,14719400
2017-07-19,91.34,91.62,91.0,91.2,79.84,11651200
2017-07-20,91.15,91.72,90.9,91.2,79.84,11561700
2017-07-21,91.06,91.36,90.52,90.89,79.57,10971300
2017-07-24,90.96,91.54,90.91,91.28,79.91,10725100
2017-07-25,92.37,93.52,92.27,92.8,81.24,16447700
2017-07-26,93.1,93.19,91.68,91.93,80.48,11815500
2017-07-27,91.83,92.06,91.16,91.55,80.14,12332400
2017-07-28,91.45,91.75,90.91,91.28,79.91,9351900
2017-07-31,91.51,92.36,91.5,91.8,80.36,11520300
2017-08-01,92.49,93.14,92.28,93.03,81.44,12523700
2017-08-02,92.87,93.21,92.51,93.11,81.51,10165600
2017-08-03,92.7,93.13,92.24,92.5,80.98,11078800
2017-08-04,93.5,94.4,93.47,93.66,81.99,14324000
2017-08-07,93.89,94.19,93.71,94.02,82.31,7978300
2017-08-08,93.95,95.22,93.6,93.68,82.01,13745400
2017-08-09,92.98,93.68,92.83,93.53,81.88,11214400
2017-08-10,92.9,93.07,92.07,92.19,80.7,13252300
2017-08-11,92.13,92.67,91.24,91.42,80.03,10679500
2017-08-14,92.37,92.9,92.33,92.49,80.97,10994800
2017-08-15,93.31,93.56,92.65,92.73,81.18,8812700
2017-08-16,93.04,93.23,91.88,92.09,80.62,11085400
2017-08-17,91.76,91.96,90.5,90.65,79.36,13837500
2017-08-18,90.31,91.54,90.19,90.74,79.44,13040700
2017-08-21,90.85,90.94,90.16,90.63,79.34,11502100
2017-08-22,91.07,91.71,91.0,91.56,80.15,9211800
2017-08-23,90.87,92.34,90.84,91.67,80.25,8811300
2017-08-24,91.93,92.12,91.41,91.52,80.12,8623200
2017-08-25,91.88,92.48,91.8,91.89,80.44,11794600
2017-08-28,92.16,92.19,91.13,91.6,80.19,7292900
2017-08-29,90.45,91.31,90.31,91.1,79.75,10886100
2017-08-30,91.25,91.88,91.19,91.31,79.93,9165300
2017-08-31,91.81,91.85,90.8,90.89,79.57,13217400
2017-09-01,91.25,92.36,90.95,91.7,80.28,9815800
2017-09-05,91.02,91.11,89.02,89.51,78.36,16897300
2017-09-06,90.0,90.52,89.64,90.11,78.88,11845700
2017-09-07,90.11,90.13,88.08,88.53,77.5,14592300
2017-09-08,88.31,89.42,88.24,88.42,77.4,14242200
2017-09-11,89.39,90.25,88.95,89.79,78.6,13219000
2017-09-12,90.17,91.25,90.1,90.89,79.57,14003800
